Treatment_Unit_FH,Fire_Acres_FH,Date_Frst_Burn_FH,Fire_Type_Frst_Burn_FH,Date_Scnd_Burn_FH,Fire_Type_Scnd_Burn_FH,Date_Thrd_Burn_FH,Fire_Type_Thrd_Burn_FH,Date_Frth_Burn_FH,Fire_Type_Frth_Burn_FH
44,92,,,,,,,,
51,959,,,,,,,,
59,1061,4/25/96,WILDFIRE (DOME),6/27/11,WILDFIRE (LAS CONCHAS),,,,
5,55,5/4/00,WILDFIRE (CERRO),6/27/11,WILDFIRE (LAS CONCHAS),,,,
12,1721,6/16/77,WILDFIRE (La Mesa),6/27/11,WILDFIRE (LAS CONCHAS),,,,
8,129,10/1/95,RX,5/4/00,RX/WILDFIRE (CERRO),6/27/11,WILDFIRE (LAS CONCHAS),,
49,227,10/14/93,RX,6/29/97,RX/PNF,6/27/11,WILDFIRE (LAS CONCHAS),,
1,1064,10/15/92,RX,5/4/00,RX/WILDFIRE (CERRO),6/27/11,WILDFIRE (LAS CONCHAS),,
40,563,10/15/96,RX,4/23/00,RX,11/13/06,RX,,
9,1440,11/7/07,RX,6/27/11,WILDFIRE (LAS CONCHAS),,,,
14,1185,6/16/77,WILDFIRE (La Mesa),6/27/11,WILDFIRE (LAS CONCHAS),,,,
27,132,6/16/77,WILDFIRE (La Mesa),9/18/94,RX,5/1/00,RX/WILDFIRE (CERRO),27-Jun-11,WILDFIRE (LAS CONCHAS)
28,115,6/16/77,WILDFIRE (La Mesa),6/16/98,RX,6/27/11,WILDFIRE (LAS CONCHAS),,
29,1090,6/16/77,WILDFIRE (La Mesa),6/16/98,RX,6/27/11,WILDFIRE (LAS CONCHAS),,
30,581,6/16/77,WILDFIRE (La Mesa),4/20/98,RX,6/27/11,WILDFIRE (LAS CONCHAS),,
38,1404,6/16/77,WILDFIRE (La Mesa),3/4/99,RX,6/27/11,WILDFIRE (LAS CONCHAS),,
45,895,6/16/77,WILDFIRE (La Mesa),6/27/11,WILDFIRE (LAS CONCHAS),,,,
54,1569,6/16/77,WILDFIRE (La Mesa),4/25/96,WILDFIRE (DOME),6/27/11,WILDFIRE (LAS CONCHAS),,
55,1779,6/16/77,WILDFIRE (La Mesa),9/15/93,RX,6/29/97,RX/PNF,27-Jun-11,WILDFIRE (LAS CONCHAS)
56,489,6/16/77,WILDFIRE (La Mesa),4/25/96,WILDFIRE (DOME),6/27/11,WILDFIRE (LAS CONCHAS),,
57,254,6/16/77,WILDFIRE (La Mesa),6/27/11,WILDFIRE (LAS CONCHAS),,,,
58,302,6/16/77,WILDFIRE (La Mesa),4/25/96,WILDFIRE (DOME),6/27/11,WILDFIRE (LAS CONCHAS),,
48,253,6/2/93,RX,6/29/97,RX/PNF,6/27/11,,,
50,189,6/27/11,WILDFIRE (LAS CONCHAS),,,,,,
7,430,6/27/77,WILDFIRE (LAS CONCHAS),,,,,,
41,238,9/24/08,RX,,,,,,
