MacroPlot_Name_FH,Treatment_Unit_FH,Project_Unit_FH,Aspect_Azimuth_FH,Elevation_ft_FH,Frst_Thin_FH,Scnd_Thin_FH,Frst_Fire_FH,Scnd_Fire_FH,Thrd_Fire_FH,Year_Installed_FH,1992_FH,1993_FH,1994_FH,1995_FH,1996_FH,1997_FH,1998_FH,1999_FH,2000_FH,2001_FH,2002_FH,2003_FH,2004_FH,2005_FH,2006_FH,2007_FH,2008_FH,2009_FH,2010_FH,2011_FH,2012_FH,2013_FH,UTM_X_FH,UTM_Y_FH
FPIPO1G0903,48,FPIPO1G,,6547,,,Jun-93,Jun-97,11-Jun,1992,P-PST,1YR,2YR,,,02-PST,02-1YR,02-2YR,,,02-5YR-T,Tree,Tree,Tree,Tree,02-10YR-T,Tree,Tree,Tree,03-PST-T,miss/Tree,miss/Tree,382677,3959537
FPIPO1G0902,48,FPIPO1G,160,6498,,,Jun-93,Jun-97,11-Jun,1992,PRE,PST,1YR,2YR,,02-PST,02-1YR,02-2YR,,,02-5YR-T,Tree,Tree,Tree,Tree,02-10YR-T,Tree,Tree,Tree,03-PST-T,miss/Tree,miss/Tree,382481,3958759
FPIPO1G0904,48,FPIPO1G,20,6465,,,Jun-93,Jun-97,11-Jun,1993,,P-PST,1YR,2YR,,02-PST,02-1YR,02-2YR,,,02-5YR-T,Tree,Tree,Tree,Tree,02-10YR-T,Tree,Tree,Tree,03-PST-T,miss/Tree,miss/Tree,382495,3958625
FPIPO1G0905,48,FPIPO1G,35,6530,,,Jun-93,Jun-97,11-Jun,1993,,P-PST,1YR,2YR,,02-PST,02-1YR,02-2YR,,,02-5YR-T,Tree,Tree,Tree,Tree,02-10YR-T,Tree,Tree,Tree,03-PST-T,miss/Tree,miss/Tree,382917,3959122
FPIPO1G0901,48,FPIPO1G,,6520,,,Jun-93,Jun-97,11-Jun,1992,PRE,PST,1YR,2YR,,02-PST,02-1YR,02-2YR,,,02-5YR-T,Tree,Tree,Tree,Tree,02-10YR-T,Tree,Tree,Tree,03-PST-T,miss/Tree,miss/Tree,382575,3959129
FPIPO1G0909,55,FPIPO1G,,6640,,,Sep-93,Jun-97,11-Jun,1993,,P-PST,1YR,2YR,,02-PST,02-1YR,02-2YR,,,02-5YR-T,Tree,Tree,Tree,Tree,02-10YR-T,Tree,Tree,Tree,03-PST-T,miss/Tree,miss/Tree,381932,3960222
FPIPO1G0906,49,FPIPO1G,,6600,,,Oct-93,Jun-97,11-Jun,1993,,P-PST,1YR,2YR,,02-PST,02-1YR,02-2YR,,,02-5YR-T,Tree,Tree,Tree,Tree,02-10YR-T,Tree,Tree,Tree,03-PST-T,miss/Tree,miss/Tree,382041,3959585
FPIPO1G0908,49,FPIPO1G,190,6625,,,Oct-93,Jun-97,11-Jun,1993,,P-PST,1YR,2YR,,02-PST,02-1YR,02-2YR,,,02-5YR-T,Tree,Tree,Tree,Tree,02-10YR-T,Tree,Tree,Tree,03-PST-T,miss/Tree,miss/Tree,381950,3959702
FPIPO1G0907,49,FPIPO1G,70,6640,,,Oct-93,Jun-97,11-Jun,1993,,P-PST,1YR,2YR,,02-PST,02-1YR,02-2YR,,,02-5YR-T,Tree,Tree,Tree,Tree,02-10YR-T,Tree,Tree,Tree,03-PST-T,miss/Tree,miss/Tree,381948,3959627
FPIPO2T0904,14,FPIPO2T,,,,,Oct-94,11-Jun,,1994,,,P-PST,1YR,2YR,,,5YR,,,,,10YR,,,,,fuel,02-PRE,miss,miss,miss,376593,3965448
