ProjectUnit = PIPO1G09
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff,03POST-Attr,03POST-Diff,03POST-%Diff
B_FPIPO1G09_01,0.02,0.00,-0.02,-79.98,0.00,-0.02,-100.00,0.02,0.00,20.24,0.03,0.01,60.09,0.00,-0.02,-80.00,0.01,-0.01,-59.99,0.00,-0.02,-100.00,0.00,-0.02,-100.00,0.02,0.00,0.09
B_FPIPO1G09_02,0.02,0.00,-0.02,-83.34,0.00,-0.02,-83.34,0.04,0.02,67.12,0.06,0.04,150.32,0.02,0.00,-0.01,0.04,0.02,66.82,0.02,0.00,0.01,0.01,-0.01,-50.00,0.02,0.00,-16.52
B_FPIPO1G09_03,0.09,0.03,-0.05,-61.43,0.02,-0.07,-81.13,0.01,-0.07,-85.95,0.11,0.03,31.50,0.04,-0.04,-48.08,0.10,0.01,13.98,0.05,-0.04,-47.65,0.00,-0.09,-100.00,0.03,-0.06,-66.54
B_FPIPO1G09_04,0.04,0.01,-0.03,-80.04,0.00,-0.04,-100.00,0.02,-0.02,-50.15,0.02,-0.02,-40.04,0.00,-0.04,-90.03,0.02,-0.02,-40.01,0.02,-0.02,-59.98,0.04,0.00,-0.30,0.10,0.06,149.42
B_FPIPO1G09_05,0.02,0.02,-0.01,-33.47,0.02,0.00,0.00,0.03,0.00,16.44,0.06,0.03,133.23,0.04,0.02,66.42,0.07,0.04,182.74,0.04,0.02,66.53,0.00,-0.02,-83.21,0.02,0.00,-0.21
B_FPIPO1G09_06,0.05,0.05,0.00,-7.59,0.03,-0.02,-45.91,0.03,-0.02,-46.31,0.02,-0.03,-61.58,0.01,-0.04,-77.01,0.00,-0.05,-92.29,0.01,-0.04,-84.65,0.01,-0.04,-76.95,0.01,-0.04,-84.59
B_FPIPO1G09_07,0.02,0.01,-0.01,-49.93,***,***,***,0.00,-0.01,-75.06,0.04,0.03,174.99,0.02,0.00,24.82,0.02,0.00,-0.15,0.02,0.00,24.95,0.00,-0.02,-100.00,0.00,-0.01,-75.06
B_FPIPO1G09_08,0.00,0.00,0.00,***,***,***,***,0.00,0.00,0.00,0.04,0.04,***,0.02,0.02,***,0.01,0.01,***,0.02,0.02,***,0.02,0.02,***,0.02,0.02,***
B_FPIPO1G09_09,0.00,0.03,0.03,696.13,0.03,0.02,598.81,0.05,0.04,1097.35,0.02,0.02,496.67,0.02,0.02,499.21,0.02,0.01,298.14,0.00,0.00,-100.00,0.02,0.01,298.80,0.01,0.01,198.80
B_FPIPO1G09_10,0.05,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_11,0.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_12,0.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_13,0.09,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_14,0.13,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_15,0.07,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_16,0.18,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,0.07,0.02,0.05,75.11,0.01,0.06,79.56,0.02,0.05,67.76,0.05,0.02,35.29,0.02,0.05,70.17,0.03,0.04,54.75,0.02,0.05,72.00,0.01,0.06,82.96,0.03,0.04,62.63
