ProjectUnit = PIPO1G09
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff,03POST-Attr,03POST-Diff,03POST-%Diff
B_FPIPO1G09_01,9.84,0.00,-9.84,-100.00,0.00,-9.84,-100.00,0.00,-9.84,-100.00,0.00,-9.84,-100.00,0.00,-9.84,-100.00,0.00,-9.84,-100.00,0.00,-9.84,-100.00,0.99,-8.86,-89.98,1.58,-8.26,-83.97
B_FPIPO1G09_02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.95,2.95,***
B_FPIPO1G09_03,15.79,0.00,-15.79,-100.00,0.00,-15.79,-100.00,0.00,-15.79,-100.00,0.00,-15.79,-100.00,0.00,-15.79,-100.00,0.00,-15.79,-100.00,0.00,-15.79,-100.00,0.00,-15.79,-100.00,0.00,-15.79,-100.00
B_FPIPO1G09_04,0.86,0.44,-0.42,-48.71,0.00,-0.86,-100.00,0.00,-0.86,-100.00,0.00,-0.86,-100.00,0.00,-0.86,-100.00,0.00,-0.86,-100.00,0.00,-0.86,-100.00,0.00,-0.86,-100.00,0.00,-0.86,-100.00
B_FPIPO1G09_05,4.47,0.00,-4.47,-100.00,0.00,-4.47,-100.00,0.00,-4.47,-100.00,0.00,-4.47,-100.00,0.00,-4.47,-100.00,0.00,-4.47,-100.00,0.37,-4.10,-91.70,0.00,-4.47,-100.00,5.06,0.60,13.35
B_FPIPO1G09_06,1.96,0.27,-1.69,-86.33,0.16,-1.80,-91.91,0.00,-1.96,-100.00,0.00,-1.96,-100.00,0.00,-1.96,-100.00,0.00,-1.96,-100.00,0.00,-1.96,-100.00,0.00,-1.96,-100.00,0.00,-1.96,-100.00
B_FPIPO1G09_07,7.42,0.00,-7.42,-100.00,***,***,***,0.21,-7.21,-97.10,0.00,-7.42,-100.00,0.00,-7.42,-100.00,0.00,-7.42,-100.00,4.78,-2.64,-35.56,0.00,-7.42,-100.00,0.00,-7.42,-100.00
B_FPIPO1G09_08,5.93,0.36,-5.57,-93.99,***,***,***,0.00,-5.93,-100.00,0.00,-5.93,-100.00,0.00,-5.93,-100.00,0.00,-5.93,-100.00,0.00,-5.93,-100.00,0.63,-5.30,-89.35,0.00,-5.93,-100.00
B_FPIPO1G09_09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.73,1.73,***,0.00,0.00,0.00,0.00,0.00,0.00
B_FPIPO1G09_10,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_11,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_12,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_13,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_14,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_15,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_16,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,2.89,0.12,2.77,95.91,0.02,2.87,99.22,0.02,2.87,99.17,0.00,2.89,100.00,0.00,2.89,100.00,0.00,2.89,100.00,0.77,2.13,73.55,0.18,2.71,93.79,1.07,1.83,63.14
