ProjectUnit = PIPO1G09
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff,03POST-Attr,03POST-Diff,03POST-%Diff
B_FPIPO1G09_01,11.54,5.77,-5.77,-50.02,4.85,-6.68,-57.93,6.33,-5.21,-45.11,5.07,-6.47,-56.07,5.35,-6.19,-53.64,5.65,-5.89,-51.07,6.81,-4.73,-40.99,8.27,-3.27,-28.32,6.47,-5.07,-43.98
B_FPIPO1G09_02,13.70,7.13,-6.56,-47.91,8.59,-5.11,-37.28,7.05,-6.65,-48.55,4.88,-8.81,-64.36,5.15,-8.55,-62.42,6.06,-7.64,-55.79,10.40,-3.29,-24.04,1.24,-12.46,-90.94,1.68,-12.01,-87.72
B_FPIPO1G09_03,2.70,0.72,-1.98,-73.39,1.87,-0.83,-30.79,0.72,-1.98,-73.49,1.01,-1.68,-62.40,0.85,-1.85,-68.45,1.36,-1.34,-49.70,0.69,-2.01,-74.44,20.42,17.72,656.54,1.51,-1.19,-43.91
B_FPIPO1G09_04,1.57,1.14,-0.43,-27.33,1.05,-0.53,-33.43,0.84,-0.73,-46.61,2.07,0.50,31.80,0.00,-1.57,-100.00,0.00,-1.57,-100.00,0.00,-1.57,-100.00,9.62,8.05,511.89,9.79,8.22,523.05
B_FPIPO1G09_05,0.00,0.58,0.58,***,0.93,0.93,***,0.70,0.70,***,0.22,0.22,***,4.27,4.27,***,11.92,11.92,***,8.09,8.09,***,7.92,7.92,***,7.13,7.13,***
B_FPIPO1G09_06,2.79,7.57,4.77,170.90,1.70,-1.10,-39.27,1.58,-1.21,-43.44,0.41,-2.38,-85.15,0.48,-2.32,-82.96,0.00,-2.79,-100.00,0.21,-2.58,-92.38,0.89,-1.90,-67.96,3.98,1.18,42.36
B_FPIPO1G09_07,4.50,1.90,-2.60,-57.86,***,***,***,0.84,-3.65,-81.27,1.37,-3.13,-69.56,1.63,-2.87,-63.72,2.12,-2.37,-52.77,3.11,-1.39,-30.83,11.36,6.87,152.73,5.66,1.16,25.85
B_FPIPO1G09_08,4.01,2.36,-1.66,-41.31,***,***,***,2.92,-1.09,-27.15,0.87,-3.14,-78.26,0.84,-3.17,-78.97,0.84,-3.17,-78.97,1.22,-2.80,-69.71,2.74,-1.27,-31.62,0.84,-3.17,-78.97
B_FPIPO1G09_09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.38,***,0.40,0.40,***,0.00,0.00,0.00,0.00,0.00,0.00,5.55,5.55,***,0.00,0.00,0.00
B_FPIPO1G09_10,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_11,4.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_12,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_13,1.43,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_14,2.63,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_15,4.72,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_16,11.17,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,4.07,3.02,1.05,25.79,2.71,1.36,33.32,2.33,1.73,42.66,1.81,2.26,55.48,2.11,1.96,48.19,3.11,0.96,23.63,3.39,0.67,16.58,7.56,-3.49,-85.86,4.12,-0.05,-1.28
