ProjectUnit = PIPO1G09
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff,03POST-Attr,03POST-Diff,03POST-%Diff
B_FPIPO1G09_01,0.79,0.22,-0.57,-72.06,0.26,-0.53,-67.30,0.11,-0.68,-86.67,0.12,-0.67,-84.44,0.37,-0.42,-53.02,0.08,-0.71,-90.16,0.00,-0.79,-100.00,0.00,-0.79,-100.00,0.03,-0.76,-96.83
B_FPIPO1G09_02,0.62,0.16,-0.46,-74.60,0.21,-0.41,-65.73,0.16,-0.46,-74.19,0.12,-0.51,-81.45,0.10,-0.53,-84.68,0.10,-0.52,-83.47,0.00,-0.62,-100.00,0.11,-0.51,-82.26,0.04,-0.58,-93.95
B_FPIPO1G09_03,0.69,0.22,-0.47,-68.73,0.26,-0.43,-62.18,0.39,-0.30,-43.64,0.21,-0.48,-69.09,0.42,-0.27,-39.27,0.21,-0.48,-69.45,0.00,-0.69,-100.00,0.00,-0.69,-100.00,0.02,-0.67,-96.73
B_FPIPO1G09_04,0.62,0.17,-0.45,-72.18,0.40,-0.22,-35.48,0.32,-0.30,-48.79,0.22,-0.41,-65.32,0.22,-0.40,-64.11,0.23,-0.39,-62.90,0.00,-0.62,-100.00,0.26,-0.36,-58.67,0.16,-0.46,-73.79
B_FPIPO1G09_05,0.67,0.06,-0.62,-91.45,0.36,-0.32,-46.84,0.34,-0.33,-49.07,0.19,-0.49,-72.49,0.33,-0.34,-50.56,0.16,-0.52,-76.58,0.00,-0.67,-100.00,0.02,-0.66,-97.77,0.26,-0.41,-60.97
B_FPIPO1G09_06,0.39,0.07,-0.32,-82.47,0.24,-0.14,-37.01,0.26,-0.13,-33.12,0.14,-0.25,-63.64,0.25,-0.14,-36.36,0.08,-0.30,-78.57,0.20,-0.18,-47.40,0.06,-0.33,-85.06,0.01,-0.38,-98.70
B_FPIPO1G09_07,0.73,0.19,-0.54,-74.23,***,***,***,0.21,-0.52,-71.48,0.21,-0.52,-70.79,0.32,-0.41,-56.70,0.07,-0.66,-91.07,0.00,-0.73,-100.00,0.04,-0.69,-94.85,0.01,-0.72,-98.97
B_FPIPO1G09_08,0.36,0.04,-0.33,-90.34,***,***,***,0.24,-0.12,-33.10,0.03,-0.34,-93.10,0.07,-0.30,-81.38,0.00,-0.36,-100.00,0.00,-0.36,-100.00,0.01,-0.36,-97.93,0.00,-0.36,-100.00
B_FPIPO1G09_09,0.31,0.11,-0.20,-63.93,0.33,0.02,6.56,0.26,-0.05,-16.39,0.10,-0.20,-66.39,0.52,0.21,69.67,0.22,-0.08,-27.05,0.01,-0.30,-98.36,0.01,-0.30,-97.54,0.04,-0.27,-88.52
B_FPIPO1G09_10,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_11,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_12,0.01,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_13,0.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_14,0.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_15,0.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_16,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,0.33,0.14,0.19,58.60,0.29,0.03,10.53,0.25,0.08,22.96,0.15,0.18,54.96,0.29,0.04,12.55,0.13,0.20,61.14,0.02,0.31,92.97,0.05,0.27,83.37,0.06,0.27,81.12
