ProjectUnit = PIPO1G09
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff,03POST-Attr,03POST-Diff,03POST-%Diff
B_FPIPO1G09_01,7.86,2.20,-5.67,-72.06,2.57,-5.29,-67.30,1.05,-6.81,-86.67,1.22,-6.64,-84.44,3.69,-4.17,-53.02,0.77,-7.09,-90.16,0.00,-7.86,-100.00,0.00,-7.86,-100.00,0.25,-7.61,-96.83
B_FPIPO1G09_02,6.19,1.57,-4.62,-74.60,2.12,-4.07,-65.73,1.60,-4.59,-74.19,1.15,-5.04,-81.45,0.95,-5.24,-84.68,1.02,-5.17,-83.47,0.00,-6.19,-100.00,1.10,-5.09,-82.26,0.37,-5.81,-93.95
B_FPIPO1G09_03,6.86,2.15,-4.72,-68.73,2.60,-4.27,-62.18,3.87,-2.99,-43.64,2.12,-4.74,-69.09,4.17,-2.70,-39.27,2.10,-4.77,-69.45,0.00,-6.86,-100.00,0.00,-6.86,-100.00,0.22,-6.64,-96.73
B_FPIPO1G09_04,6.19,1.72,-4.47,-72.18,3.99,-2.20,-35.48,3.17,-3.02,-48.79,2.15,-4.04,-65.32,2.22,-3.97,-64.11,2.30,-3.89,-62.90,0.00,-6.19,-100.00,2.56,-3.63,-58.67,1.62,-4.57,-73.79
B_FPIPO1G09_05,6.71,0.57,-6.14,-91.45,3.57,-3.14,-46.84,3.42,-3.29,-49.07,1.85,-4.87,-72.49,3.32,-3.39,-50.56,1.57,-5.14,-76.58,0.00,-6.71,-100.00,0.15,-6.56,-97.77,2.62,-4.09,-60.97
B_FPIPO1G09_06,3.84,0.67,-3.17,-82.47,2.42,-1.42,-37.01,2.57,-1.27,-33.12,1.40,-2.45,-63.64,2.45,-1.40,-36.36,0.82,-3.02,-78.57,2.02,-1.82,-47.40,0.57,-3.27,-85.06,0.05,-3.79,-98.70
B_FPIPO1G09_07,7.26,1.87,-5.39,-74.23,***,***,***,2.07,-5.19,-71.48,2.12,-5.14,-70.79,3.14,-4.12,-56.70,0.65,-6.61,-91.07,0.00,-7.26,-100.00,0.37,-6.89,-94.85,0.07,-7.19,-98.97
B_FPIPO1G09_08,3.62,0.35,-3.27,-90.34,***,***,***,2.42,-1.20,-33.10,0.25,-3.37,-93.10,0.67,-2.94,-81.38,0.00,-3.62,-100.00,0.00,-3.62,-100.00,0.07,-3.54,-97.93,0.00,-3.62,-100.00
B_FPIPO1G09_09,3.04,1.10,-1.95,-63.93,3.24,0.20,6.56,2.55,-0.50,-16.39,1.02,-2.02,-66.39,5.17,2.12,69.67,2.22,-0.82,-27.05,0.05,-2.99,-98.36,0.07,-2.97,-97.54,0.35,-2.70,-88.52
B_FPIPO1G09_10,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_11,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_12,0.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_13,0.15,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_14,0.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_15,0.25,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_16,0.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,3.28,1.36,1.92,58.60,2.93,0.34,10.53,2.52,0.75,22.96,1.48,1.80,54.96,2.86,0.41,12.55,1.27,2.00,61.14,0.23,3.05,92.97,0.54,2.73,83.37,0.62,2.66,81.12
