ProjectUnit = PIPO1G09
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff,03POST-Attr,03POST-Diff,03POST-%Diff
B_FPIPO1G09_01,1.29,0.11,-1.18,-91.46,0.67,-0.62,-48.35,0.47,-0.82,-63.69,0.17,-1.12,-86.80,0.22,-1.07,-83.30,0.42,-0.87,-67.38,0.13,-1.16,-90.10,0.15,-1.14,-88.74,0.12,-1.17,-91.07
B_FPIPO1G09_02,1.19,0.06,-1.13,-94.97,0.49,-0.71,-59.33,0.54,-0.65,-54.72,0.20,-1.00,-83.44,0.18,-1.02,-85.12,0.58,-0.62,-51.78,0.23,-0.97,-80.92,0.39,-0.80,-67.21,0.48,-0.71,-59.54
B_FPIPO1G09_03,1.42,0.35,-1.07,-75.31,0.57,-0.85,-59.96,0.27,-1.15,-81.13,0.33,-1.09,-76.54,0.51,-0.91,-63.84,0.60,-0.82,-57.50,0.18,-1.24,-87.65,0.26,-1.16,-82.01,0.18,-1.24,-87.30
B_FPIPO1G09_04,0.91,0.25,-0.66,-72.65,0.84,-0.07,-7.46,0.77,-0.13,-14.64,0.52,-0.39,-42.54,0.37,-0.54,-59.67,0.44,-0.47,-51.38,0.33,-0.58,-64.09,0.44,-0.47,-51.38,0.78,-0.13,-14.36
B_FPIPO1G09_05,1.38,0.28,-1.10,-79.67,0.74,-0.64,-46.10,0.84,-0.54,-39.38,0.45,-0.93,-67.51,0.37,-1.01,-73.14,0.66,-0.72,-52.09,0.26,-1.12,-80.94,0.38,-1.00,-72.78,1.03,-0.35,-25.41
B_FPIPO1G09_06,0.62,0.32,-0.30,-48.37,0.38,-0.24,-39.02,0.58,-0.04,-6.10,0.24,-0.37,-60.57,0.40,-0.22,-35.77,0.24,-0.37,-60.57,0.49,-0.12,-19.92,0.34,-0.28,-44.72,0.27,-0.35,-56.50
B_FPIPO1G09_07,1.17,0.22,-0.95,-81.16,***,***,***,0.82,-0.35,-29.98,0.29,-0.88,-75.59,0.37,-0.80,-68.09,0.54,-0.63,-53.53,0.18,-0.99,-84.80,0.30,-0.87,-74.09,0.17,-1.00,-85.22
B_FPIPO1G09_08,0.89,0.20,-0.69,-77.81,***,***,***,0.53,-0.37,-41.01,0.18,-0.72,-80.34,0.22,-0.67,-75.56,0.13,-0.76,-85.67,0.33,-0.56,-63.20,0.23,-0.67,-74.72,0.15,-0.75,-83.71
B_FPIPO1G09_09,0.54,0.29,-0.24,-45.33,0.45,-0.09,-15.89,0.70,0.16,30.37,0.22,-0.32,-59.81,0.38,-0.16,-28.97,0.40,-0.14,-25.70,0.22,-0.32,-58.88,0.28,-0.26,-48.13,0.17,-0.37,-69.16
B_FPIPO1G09_10,0.34,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_11,0.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_12,0.14,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_13,0.14,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_14,0.18,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_15,0.28,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_16,0.41,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,0.69,0.23,0.46,66.70,0.59,0.10,14.94,0.61,0.08,11.73,0.29,0.41,58.51,0.33,0.36,51.77,0.45,0.25,35.69,0.26,0.43,62.53,0.31,0.39,55.85,0.37,0.32,46.56
