ProjectUnit = PIPO1G09
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff,03POST-Attr,03POST-Diff,03POST-%Diff
B_FPIPO1G09_01,6.43,0.55,-5.88,-91.46,3.32,-3.11,-48.35,2.33,-4.09,-63.69,0.85,-5.58,-86.80,1.07,-5.35,-83.30,2.10,-4.33,-67.38,0.64,-5.79,-90.10,0.72,-5.70,-88.74,0.57,-5.85,-91.07
B_FPIPO1G09_02,5.95,0.30,-5.65,-94.97,2.42,-3.53,-59.33,2.70,-3.26,-54.72,0.99,-4.97,-83.44,0.89,-5.07,-85.12,2.87,-3.08,-51.78,1.14,-4.82,-80.92,1.95,-4.00,-67.21,2.41,-3.54,-59.54
B_FPIPO1G09_03,7.08,1.75,-5.33,-75.31,2.83,-4.24,-59.96,1.34,-5.74,-81.13,1.66,-5.42,-76.54,2.56,-4.52,-63.84,3.01,-4.07,-57.50,0.87,-6.20,-87.65,1.27,-5.80,-82.01,0.90,-6.18,-87.30
B_FPIPO1G09_04,4.52,1.24,-3.28,-72.65,4.18,-0.34,-7.46,3.86,-0.66,-14.64,2.60,-1.92,-42.54,1.82,-2.70,-59.67,2.20,-2.32,-51.38,1.62,-2.89,-64.09,2.20,-2.32,-51.38,3.87,-0.65,-14.36
B_FPIPO1G09_05,6.88,1.40,-5.48,-79.67,3.71,-3.17,-46.10,4.17,-2.71,-39.38,2.23,-4.64,-67.51,1.85,-5.03,-73.14,3.29,-3.58,-52.09,1.31,-5.57,-80.94,1.87,-5.00,-72.78,5.13,-1.75,-25.41
B_FPIPO1G09_06,3.07,1.58,-1.48,-48.37,1.87,-1.20,-39.02,2.88,-0.19,-6.10,1.21,-1.86,-60.57,1.97,-1.10,-35.77,1.21,-1.86,-60.57,2.46,-0.61,-19.92,1.70,-1.37,-44.72,1.34,-1.73,-56.50
B_FPIPO1G09_07,5.83,1.10,-4.73,-81.16,***,***,***,4.08,-1.75,-29.98,1.42,-4.40,-75.59,1.86,-3.97,-68.09,2.71,-3.12,-53.53,0.89,-4.94,-84.80,1.51,-4.32,-74.09,0.86,-4.97,-85.22
B_FPIPO1G09_08,4.44,0.99,-3.46,-77.81,***,***,***,2.62,-1.82,-41.01,0.87,-3.57,-80.34,1.09,-3.36,-75.56,0.64,-3.81,-85.67,1.63,-2.81,-63.20,1.12,-3.32,-74.72,0.72,-3.72,-83.71
B_FPIPO1G09_09,2.67,1.46,-1.21,-45.33,2.25,-0.42,-15.89,3.48,0.81,30.37,1.07,-1.60,-59.81,1.90,-0.77,-28.97,1.98,-0.69,-25.70,1.10,-1.57,-58.88,1.39,-1.29,-48.13,0.82,-1.85,-69.16
B_FPIPO1G09_10,1.68,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_11,1.06,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_12,0.69,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_13,0.67,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_14,0.89,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_15,1.39,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_16,2.06,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,3.46,1.15,2.30,66.70,2.94,0.52,14.94,3.05,0.41,11.73,1.43,2.02,58.51,1.67,1.79,51.77,2.22,1.23,35.69,1.29,2.16,62.53,1.53,1.93,55.85,1.85,1.61,46.56
