ProjectUnit = PIPO1G09
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff,03POST-Attr,03POST-Diff,03POST-%Diff
B_FPIPO1G09_01,39.48,9.20,-30.28,-76.70,11.73,-27.75,-70.29,10.42,-29.06,-73.60,8.08,-31.40,-79.53,10.58,-28.91,-73.21,9.51,-29.97,-75.92,8.58,-30.90,-78.26,10.59,-28.90,-73.19,9.95,-29.54,-74.81
B_FPIPO1G09_02,28.82,9.01,-19.81,-68.74,13.59,-15.23,-52.85,11.61,-17.22,-59.73,8.14,-20.68,-71.77,7.16,-21.66,-75.17,10.75,-18.08,-62.71,12.40,-16.42,-56.98,4.61,-24.22,-84.02,8.20,-20.62,-71.55
B_FPIPO1G09_03,38.95,5.19,-33.76,-86.67,7.47,-31.49,-80.83,6.01,-32.95,-84.58,6.08,-32.88,-84.40,8.33,-30.63,-78.62,7.34,-31.62,-81.16,2.63,-36.32,-93.25,22.15,-16.80,-43.13,3.61,-35.35,-90.73
B_FPIPO1G09_04,14.47,5.38,-9.09,-62.80,9.60,-4.87,-33.66,8.27,-6.21,-42.89,7.29,-7.18,-49.59,4.35,-10.12,-69.93,4.90,-9.57,-66.16,2.40,-12.07,-83.43,15.55,1.08,7.46,18.28,3.80,26.28
B_FPIPO1G09_05,19.68,3.18,-16.50,-83.84,8.98,-10.70,-54.36,8.70,-10.98,-55.81,5.58,-14.10,-71.65,14.19,-5.49,-27.89,18.84,-0.84,-4.29,12.09,-7.59,-38.57,10.93,-8.75,-44.46,22.34,2.66,13.52
B_FPIPO1G09_06,12.87,11.21,-1.66,-12.87,8.86,-4.01,-31.18,8.97,-3.89,-30.26,4.42,-8.45,-65.63,5.90,-6.97,-54.15,2.88,-9.99,-77.62,5.77,-7.09,-55.12,4.85,-8.01,-62.28,6.05,-6.81,-52.96
B_FPIPO1G09_07,27.46,6.09,-21.37,-77.82,***,***,***,8.51,-18.95,-69.02,6.10,-21.36,-77.78,7.26,-20.20,-73.55,6.10,-21.35,-77.77,9.56,-17.90,-65.18,14.16,-13.30,-48.43,7.74,-19.72,-71.82
B_FPIPO1G09_08,19.52,4.74,-14.79,-75.74,***,***,***,8.58,-10.95,-56.08,4.09,-15.44,-79.06,4.14,-15.38,-78.78,2.18,-17.35,-88.85,4.02,-15.51,-79.43,5.13,-14.39,-73.72,2.05,-17.48,-89.52
B_FPIPO1G09_09,6.10,3.13,-2.98,-48.77,5.67,-0.43,-7.07,6.23,0.13,2.07,3.11,-2.99,-49.05,7.71,1.61,26.37,5.06,-1.04,-17.07,3.18,-2.92,-47.82,7.18,1.08,17.71,1.80,-4.31,-70.55
B_FPIPO1G09_10,1.81,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_11,7.63,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_12,1.76,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_13,3.26,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_14,6.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_15,10.48,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO1G09_16,16.94,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,15.97,6.35,9.62,60.25,9.41,6.56,41.05,8.59,7.38,46.23,5.88,10.09,63.20,7.74,8.23,51.56,7.51,8.46,53.00,6.74,9.23,57.81,10.57,5.40,33.79,8.89,7.08,44.34
