ProjectUnit = PIPO2T09
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR10-Attr,01YEAR10-Diff,01YEAR10-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff,Pre1996-Attr,Pre1996-Diff,Pre1996-%Diff,Pre1997-Attr,Pre1997-Diff,Pre1997-%Diff,Pre1998-Attr,Pre1998-Diff,Pre1998-%Diff,Pre1999-Attr,Pre1999-Diff,Pre1999-%Diff,FUEL2009-Attr,FUEL2009-Diff,FUEL2009-%Diff
B_FPIPO2T09_01,2.42,0.00,-2.42,-100.00,0.91,-1.51,-62.50,0.61,-1.82,-75.00,0.00,-2.42,-100.00,0.61,-1.82,-75.00,0.30,-2.12,-87.50,***,***,***,***,***,***,***,***,***,1.21,-1.21,-50.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.61,-1.82,-75.00
B_FPIPO2T09_02,1.82,0.61,-1.21,-66.67,0.30,-1.52,-83.34,0.91,-0.91,-50.00,0.91,-0.91,-50.00,0.30,-1.52,-83.34,0.61,-1.21,-66.74,***,***,***,***,***,***,***,***,***,3.03,1.21,66.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.61,-1.21,-66.74
B_FPIPO2T09_03,0.91,1.21,0.30,33.32,0.91,0.00,0.00,0.91,0.00,-0.03,1.21,0.30,33.32,***,***,***,***,***,***,0.30,-0.61,-66.68,0.30,-0.61,-66.64,0.61,-0.30,-33.32,0.61,-0.30,-33.28,0.61,-0.30,-32.98,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO2T09_04,0.91,1.21,0.30,33.33,2.12,1.21,133.33,2.72,1.82,200.00,0.00,-0.91,-100.00,0.61,-0.30,-33.33,0.00,-0.91,-100.00,***,***,***,***,***,***,***,***,***,3.63,2.72,300.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.61,-0.30,-33.33
B_FPIPO2T09_05,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.33,***,***,***,***,***,***,***,***,***,***,***,3.33,***,***,***,***,***,2.73,***,***,***,***,***,1.82,***,***,***,***,***,3.03,***,***
B_FPIPO2T09_06,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.91,***,***,***,***,***,***,***,***,***,***,***,1.51,***,***,***,***,***,***,***,***,2.12,***,***,***,***,***,2.42,***,***,0.91,***,***
B_FPIPO2T09_07,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.91,***,***,***,***,***,***,***,***,***,***,***,1.52,***,***,***,***,***,***,***,***,2.44,***,***,***,***,***,3.35,***,***,0.61,***,***
B_FPIPO2T09_08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.76,***,***,***,***,***,***,***,***,***,***,***,1.21,***,***,***,***,***,***,***,***,0.61,***,***,***,***,***,1.54,***,***,3.37,***,***
B_FPIPO2T09_09,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.25,***,***,***,***,***,***,***,***,***,***,***,3.64,***,***,***,***,***,***,***,***,0.30,***,***,***,***,***,1.52,***,***,2.73,***,***
Mean,1.51,0.76,0.76,50.01,1.06,0.45,30.04,1.29,0.23,15.03,0.53,0.98,64.99,0.50,1.01,66.68,1.63,-0.12,-7.92,0.30,1.21,80.01,0.30,1.21,79.99,0.61,0.91,60.00,2.19,-0.67,-44.57,0.61,0.91,59.80,2.73,-1.21,-80.06,1.37,0.15,9.62,1.82,-0.30,-20.04,2.21,-0.69,-45.83,1.56,-0.04,-2.93
