ProjectUnit = PIPO2T09
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR10-Attr,01YEAR10-Diff,01YEAR10-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff,Pre1996-Attr,Pre1996-Diff,Pre1996-%Diff,Pre1997-Attr,Pre1997-Diff,Pre1997-%Diff,Pre1998-Attr,Pre1998-Diff,Pre1998-%Diff,Pre1999-Attr,Pre1999-Diff,Pre1999-%Diff,FUEL2009-Attr,FUEL2009-Diff,FUEL2009-%Diff
B_FPIPO2T09_01,1.16,0.20,-0.95,-82.55,0.21,-0.94,-81.51,0.00,-1.16,-100.00,0.00,-1.16,-100.00,0.50,-0.66,-57.18,0.92,-0.24,-20.38,***,***,***,***,***,***,***,***,***,0.00,-1.16,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.11,0.95,82.26
B_FPIPO2T09_02,1.10,0.42,-0.68,-62.13,0.21,-0.89,-80.55,0.82,-0.28,-25.22,0.18,-0.92,-83.73,0.00,-1.10,-100.00,0.00,-1.10,-100.00,***,***,***,***,***,***,***,***,***,0.00,-1.10,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-1.10,-100.00
B_FPIPO2T09_03,0.76,0.27,-0.49,-64.93,0.28,-0.48,-63.11,0.37,-0.39,-51.21,0.00,-0.76,-100.00,***,***,***,***,***,***,0.00,-0.76,-100.00,0.00,-0.76,-100.00,0.96,0.20,26.12,0.00,-0.76,-100.00,0.63,-0.13,-17.07,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO2T09_04,10.07,5.45,-4.62,-45.86,7.57,-2.50,-24.80,2.42,-7.65,-75.97,9.60,-0.46,-4.61,4.78,-5.28,-52.47,0.21,-9.85,-97.87,***,***,***,***,***,***,***,***,***,0.00,-10.07,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.28,-9.79,-97.22
B_FPIPO2T09_05,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.59,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,1.14,***,***,***,***,***,1.77,***,***,***,***,***,1.74,***,***
B_FPIPO2T09_06,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.37,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,2.37,***,***,***,***,***,5.59,***,***,8.00,***,***
B_FPIPO2T09_07,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.94,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,3.71,***,***,***,***,***,0.79,***,***,3.06,***,***
B_FPIPO2T09_08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,10.48,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,11.70,***,***,***,***,***,17.01,***,***,13.28,***,***
B_FPIPO2T09_09,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,6.23,***,***,***,***,***,***,***,***,***,***,***,0.28,***,***,***,***,***,***,***,***,52.93,***,***,***,***,***,23.23,***,***,2.25,***,***
Mean,3.27,1.58,1.69,51.58,2.07,1.20,36.73,0.90,2.37,72.39,2.45,0.83,25.23,1.76,1.51,46.19,3.09,0.18,5.40,0.00,3.27,100.00,0.00,3.27,100.00,0.96,2.31,70.76,0.03,3.24,99.05,0.63,2.64,80.78,1.14,2.13,65.01,17.68,-14.41,-440.51,1.77,1.50,45.77,11.65,-8.38,-256.34,3.84,-0.57,-17.40
