ProjectUnit = PIPO2T09
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR10-Attr,01YEAR10-Diff,01YEAR10-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff,Pre1996-Attr,Pre1996-Diff,Pre1996-%Diff,Pre1997-Attr,Pre1997-Diff,Pre1997-%Diff,Pre1998-Attr,Pre1998-Diff,Pre1998-%Diff,Pre1999-Attr,Pre1999-Diff,Pre1999-%Diff,FUEL2009-Attr,FUEL2009-Diff,FUEL2009-%Diff
B_FPIPO2T09_01,0.42,3.72,3.30,786.56,3.14,2.72,648.61,3.63,3.21,766.89,1.93,1.51,361.39,5.20,4.78,1139.72,5.19,4.78,1139.50,***,***,***,***,***,***,***,***,***,28.86,28.44,6786.11,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,5.51,5.09,1213.89
B_FPIPO2T09_02,0.00,0.54,0.54,***,0.29,0.29,***,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.63,***,0.42,0.42,***,***,***,***,***,***,***,***,***,***,31.35,31.35,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.21,0.21,***
B_FPIPO2T09_03,2.77,1.05,-1.72,-62.22,1.14,-1.63,-58.76,1.12,-1.65,-59.53,1.57,-1.20,-43.29,***,***,***,***,***,***,0.47,-2.29,-82.94,0.65,-2.11,-76.33,0.43,-2.34,-84.42,1.60,-1.17,-42.25,0.87,-1.89,-68.38,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO2T09_04,2.76,2.23,-0.54,-19.43,2.03,-0.74,-26.68,9.27,6.51,235.74,0.39,-2.37,-85.83,0.00,-2.76,-100.00,1.13,-1.63,-59.08,***,***,***,***,***,***,***,***,***,15.44,12.67,458.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.89,-1.87,-67.77
B_FPIPO2T09_05,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,18.34,***,***,***,***,***,***,***,***,***,***,***,29.65,***,***,***,***,***,2.85,***,***,***,***,***,1.70,***,***,***,***,***,17.22,***,***
B_FPIPO2T09_06,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.37,***,***,***,***,***,***,***,***,***,***,***,35.47,***,***,***,***,***,***,***,***,1.88,***,***,***,***,***,3.27,***,***,1.23,***,***
B_FPIPO2T09_07,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,7.36,***,***,***,***,***,***,***,***,***,***,***,16.32,***,***,***,***,***,***,***,***,7.17,***,***,***,***,***,8.72,***,***,7.49,***,***
B_FPIPO2T09_08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.15,***,***,***,***,***,***,***,***,***,***,***,20.62,***,***,***,***,***,***,***,***,8.99,***,***,***,***,***,13.98,***,***,3.30,***,***
B_FPIPO2T09_09,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,13.82,***,***,***,***,***,***,***,***,***,***,***,16.49,***,***,***,***,***,***,***,***,0.66,***,***,***,***,***,0.41,***,***,13.71,***,***
Mean,1.49,1.88,-0.40,-26.60,1.65,-0.16,-10.78,3.51,-2.02,-135.85,0.97,0.51,34.54,1.94,-0.45,-30.60,6.35,-4.86,-326.85,0.47,1.01,68.26,0.65,0.83,55.97,0.43,1.06,71.01,21.75,-20.27,-1363.04,0.87,0.61,41.18,2.85,-1.36,-91.35,4.68,-3.19,-214.43,1.70,-0.22,-14.51,6.60,-5.11,-343.69,6.20,-4.71,-316.67
