ProjectUnit = PIPO2T09
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR10-Attr,01YEAR10-Diff,01YEAR10-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff,Pre1996-Attr,Pre1996-Diff,Pre1996-%Diff,Pre1997-Attr,Pre1997-Diff,Pre1997-%Diff,Pre1998-Attr,Pre1998-Diff,Pre1998-%Diff,Pre1999-Attr,Pre1999-Diff,Pre1999-%Diff,FUEL2009-Attr,FUEL2009-Diff,FUEL2009-%Diff
B_FPIPO2T09_01,0.56,0.25,-0.30,-54.50,0.35,-0.21,-36.94,0.40,-0.16,-27.93,0.38,-0.17,-31.08,0.43,-0.13,-22.52,0.20,-0.35,-63.51,***,***,***,***,***,***,***,***,***,0.04,-0.51,-92.34,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.39,-0.17,-29.73
B_FPIPO2T09_02,0.56,0.28,-0.28,-50.22,0.33,-0.23,-41.33,0.77,0.21,36.44,0.49,-0.08,-13.78,0.50,-0.07,-11.56,0.83,0.27,47.11,***,***,***,***,***,***,***,***,***,0.04,-0.53,-93.78,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.33,-0.24,-42.22
B_FPIPO2T09_03,0.61,0.48,-0.14,-22.45,0.84,0.22,36.33,0.52,-0.09,-14.69,0.33,-0.28,-46.12,***,***,***,***,***,***,0.56,-0.06,-8.98,0.02,-0.59,-96.73,0.01,-0.61,-98.78,0.12,-0.49,-80.41,0.27,-0.35,-56.73,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO2T09_04,0.66,0.49,-0.17,-25.57,0.61,-0.05,-7.63,0.81,0.15,22.90,0.87,0.21,32.06,0.44,-0.22,-33.59,0.49,-0.17,-25.19,***,***,***,***,***,***,***,***,***,0.16,-0.50,-75.95,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.26,-0.40,-60.69
B_FPIPO2T09_05,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.76,***,***,***,***,***,***,***,***,***,***,***,0.07,***,***,***,***,***,0.33,***,***,***,***,***,1.07,***,***,***,***,***,0.74,***,***
B_FPIPO2T09_06,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.78,***,***,***,***,***,***,***,***,***,***,***,0.15,***,***,***,***,***,***,***,***,0.80,***,***,***,***,***,0.85,***,***,0.90,***,***
B_FPIPO2T09_07,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.80,***,***,***,***,***,***,***,***,***,***,***,0.04,***,***,***,***,***,***,***,***,0.33,***,***,***,***,***,0.57,***,***,0.69,***,***
B_FPIPO2T09_08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.36,***,***,***,***,***,***,***,***,***,***,***,0.09,***,***,***,***,***,***,***,***,1.08,***,***,***,***,***,1.47,***,***,1.65,***,***
B_FPIPO2T09_09,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.73,***,***,***,***,***,***,***,***,***,***,***,0.16,***,***,***,***,***,***,***,***,1.71,***,***,***,***,***,1.08,***,***,1.19,***,***
Mean,0.60,0.37,0.22,37.32,0.53,0.07,11.11,0.62,-0.03,-4.61,0.52,0.08,13.52,0.45,0.14,23.83,0.87,-0.27,-45.55,0.56,0.04,6.50,0.02,0.58,96.65,0.01,0.59,98.74,0.10,0.50,84.07,0.27,0.33,55.56,0.33,0.27,45.07,0.98,-0.38,-64.26,1.07,-0.47,-79.45,0.99,-0.39,-66.04,0.77,-0.17,-28.62
