ProjectUnit = PIPO2T09
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR10-Attr,01YEAR10-Diff,01YEAR10-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff,Pre1996-Attr,Pre1996-Diff,Pre1996-%Diff,Pre1997-Attr,Pre1997-Diff,Pre1997-%Diff,Pre1998-Attr,Pre1998-Diff,Pre1998-%Diff,Pre1999-Attr,Pre1999-Diff,Pre1999-%Diff,FUEL2009-Attr,FUEL2009-Diff,FUEL2009-%Diff
B_FPIPO2T09_01,5.54,2.52,-3.02,-54.50,3.49,-2.05,-36.94,3.99,-1.55,-27.93,3.82,-1.72,-31.08,4.29,-1.25,-22.52,2.02,-3.52,-63.51,***,***,***,***,***,***,***,***,***,0.42,-5.12,-92.34,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.89,-1.65,-29.73
B_FPIPO2T09_02,5.62,2.80,-2.82,-50.22,3.29,-2.32,-41.33,7.66,2.05,36.44,4.84,-0.77,-13.78,4.97,-0.65,-11.56,8.26,2.65,47.11,***,***,***,***,***,***,***,***,***,0.35,-5.27,-93.78,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.24,-2.37,-42.22
B_FPIPO2T09_03,6.11,4.74,-1.37,-22.45,8.34,2.22,36.33,5.22,-0.90,-14.69,3.29,-2.82,-46.12,***,***,***,***,***,***,5.57,-0.55,-8.98,0.20,-5.91,-96.73,0.07,-6.04,-98.78,1.20,-4.92,-80.41,2.65,-3.47,-56.73,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO2T09_04,6.54,4.87,-1.67,-25.57,6.04,-0.50,-7.63,8.04,1.50,22.90,8.63,2.10,32.06,4.34,-2.20,-33.59,4.89,-1.65,-25.19,***,***,***,***,***,***,***,***,***,1.57,-4.97,-75.95,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.57,-3.97,-60.69
B_FPIPO2T09_05,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,7.54,***,***,***,***,***,***,***,***,***,***,***,0.67,***,***,***,***,***,3.27,***,***,***,***,***,10.68,***,***,***,***,***,7.39,***,***
B_FPIPO2T09_06,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,7.76,***,***,***,***,***,***,***,***,***,***,***,1.47,***,***,***,***,***,***,***,***,7.96,***,***,***,***,***,8.44,***,***,8.93,***,***
B_FPIPO2T09_07,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,8.01,***,***,***,***,***,***,***,***,***,***,***,0.40,***,***,***,***,***,***,***,***,3.27,***,***,***,***,***,5.67,***,***,6.89,***,***
B_FPIPO2T09_08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,13.60,***,***,***,***,***,***,***,***,***,***,***,0.87,***,***,***,***,***,***,***,***,10.78,***,***,***,***,***,14.70,***,***,16.47,***,***
B_FPIPO2T09_09,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,17.22,***,***,***,***,***,***,***,***,***,***,***,1.57,***,***,***,***,***,***,***,***,17.10,***,***,***,***,***,10.73,***,***,11.85,***,***
Mean,5.95,3.73,2.22,37.32,5.29,0.66,11.11,6.23,-0.27,-4.61,5.15,0.80,13.52,4.53,1.42,23.83,8.66,-2.71,-45.55,5.57,0.39,6.50,0.20,5.75,96.65,0.07,5.88,98.74,0.95,5.00,84.07,2.65,3.31,55.56,3.27,2.68,45.07,9.78,-3.82,-64.26,10.68,-4.73,-79.45,9.88,-3.93,-66.04,7.66,-1.70,-28.62
