ProjectUnit = PIPO2T09
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR10-Attr,01YEAR10-Diff,01YEAR10-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff,Pre1996-Attr,Pre1996-Diff,Pre1996-%Diff,Pre1997-Attr,Pre1997-Diff,Pre1997-%Diff,Pre1998-Attr,Pre1998-Diff,Pre1998-%Diff,Pre1999-Attr,Pre1999-Diff,Pre1999-%Diff,FUEL2009-Attr,FUEL2009-Diff,FUEL2009-%Diff
B_FPIPO2T09_01,0.77,0.33,-0.44,-57.65,0.84,0.07,9.12,0.79,0.02,2.61,1.02,0.25,32.25,1.16,0.39,50.49,0.75,-0.02,-2.93,***,***,***,***,***,***,***,***,***,0.17,-0.60,-77.52,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.69,-0.08,-10.42
B_FPIPO2T09_02,0.72,0.37,-0.35,-48.78,0.54,-0.18,-25.44,0.27,-0.45,-62.02,0.89,0.17,23.69,0.47,-0.25,-34.49,0.57,-0.15,-21.25,***,***,***,***,***,***,***,***,***,0.09,-0.63,-87.80,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.52,-0.20,-28.22
B_FPIPO2T09_03,0.98,0.44,-0.54,-55.36,0.51,-0.47,-47.96,0.75,-0.23,-23.72,0.96,-0.02,-2.30,***,***,***,***,***,***,0.37,-0.61,-62.50,0.23,-0.75,-76.28,0.39,-0.59,-60.46,0.56,-0.43,-43.37,0.46,-0.52,-53.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO2T09_04,0.99,0.47,-0.52,-52.28,0.69,-0.30,-30.20,0.87,-0.11,-11.42,0.48,-0.51,-51.27,0.71,-0.27,-27.66,0.52,-0.47,-47.72,***,***,***,***,***,***,***,***,***,0.23,-0.75,-76.40,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.46,-0.53,-53.55
B_FPIPO2T09_05,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.03,***,***,***,***,***,***,***,***,***,***,***,0.16,***,***,***,***,***,1.30,***,***,***,***,***,1.05,***,***,***,***,***,0.79,***,***
B_FPIPO2T09_06,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.64,***,***,***,***,***,***,***,***,***,***,***,0.31,***,***,***,***,***,***,***,***,1.10,***,***,***,***,***,1.16,***,***,1.05,***,***
B_FPIPO2T09_07,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.86,***,***,***,***,***,***,***,***,***,***,***,0.09,***,***,***,***,***,***,***,***,0.78,***,***,***,***,***,0.90,***,***,0.76,***,***
B_FPIPO2T09_08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.83,***,***,***,***,***,***,***,***,***,***,***,0.22,***,***,***,***,***,***,***,***,1.18,***,***,***,***,***,1.21,***,***,1.11,***,***
B_FPIPO2T09_09,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.02,***,***,***,***,***,***,***,***,***,***,***,0.31,***,***,***,***,***,***,***,***,1.26,***,***,***,***,***,1.06,***,***,0.98,***,***
Mean,0.86,0.40,0.46,53.62,0.64,0.22,25.51,0.67,0.19,22.32,0.84,0.03,3.19,0.78,0.08,9.66,0.77,0.09,10.22,0.37,0.50,57.39,0.23,0.63,73.04,0.39,0.48,55.07,0.24,0.63,72.56,0.46,0.41,46.96,1.30,-0.44,-51.01,1.08,-0.22,-25.29,1.05,-0.19,-22.03,1.08,-0.22,-25.29,0.79,0.07,8.04
