ProjectUnit = PIPO2T09
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR10-Attr,01YEAR10-Diff,01YEAR10-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff,Pre1996-Attr,Pre1996-Diff,Pre1996-%Diff,Pre1997-Attr,Pre1997-Diff,Pre1997-%Diff,Pre1998-Attr,Pre1998-Diff,Pre1998-%Diff,Pre1999-Attr,Pre1999-Diff,Pre1999-%Diff,FUEL2009-Attr,FUEL2009-Diff,FUEL2009-%Diff
B_FPIPO2T09_01,3.83,1.62,-2.21,-57.65,4.18,0.35,9.12,3.93,0.10,2.61,5.07,1.24,32.25,5.76,1.93,50.49,3.72,-0.11,-2.93,***,***,***,***,***,***,***,***,***,0.86,-2.97,-77.52,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.43,-0.40,-10.42
B_FPIPO2T09_02,3.58,1.83,-1.75,-48.78,2.67,-0.91,-25.44,1.36,-2.22,-62.02,4.43,0.85,23.69,2.35,-1.24,-34.49,2.82,-0.76,-21.25,***,***,***,***,***,***,***,***,***,0.44,-3.14,-87.80,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.57,-1.01,-28.22
B_FPIPO2T09_03,4.89,2.18,-2.71,-55.36,2.55,-2.35,-47.96,3.73,-1.16,-23.72,4.78,-0.11,-2.30,***,***,***,***,***,***,1.83,-3.06,-62.50,1.16,-3.73,-76.28,1.93,-2.96,-60.46,2.77,-2.12,-43.37,2.28,-2.61,-53.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO2T09_04,4.92,2.35,-2.57,-52.28,3.43,-1.48,-30.20,4.35,-0.56,-11.42,2.40,-2.52,-51.27,3.56,-1.36,-27.66,2.57,-2.35,-47.72,***,***,***,***,***,***,***,***,***,1.16,-3.76,-76.40,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.28,-2.63,-53.55
B_FPIPO2T09_05,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,5.13,***,***,***,***,***,***,***,***,***,***,***,0.81,***,***,***,***,***,6.50,***,***,***,***,***,5.25,***,***,***,***,***,3.96,***,***
B_FPIPO2T09_06,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.17,***,***,***,***,***,***,***,***,***,***,***,1.56,***,***,***,***,***,***,***,***,5.50,***,***,***,***,***,5.80,***,***,5.23,***,***
B_FPIPO2T09_07,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.27,***,***,***,***,***,***,***,***,***,***,***,0.42,***,***,***,***,***,***,***,***,3.89,***,***,***,***,***,4.47,***,***,3.79,***,***
B_FPIPO2T09_08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.16,***,***,***,***,***,***,***,***,***,***,***,1.09,***,***,***,***,***,***,***,***,5.88,***,***,***,***,***,6.03,***,***,5.54,***,***
B_FPIPO2T09_09,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,5.09,***,***,***,***,***,***,***,***,***,***,***,1.52,***,***,***,***,***,***,***,***,6.30,***,***,***,***,***,5.28,***,***,4.87,***,***
Mean,4.30,2.00,2.31,53.62,3.21,1.10,25.51,3.34,0.96,22.32,4.17,0.14,3.19,3.89,0.42,9.66,3.87,0.44,10.22,1.83,2.47,57.39,1.16,3.14,73.04,1.93,2.37,55.07,1.18,3.12,72.56,2.28,2.02,46.96,6.50,-2.20,-51.01,5.39,-1.09,-25.29,5.25,-0.95,-22.03,5.39,-1.09,-25.29,3.96,0.35,8.04
