ProjectUnit = PIPO2T09
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR10-Attr,01YEAR10-Diff,01YEAR10-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff,Pre1996-Attr,Pre1996-Diff,Pre1996-%Diff,Pre1997-Attr,Pre1997-Diff,Pre1997-%Diff,Pre1998-Attr,Pre1998-Diff,Pre1998-%Diff,Pre1999-Attr,Pre1999-Diff,Pre1999-%Diff,FUEL2009-Attr,FUEL2009-Diff,FUEL2009-%Diff
B_FPIPO2T09_01,14.22,9.07,-5.15,-36.21,13.12,-1.09,-7.67,13.20,-1.01,-7.13,11.29,-2.93,-20.58,17.19,2.97,20.92,13.93,-0.29,-2.03,***,***,***,***,***,***,***,***,***,32.82,18.61,130.88,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,16.04,1.82,12.81
B_FPIPO2T09_02,12.97,6.97,-6.00,-46.23,7.64,-5.33,-41.06,11.48,-1.49,-11.52,10.72,-2.25,-17.35,9.19,-3.78,-29.17,13.57,0.60,4.62,***,***,***,***,***,***,***,***,***,36.90,23.93,184.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,7.75,-5.22,-40.25
B_FPIPO2T09_03,16.35,10.46,-5.89,-36.04,14.52,-1.83,-11.18,13.02,-3.32,-20.32,12.58,-3.76,-23.03,***,***,***,***,***,***,8.78,-7.57,-46.30,3.03,-13.32,-81.49,5.20,-11.14,-68.17,7.30,-9.05,-55.34,10.58,-5.77,-35.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPIPO2T09_04,26.09,16.27,-9.82,-37.63,21.86,-4.22,-16.19,27.68,1.59,6.09,21.03,-5.06,-19.39,13.52,-12.56,-48.16,9.20,-16.89,-64.74,***,***,***,***,***,***,***,***,***,24.52,-1.56,-5.99,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,6.96,-19.13,-73.33
B_FPIPO2T09_05,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,36.98,***,***,***,***,***,***,***,***,***,***,***,35.46,***,***,***,***,***,18.20,***,***,***,***,***,22.39,***,***,***,***,***,35.16,***,***
B_FPIPO2T09_06,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,17.37,***,***,***,***,***,***,***,***,***,***,***,41.65,***,***,***,***,***,***,***,***,20.95,***,***,***,***,***,26.83,***,***,25.67,***,***
B_FPIPO2T09_07,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,23.27,***,***,***,***,***,***,***,***,***,***,***,20.09,***,***,***,***,***,***,***,***,21.59,***,***,***,***,***,23.64,***,***,22.95,***,***
B_FPIPO2T09_08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,39.23,***,***,***,***,***,***,***,***,***,***,***,27.05,***,***,***,***,***,***,***,***,39.45,***,***,***,***,***,54.85,***,***,44.76,***,***
B_FPIPO2T09_09,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,49.77,***,***,***,***,***,***,***,***,***,***,***,26.66,***,***,***,***,***,***,***,***,78.77,***,***,***,***,***,42.40,***,***,38.57,***,***
Mean,17.40,10.69,6.71,38.57,14.29,3.12,17.91,16.34,1.06,6.09,13.90,3.50,20.11,13.30,4.10,23.58,25.41,-8.01,-46.02,8.78,8.63,49.56,3.03,14.38,82.61,5.20,12.20,70.11,28.05,-10.65,-61.17,10.58,6.83,39.24,18.20,-0.80,-4.57,40.19,-22.78,-130.91,22.39,-4.98,-28.64,36.93,-19.52,-112.18,24.73,-7.33,-42.10
