ProjectUnit = PIPO3T02
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR10-Attr,01YEAR10-Diff,01YEAR10-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR4-Attr,02YEAR4-Diff,02YEAR4-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff
B_FPIPO3T02_01,0.15,0.03,-0.12,-78.38,0.04,-0.10,-70.27,0.03,-0.12,-81.08,0.00,-0.14,-97.30,0.00,-0.14,-97.30,***,***,***,0.07,-0.08,-51.41,0.00,-0.15,-100.00,0.00,-0.14,-97.30,0.00,-0.15,-100.00
B_FPIPO3T02_02,0.08,0.03,-0.04,-57.97,0.04,-0.03,-42.19,0.01,-0.06,-84.21,0.01,-0.07,-89.44,0.00,-0.08,-100.00,***,***,***,0.00,-0.07,-94.72,0.02,-0.06,-78.97,0.01,-0.06,-84.21,0.00,-0.08,-100.00
B_FPIPO3T02_03,0.13,0.04,-0.09,-66.54,0.02,-0.11,-81.78,0.03,-0.10,-75.69,0.00,-0.13,-96.96,0.06,-0.07,-54.43,***,***,***,0.02,-0.12,-87.83,0.01,-0.12,-90.87,0.02,-0.11,-84.83,0.05,-0.08,-60.49
B_FPIPO3T02_04,0.04,0.10,0.05,118.08,0.05,0.00,9.21,0.06,0.02,45.56,0.02,-0.03,-63.62,0.03,-0.02,-36.28,***,***,***,0.25,0.21,473.31,0.04,-0.01,-18.11,0.05,0.00,9.19,0.05,0.01,18.19
B_FPIPO3T02_05,0.02,0.03,0.02,99.53,0.00,-0.02,-100.00,0.02,0.00,24.89,0.00,-0.02,-100.00,0.01,-0.01,-50.15,***,***,***,0.03,0.01,74.52,0.00,-0.02,-100.00,0.03,0.01,74.88,0.01,0.00,-24.94
B_FPIPO3T02_06,0.03,0.02,-0.02,-49.89,0.01,-0.02,-74.88,0.00,-0.03,-100.00,0.00,-0.03,-100.00,0.00,-0.03,-87.41,***,***,***,0.00,-0.03,-100.00,0.01,-0.02,-62.58,0.00,-0.03,-87.56,0.01,-0.02,-62.59
B_FPIPO3T02_07,0.02,0.03,0.01,33.84,0.06,0.04,166.40,0.03,0.01,32.96,0.04,0.02,82.97,0.00,-0.02,-100.00,***,***,***,0.05,0.03,116.44,0.05,0.03,116.19,0.00,-0.02,-83.38,0.01,-0.02,-66.76
B_FPIPO3T02_08,0.06,0.08,0.03,49.90,0.04,-0.02,-35.72,0.01,-0.05,-85.74,0.01,-0.05,-85.74,0.03,-0.03,-49.93,***,***,***,0.01,-0.04,-78.58,0.01,-0.04,-78.59,0.00,-0.05,-92.82,0.02,-0.04,-71.46
B_FPIPO3T02_09,0.08,***,***,***,0.04,-0.04,-45.01,0.00,-0.08,-95.00,0.05,-0.03,-39.99,0.07,-0.01,-10.02,***,***,***,0.03,-0.05,-65.01,0.02,-0.06,-75.00,0.01,-0.07,-90.00,0.02,-0.06,-70.01
B_FPIPO3T02_10,0.04,0.01,-0.03,-70.06,0.02,-0.02,-39.62,0.02,-0.02,-40.12,0.06,0.02,59.73,0.02,-0.02,-50.00,***,***,***,0.08,0.04,109.39,0.01,-0.03,-80.07,0.00,-0.04,-90.04,0.01,-0.03,-80.07
