ProjectUnit = PIPO3T02
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR10-Attr,01YEAR10-Diff,01YEAR10-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR4-Attr,02YEAR4-Diff,02YEAR4-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff
B_FPIPO3T02_01,10.23,0.00,-10.23,-100.00,0.00,-10.23,-100.00,0.00,-10.23,-100.00,0.00,-10.23,-100.00,0.00,-10.23,-100.00,***,***,***,0.00,-10.23,-100.00,0.00,-10.23,-100.00,0.00,-10.23,-100.00,0.00,-10.23,-100.00
B_FPIPO3T02_02,3.28,1.89,-1.38,-42.19,1.37,-1.91,-58.29,0.63,-2.65,-80.76,0.18,-3.10,-94.54,0.00,-3.28,-100.00,***,***,***,0.00,-3.28,-100.00,0.00,-3.28,-100.00,0.00,-3.28,-100.00,0.00,-3.28,-100.00
B_FPIPO3T02_03,5.06,0.00,-5.06,-100.00,0.00,-5.06,-100.00,0.00,-5.06,-100.00,0.00,-5.06,-100.00,0.00,-5.06,-100.00,***,***,***,0.00,-5.06,-100.00,0.00,-5.06,-100.00,0.00,-5.06,-100.00,0.00,-5.06,-100.00
B_FPIPO3T02_04,10.54,0.00,-10.54,-100.00,0.00,-10.54,-100.00,0.25,-10.28,-97.60,0.00,-10.54,-100.00,0.00,-10.54,-100.00,***,***,***,0.00,-10.54,-100.00,0.00,-10.54,-100.00,0.00,-10.54,-100.00,0.00,-10.54,-100.00
B_FPIPO3T02_05,5.70,0.00,-5.70,-100.00,0.00,-5.70,-100.00,0.00,-5.70,-100.00,0.00,-5.70,-100.00,0.00,-5.70,-100.00,***,***,***,0.00,-5.70,-100.00,0.00,-5.70,-100.00,0.00,-5.70,-100.00,0.00,-5.70,-100.00
B_FPIPO3T02_06,11.35,0.34,-11.01,-97.02,1.41,-9.93,-87.53,0.00,-11.35,-100.00,3.57,-7.78,-68.57,0.98,-10.37,-91.34,***,***,***,0.00,-11.35,-100.00,0.00,-11.35,-100.00,0.00,-11.35,-100.00,0.00,-11.35,-100.00
B_FPIPO3T02_07,36.44,1.08,-35.37,-97.05,1.12,-35.33,-96.93,0.00,-36.44,-100.00,0.17,-36.28,-99.54,0.00,-36.44,-100.00,***,***,***,0.00,-36.44,-100.00,0.00,-36.44,-100.00,0.00,-36.44,-100.00,0.00,-36.44,-100.00
B_FPIPO3T02_08,17.81,0.00,-17.81,-100.00,0.00,-17.81,-100.00,0.00,-17.81,-100.00,0.00,-17.81,-100.00,0.00,-17.81,-100.00,***,***,***,0.00,-17.81,-100.00,0.00,-17.81,-100.00,0.00,-17.81,-100.00,0.00,-17.81,-100.00
B_FPIPO3T02_09,22.53,***,***,***,2.11,-20.41,-90.61,0.00,-22.53,-100.00,0.00,-22.53,-100.00,1.58,-20.95,-93.00,***,***,***,0.00,-22.53,-100.00,0.00,-22.53,-100.00,0.00,-22.53,-100.00,0.00,-22.53,-100.00
B_FPIPO3T02_10,11.33,0.00,-11.33,-100.00,0.00,-11.33,-100.00,0.00,-11.33,-100.00,0.00,-11.33,-100.00,0.00,-11.33,-100.00,***,***,***,0.00,-11.33,-100.00,0.00,-11.33,-100.00,0.00,-11.33,-100.00,0.00,-11.33,-100.00
B_FPIPO3T02_11,14.16,0.00,-14.16,-100.00,0.00,-14.16,-100.00,0.00,-14.16,-100.00,0.00,-14.16,-100.00,0.00,-14.16,-100.00,***,***,***,0.00,-14.16,-100.00,0.00,-14.16,-100.00,0.00,-14.16,-100.00,0.00,-14.16,-100.00
B_FPIPO3T02_12,27.61,0.00,-27.61,-100.00,0.00,-27.61,-100.00,0.00,-27.61,-100.00,0.00,-27.61,-100.00,0.00,-27.61,-100.00,***,***,***,0.00,-27.61,-100.00,0.00,-27.61,-100.00,0.00,-27.61,-100.00,0.00,-27.61,-100.00
B_FPIPO3T02_13,11.39,0.00,-11.39,-100.00,0.64,-10.75,-94.41,0.00,-11.39,-100.00,1.23,-10.16,-89.16,0.00,-11.39,-100.00,***,***,***,0.00,-11.39,-100.00,0.00,-11.39,-100.00,0.00,-11.39,-100.00,0.00,-11.39,-100.00
B_FPIPO3T02_14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B_FPIPO3T02_15,7.58,0.63,-6.95,-91.63,1.27,-6.31,-83.20,0.00,-7.58,-100.00,0.00,-7.58,-100.00,0.00,-7.58,-100.00,0.00,-7.58,-100.00,0.00,-7.58,-100.00,0.00,-7.58,-100.00,0.00,-7.58,-100.00,0.00,-7.58,-100.00
B_FPIPO3T02_16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B_FPIPO3T02_17,3.74,0.00,-3.74,-100.00,0.00,-3.74,-100.00,2.05,-1.69,-45.19,0.00,-3.74,-100.00,0.00,-3.74,-100.00,0.00,-3.74,-100.00,0.00,-3.74,-100.00,0.00,-3.74,-100.00,0.00,-3.74,-100.00,0.00,-3.74,-100.00
B_FPIPO3T02_18,15.10,0.34,-14.76,-97.74,0.00,-15.10,-100.00,0.00,-15.10,-100.00,0.00,-15.10,-100.00,0.00,-15.10,-100.00,0.00,-15.10,-100.00,0.00,-15.10,-100.00,0.00,-15.10,-100.00,0.00,-15.10,-100.00,0.21,-14.88,-98.58
B_FPIPO3T02_19,3.86,2.13,-1.73,-44.87,0.53,-3.33,-86.22,0.00,-3.86,-100.00,1.02,-2.84,-73.57,1.17,-2.70,-69.81,0.00,-3.86,-100.00,2.40,-1.47,-37.92,0.63,-3.23,-83.60,0.53,-3.33,-86.22,0.00,-3.86,-100.00
Mean,11.46,0.36,11.10,96.89,0.45,11.01,96.12,0.15,11.30,98.65,0.32,11.13,97.17,0.20,11.26,98.29,0.00,11.46,100.00,0.13,11.33,98.90,0.03,11.42,99.71,0.03,11.43,99.76,0.01,11.45,99.90
