ProjectUnit = PIPO3T02
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR10-Attr,01YEAR10-Diff,01YEAR10-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR4-Attr,02YEAR4-Diff,02YEAR4-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff
B_FPIPO3T02_01,1.29,1.59,0.31,23.82,1.84,0.55,43.08,1.57,0.28,21.98,1.27,-0.01,-1.00,1.34,0.05,4.06,***,***,***,0.47,-0.81,-63.27,0.96,-0.33,-25.63,0.61,-0.68,-52.82,1.42,0.14,10.65
B_FPIPO3T02_02,0.00,0.32,0.32,***,0.37,0.37,***,0.37,0.37,***,0.00,0.00,0.00,0.22,0.22,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B_FPIPO3T02_03,2.85,1.55,-1.29,-45.40,5.17,2.32,81.70,1.78,-1.06,-37.32,3.59,0.74,26.09,2.27,-0.58,-20.26,***,***,***,2.62,-0.22,-7.82,3.74,0.90,31.62,7.30,4.45,156.43,3.98,1.13,39.85
B_FPIPO3T02_04,4.30,2.80,-1.50,-34.96,2.24,-2.06,-47.87,2.13,-2.17,-50.54,2.20,-2.10,-48.85,3.49,-0.81,-18.81,***,***,***,3.66,-0.64,-14.81,2.81,-1.49,-34.74,3.27,-1.03,-23.99,2.18,-2.12,-49.39
B_FPIPO3T02_05,1.93,0.81,-1.12,-57.96,1.27,-0.66,-34.09,0.47,-1.46,-75.43,2.18,0.24,12.66,1.43,-0.51,-26.26,***,***,***,0.85,-1.09,-56.23,0.00,-1.93,-100.00,0.58,-1.35,-69.81,1.31,-0.62,-32.07
B_FPIPO3T02_06,0.00,0.25,0.25,***,0.27,0.27,***,3.16,3.16,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B_FPIPO3T02_07,1.17,0.74,-0.44,-37.26,1.83,0.66,55.86,1.49,0.32,27.33,0.00,-1.17,-100.00,0.78,-0.39,-33.47,***,***,***,0.38,-0.80,-67.96,0.38,-0.80,-67.96,0.00,-1.17,-100.00,0.57,-0.60,-51.17
B_FPIPO3T02_08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.28,1.28,***,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.37,***,0.38,0.38,***
B_FPIPO3T02_09,12.45,***,***,***,4.93,-7.52,-60.38,5.51,-6.94,-55.77,7.61,-4.85,-38.91,3.85,-8.60,-69.08,***,***,***,0.37,-12.08,-97.01,0.00,-12.45,-100.00,0.37,-12.08,-97.01,0.00,-12.45,-100.00
B_FPIPO3T02_10,3.13,4.90,1.77,56.46,3.94,0.81,25.78,3.69,0.56,17.87,2.64,-0.49,-15.67,2.00,-1.13,-36.02,***,***,***,1.31,-1.82,-58.20,0.00,-3.13,-100.00,1.31,-1.82,-58.20,1.14,-1.99,-63.59
B_FPIPO3T02_11,10.52,9.06,-1.46,-13.90,8.46,-2.06,-19.55,6.44,-4.08,-38.80,9.96,-0.56,-5.35,5.88,-4.64,-44.14,***,***,***,5.24,-5.28,-50.17,4.25,-6.27,-59.64,3.94,-6.58,-62.57,4.25,-6.27,-59.64
B_FPIPO3T02_12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.37,0.37,***,0.00,0.00,0.00,0.29,0.29,***,0.00,0.00,0.00
B_FPIPO3T02_13,34.79,6.97,-27.82,-79.97,5.44,-29.34,-84.35,4.31,-30.48,-87.61,4.32,-30.47,-87.59,5.01,-29.78,-85.60,***,***,***,4.31,-30.48,-87.61,3.44,-31.34,-90.10,2.18,-32.61,-93.74,3.61,-31.18,-89.64
B_FPIPO3T02_14,2.73,2.24,-0.49,-17.86,2.24,-0.49,-17.86,1.92,-0.81,-29.61,1.74,-0.99,-36.17,2.67,-0.06,-2.26,***,***,***,0.29,-2.44,-89.52,0.29,-2.44,-89.52,0.27,-2.46,-90.11,0.37,-2.35,-86.31
B_FPIPO3T02_15,1.80,0.00,-1.80,-100.00,0.00,-1.80,-100.00,0.00,-1.80,-100.00,0.23,-1.58,-87.47,0.00,-1.80,-100.00,0.00,-1.80,-100.00,0.00,-1.80,-100.00,1.33,-0.48,-26.48,0.34,-1.46,-81.17,0.38,-1.43,-79.14
B_FPIPO3T02_16,2.97,0.27,-2.70,-90.93,0.32,-2.65,-89.25,0.32,-2.65,-89.25,0.00,-2.97,-100.00,0.00,-2.97,-100.00,0.00,-2.97,-100.00,0.00,-2.97,-100.00,0.00,-2.97,-100.00,0.00,-2.97,-100.00,0.96,-2.01,-67.75
B_FPIPO3T02_17,2.71,2.65,-0.06,-2.30,2.49,-0.22,-8.02,0.00,-2.71,-100.00,1.71,-1.00,-36.80,2.63,-0.08,-2.91,2.19,-0.52,-19.35,1.98,-0.73,-26.93,1.98,-0.73,-26.93,0.96,-1.75,-64.62,1.44,-1.28,-47.06
B_FPIPO3T02_18,0.90,1.62,0.72,80.22,1.93,1.03,114.65,1.69,0.79,87.92,1.43,0.54,59.53,1.32,0.42,46.48,1.15,0.25,27.60,0.00,-0.90,-100.00,2.34,1.44,160.40,1.15,0.25,27.60,0.99,0.09,10.02
B_FPIPO3T02_19,1.68,0.52,-1.16,-69.12,0.24,-1.44,-85.69,1.47,-0.21,-12.64,0.23,-1.45,-86.57,0.29,-1.39,-82.88,0.00,-1.68,-100.00,0.29,-1.39,-82.88,0.85,-0.83,-49.68,1.52,-0.16,-9.51,1.58,-0.09,-5.65
Mean,4.49,2.02,2.47,55.05,2.26,2.22,49.54,1.91,2.57,57.38,2.13,2.36,52.61,1.75,2.74,61.07,0.67,3.82,85.13,1.17,3.32,74.02,1.18,3.31,73.77,1.29,3.20,71.31,1.29,3.19,71.19
