ProjectUnit = PIPO3T02
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR10-Attr,01YEAR10-Diff,01YEAR10-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR4-Attr,02YEAR4-Diff,02YEAR4-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff
B_FPIPO3T02_01,0.13,0.15,0.02,13.46,0.27,0.14,109.62,0.08,-0.05,-40.38,0.15,0.02,13.46,0.01,-0.12,-92.31,***,***,***,0.03,-0.11,-80.77,0.00,-0.13,-100.00,0.02,-0.12,-88.46,0.05,-0.09,-65.38
B_FPIPO3T02_02,0.39,0.37,-0.02,-5.10,0.25,-0.14,-36.31,0.21,-0.18,-46.50,0.24,-0.16,-40.13,0.01,-0.39,-98.73,***,***,***,0.10,-0.30,-75.80,0.00,-0.39,-100.00,0.34,-0.06,-14.65,0.11,-0.29,-73.25
B_FPIPO3T02_03,0.25,0.12,-0.13,-52.00,0.01,-0.25,-98.00,0.15,-0.11,-42.00,0.20,-0.05,-20.00,0.02,-0.24,-94.00,***,***,***,0.12,-0.13,-52.00,0.00,-0.25,-100.00,0.02,-0.23,-93.00,0.10,-0.15,-60.00
B_FPIPO3T02_04,0.35,0.30,-0.06,-16.31,0.05,-0.31,-86.52,0.32,-0.04,-9.93,0.07,-0.29,-80.85,0.02,-0.34,-95.74,***,***,***,0.06,-0.30,-83.69,0.00,-0.35,-100.00,0.14,-0.22,-61.70,0.10,-0.26,-72.34
B_FPIPO3T02_05,0.23,0.41,0.18,79.35,0.12,-0.12,-50.00,0.11,-0.12,-53.26,0.39,0.16,70.65,0.00,-0.23,-100.00,***,***,***,0.05,-0.19,-80.43,0.00,-0.23,-100.00,0.18,-0.05,-21.74,0.05,-0.18,-78.26
B_FPIPO3T02_06,0.31,0.10,-0.20,-66.39,0.12,-0.19,-62.30,0.40,0.09,30.33,0.06,-0.24,-79.51,0.00,-0.31,-100.00,***,***,***,0.07,-0.24,-77.05,0.00,-0.31,-100.00,0.08,-0.23,-74.59,0.48,0.17,56.56
B_FPIPO3T02_07,0.31,0.39,0.08,24.80,0.17,-0.14,-45.60,0.28,-0.03,-10.40,0.17,-0.15,-46.40,0.00,-0.31,-100.00,***,***,***,0.19,-0.13,-40.80,0.00,-0.31,-100.00,0.07,-0.24,-77.60,0.16,-0.15,-48.80
B_FPIPO3T02_08,0.47,0.11,-0.36,-76.19,0.11,-0.36,-76.19,0.10,-0.38,-79.37,0.23,-0.25,-51.85,0.03,-0.44,-93.65,***,***,***,0.11,-0.36,-76.72,0.00,-0.47,-100.00,0.01,-0.47,-98.41,0.06,-0.41,-87.30
B_FPIPO3T02_09,0.24,***,***,***,0.09,-0.14,-60.64,0.22,-0.01,-5.32,0.08,-0.16,-67.02,0.00,-0.24,-100.00,***,***,***,0.00,-0.24,-100.00,0.00,-0.24,-100.00,0.01,-0.23,-97.87,0.02,-0.22,-92.55
B_FPIPO3T02_10,0.53,0.32,-0.22,-40.85,0.17,-0.37,-69.01,0.44,-0.10,-17.84,0.28,-0.26,-47.89,0.16,-0.37,-69.95,***,***,***,0.36,-0.18,-33.33,0.00,-0.53,-100.00,0.25,-0.29,-53.52,0.11,-0.42,-79.34
B_FPIPO3T02_11,0.51,0.20,-0.32,-61.46,0.77,0.25,49.27,1.09,0.58,112.68,0.09,-0.42,-82.44,0.10,-0.42,-80.98,***,***,***,0.23,-0.29,-56.10,0.02,-0.50,-97.07,0.00,-0.51,-100.00,0.13,-0.39,-75.61
B_FPIPO3T02_12,0.27,0.08,-0.19,-69.81,0.11,-0.15,-57.55,0.33,0.07,25.47,0.12,-0.15,-56.60,0.02,-0.25,-93.40,***,***,***,0.08,-0.18,-68.87,0.00,-0.27,-100.00,0.01,-0.26,-98.11,0.08,-0.19,-70.75
B_FPIPO3T02_13,1.34,0.18,-1.16,-86.59,0.33,-1.01,-75.23,0.16,-1.19,-88.27,0.28,-1.06,-78.96,0.03,-1.32,-98.14,***,***,***,0.09,-1.26,-93.67,0.08,-1.27,-94.41,0.03,-1.31,-97.58,0.08,-1.27,-94.23
B_FPIPO3T02_14,0.24,0.31,0.07,26.80,0.19,-0.05,-21.65,0.16,-0.08,-32.99,0.44,0.19,79.38,0.02,-0.23,-92.78,***,***,***,0.06,-0.19,-76.29,0.00,-0.24,-100.00,0.12,-0.13,-52.58,0.11,-0.14,-55.67
B_FPIPO3T02_15,0.43,0.36,-0.07,-15.79,0.05,-0.38,-87.72,0.10,-0.33,-77.78,0.03,-0.40,-92.98,0.01,-0.42,-98.83,0.00,-0.43,-99.42,0.25,-0.18,-41.52,0.00,-0.43,-100.00,0.00,-0.43,-100.00,0.03,-0.40,-93.57
B_FPIPO3T02_16,0.10,0.07,-0.03,-29.27,0.09,-0.02,-14.63,0.01,-0.10,-95.12,0.02,-0.08,-80.49,0.01,-0.10,-95.12,0.02,-0.09,-85.37,0.04,-0.06,-60.98,0.00,-0.10,-100.00,0.00,-0.10,-100.00,0.02,-0.09,-82.93
B_FPIPO3T02_17,0.07,0.23,0.15,210.34,0.02,-0.05,-68.97,0.00,-0.07,-100.00,0.00,-0.07,-100.00,0.00,-0.07,-100.00,0.00,-0.07,-96.55,0.01,-0.07,-89.66,0.00,-0.07,-100.00,0.00,-0.07,-100.00,0.02,-0.05,-68.97
B_FPIPO3T02_18,0.27,0.36,0.09,32.11,0.14,-0.14,-50.46,0.01,-0.26,-95.41,0.23,-0.05,-16.51,0.07,-0.21,-75.23,0.05,-0.23,-82.57,0.10,-0.18,-64.22,0.00,-0.27,-100.00,0.00,-0.27,-100.00,0.09,-0.18,-66.97
B_FPIPO3T02_19,0.09,0.12,0.03,38.24,0.06,-0.03,-32.35,0.01,-0.08,-88.24,0.02,-0.07,-79.41,0.02,-0.07,-79.41,0.04,-0.05,-58.82,0.07,-0.01,-14.71,0.00,-0.09,-100.00,0.01,-0.08,-91.18,0.13,0.05,55.88
Mean,0.34,0.23,0.11,32.69,0.16,0.18,52.56,0.22,0.13,36.38,0.16,0.18,52.98,0.03,0.32,92.54,0.02,0.32,94.04,0.10,0.24,69.70,0.00,0.34,98.62,0.07,0.28,80.87,0.10,0.24,70.93
