ProjectUnit = PIPO3T02
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR10-Attr,01YEAR10-Diff,01YEAR10-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR4-Attr,02YEAR4-Diff,02YEAR4-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff
B_FPIPO3T02_01,1.30,1.47,0.17,13.46,2.72,1.42,109.62,0.77,-0.52,-40.38,1.47,0.17,13.46,0.10,-1.20,-92.31,***,***,***,0.25,-1.05,-80.77,0.00,-1.30,-100.00,0.15,-1.15,-88.46,0.45,-0.85,-65.38
B_FPIPO3T02_02,3.92,3.72,-0.20,-5.10,2.50,-1.42,-36.31,2.10,-1.82,-46.50,2.35,-1.57,-40.13,0.05,-3.87,-98.73,***,***,***,0.95,-2.97,-75.80,0.00,-3.92,-100.00,3.34,-0.57,-14.65,1.05,-2.87,-73.25
B_FPIPO3T02_03,2.50,1.20,-1.30,-52.00,0.05,-2.45,-98.00,1.45,-1.05,-42.00,2.00,-0.50,-20.00,0.15,-2.35,-94.00,***,***,***,1.20,-1.30,-52.00,0.00,-2.50,-100.00,0.17,-2.32,-93.00,1.00,-1.50,-60.00
B_FPIPO3T02_04,3.52,2.94,-0.57,-16.31,0.47,-3.04,-86.52,3.17,-0.35,-9.93,0.67,-2.85,-80.85,0.15,-3.37,-95.74,***,***,***,0.57,-2.94,-83.69,0.00,-3.52,-100.00,1.35,-2.17,-61.70,0.97,-2.55,-72.34
B_FPIPO3T02_05,2.30,4.12,1.82,79.35,1.15,-1.15,-50.00,1.07,-1.22,-53.26,3.92,1.62,70.65,0.00,-2.30,-100.00,***,***,***,0.45,-1.85,-80.43,0.00,-2.30,-100.00,1.80,-0.50,-21.74,0.50,-1.80,-78.26
B_FPIPO3T02_06,3.04,1.02,-2.02,-66.39,1.15,-1.90,-62.30,3.97,0.92,30.33,0.62,-2.42,-79.51,0.00,-3.04,-100.00,***,***,***,0.70,-2.35,-77.05,0.00,-3.04,-100.00,0.77,-2.27,-74.59,4.77,1.72,56.56
B_FPIPO3T02_07,3.12,3.89,0.77,24.80,1.70,-1.42,-45.60,2.80,-0.32,-10.40,1.67,-1.45,-46.40,0.00,-3.12,-100.00,***,***,***,1.85,-1.27,-40.80,0.00,-3.12,-100.00,0.70,-2.42,-77.60,1.60,-1.52,-48.80
B_FPIPO3T02_08,4.72,1.12,-3.59,-76.19,1.12,-3.59,-76.19,0.97,-3.74,-79.37,2.27,-2.45,-51.85,0.30,-4.42,-93.65,***,***,***,1.10,-3.62,-76.72,0.00,-4.72,-100.00,0.07,-4.64,-98.41,0.60,-4.12,-87.30
B_FPIPO3T02_09,2.35,***,***,***,0.92,-1.42,-60.64,2.22,-0.12,-5.32,0.77,-1.57,-67.02,0.00,-2.35,-100.00,***,***,***,0.00,-2.35,-100.00,0.00,-2.35,-100.00,0.05,-2.30,-97.87,0.17,-2.17,-92.55
B_FPIPO3T02_10,5.32,3.14,-2.17,-40.85,1.65,-3.67,-69.01,4.37,-0.95,-17.84,2.77,-2.55,-47.89,1.60,-3.72,-69.95,***,***,***,3.54,-1.77,-33.33,0.00,-5.32,-100.00,2.47,-2.85,-53.52,1.10,-4.22,-79.34
