ProjectUnit = PIPO3T02
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR10-Attr,01YEAR10-Diff,01YEAR10-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR4-Attr,02YEAR4-Diff,02YEAR4-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff
B_FPIPO3T02_01,0.73,0.27,-0.46,-62.89,0.30,-0.43,-58.76,0.55,-0.18,-25.09,0.28,-0.45,-61.51,0.20,-0.53,-72.51,***,***,***,0.13,-0.60,-81.79,0.49,-0.24,-32.99,0.23,-0.50,-69.07,0.31,-0.42,-57.39
B_FPIPO3T02_02,0.39,0.18,-0.21,-54.19,0.29,-0.10,-26.45,0.37,-0.02,-5.16,0.28,-0.11,-29.03,0.30,-0.09,-23.23,***,***,***,0.22,-0.17,-43.87,0.30,-0.09,-22.58,0.19,-0.20,-50.32,0.26,-0.13,-33.55
B_FPIPO3T02_03,0.44,0.12,-0.33,-73.45,0.13,-0.32,-71.75,0.32,-0.12,-27.68,0.33,-0.12,-26.55,0.21,-0.24,-53.11,***,***,***,0.26,-0.19,-41.81,0.37,-0.08,-17.51,0.09,-0.36,-80.23,0.17,-0.27,-61.02
B_FPIPO3T02_04,0.68,0.25,-0.43,-62.96,0.27,-0.41,-60.74,0.40,-0.28,-41.48,0.28,-0.40,-58.89,0.21,-0.47,-68.89,***,***,***,0.22,-0.46,-67.41,0.33,-0.34,-50.74,0.22,-0.46,-67.78,0.24,-0.44,-64.81
B_FPIPO3T02_05,0.65,0.14,-0.51,-78.68,0.16,-0.49,-75.97,0.34,-0.30,-46.90,0.28,-0.37,-57.36,0.32,-0.33,-51.16,***,***,***,0.27,-0.37,-57.75,0.61,-0.04,-6.20,0.23,-0.42,-65.12,0.27,-0.38,-58.14
B_FPIPO3T02_06,0.91,0.40,-0.51,-56.04,0.34,-0.57,-62.36,0.77,-0.14,-15.11,0.32,-0.59,-64.56,0.33,-0.58,-63.46,***,***,***,0.28,-0.63,-69.51,0.49,-0.43,-46.70,0.21,-0.71,-77.47,0.28,-0.63,-69.51
B_FPIPO3T02_07,0.83,0.38,-0.45,-54.52,0.29,-0.55,-65.66,0.41,-0.43,-51.20,0.33,-0.51,-60.84,0.20,-0.63,-76.20,***,***,***,0.34,-0.50,-59.64,0.45,-0.38,-45.78,0.36,-0.47,-56.93,0.34,-0.49,-58.73
B_FPIPO3T02_08,0.67,0.40,-0.28,-41.26,0.26,-0.41,-60.97,0.33,-0.34,-50.93,0.45,-0.22,-33.09,0.31,-0.36,-53.53,***,***,***,0.25,-0.43,-63.57,0.57,-0.11,-15.99,0.15,-0.53,-78.07,0.24,-0.44,-64.68
B_FPIPO3T02_09,0.74,***,***,***,0.04,-0.70,-94.92,0.29,-0.45,-61.02,0.14,-0.60,-81.02,0.12,-0.62,-84.41,***,***,***,0.04,-0.70,-94.24,0.16,-0.58,-77.97,0.07,-0.67,-90.17,0.12,-0.62,-83.73
B_FPIPO3T02_10,0.76,0.30,-0.47,-61.18,0.38,-0.38,-50.00,0.60,-0.17,-21.71,0.45,-0.31,-40.79,0.36,-0.40,-52.30,***,***,***,0.33,-0.43,-56.58,0.58,-0.18,-24.01,0.29,-0.47,-61.84,0.27,-0.50,-65.13
B_FPIPO3T02_11,0.79,0.17,-0.62,-78.98,0.29,-0.50,-63.69,0.71,-0.08,-9.55,0.20,-0.58,-74.10,0.41,-0.38,-48.09,***,***,***,0.31,-0.48,-60.83,0.41,-0.38,-48.09,0.38,-0.41,-51.91,0.37,-0.41,-52.55
