ProjectUnit = PIPO3T02
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR10-Attr,01YEAR10-Diff,01YEAR10-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR4-Attr,02YEAR4-Diff,02YEAR4-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff
B_FPIPO3T02_01,3.63,1.35,-2.28,-62.89,1.50,-2.13,-58.76,2.72,-0.91,-25.09,1.40,-2.23,-61.51,1.00,-2.63,-72.51,***,***,***,0.66,-2.97,-81.79,2.43,-1.20,-32.99,1.12,-2.51,-69.07,1.55,-2.08,-57.39
B_FPIPO3T02_02,1.93,0.89,-1.05,-54.19,1.42,-0.51,-26.45,1.83,-0.10,-5.16,1.37,-0.56,-29.03,1.48,-0.45,-23.23,***,***,***,1.09,-0.85,-43.87,1.50,-0.44,-22.58,0.96,-0.97,-50.32,1.29,-0.65,-33.55
B_FPIPO3T02_03,2.21,0.59,-1.62,-73.45,0.62,-1.58,-71.75,1.60,-0.61,-27.68,1.62,-0.59,-26.55,1.04,-1.17,-53.11,***,***,***,1.29,-0.92,-41.81,1.82,-0.39,-17.51,0.44,-1.77,-80.23,0.86,-1.35,-61.02
B_FPIPO3T02_04,3.37,1.25,-2.12,-62.96,1.32,-2.05,-60.74,1.97,-1.40,-41.48,1.39,-1.98,-58.89,1.05,-2.32,-68.89,***,***,***,1.10,-2.27,-67.41,1.66,-1.71,-50.74,1.09,-2.28,-67.78,1.19,-2.18,-64.81
B_FPIPO3T02_05,3.22,0.69,-2.53,-78.68,0.77,-2.45,-75.97,1.71,-1.51,-46.90,1.37,-1.85,-57.36,1.57,-1.65,-51.16,***,***,***,1.36,-1.86,-57.75,3.02,-0.20,-6.20,1.12,-2.10,-65.12,1.35,-1.87,-58.14
B_FPIPO3T02_06,4.54,2.00,-2.55,-56.04,1.71,-2.83,-62.36,3.86,-0.69,-15.11,1.61,-2.93,-64.56,1.66,-2.88,-63.46,***,***,***,1.39,-3.16,-69.51,2.42,-2.12,-46.70,1.02,-3.52,-77.47,1.39,-3.16,-69.51
B_FPIPO3T02_07,4.14,1.88,-2.26,-54.52,1.42,-2.72,-65.66,2.02,-2.12,-51.20,1.62,-2.52,-60.84,0.99,-3.16,-76.20,***,***,***,1.67,-2.47,-59.64,2.25,-1.90,-45.78,1.78,-2.36,-56.93,1.71,-2.43,-58.73
B_FPIPO3T02_08,3.36,1.97,-1.39,-41.26,1.31,-2.05,-60.97,1.65,-1.71,-50.93,2.25,-1.11,-33.09,1.56,-1.80,-53.53,***,***,***,1.22,-2.13,-63.57,2.82,-0.54,-15.99,0.74,-2.62,-78.07,1.19,-2.17,-64.68
B_FPIPO3T02_09,3.68,***,***,***,0.19,-3.49,-94.92,1.43,-2.25,-61.02,0.70,-2.98,-81.02,0.57,-3.11,-84.41,***,***,***,0.21,-3.47,-94.24,0.81,-2.87,-77.97,0.36,-3.32,-90.17,0.60,-3.08,-83.73
B_FPIPO3T02_10,3.79,1.47,-2.32,-61.18,1.90,-1.90,-50.00,2.97,-0.82,-21.71,2.25,-1.55,-40.79,1.81,-1.98,-52.30,***,***,***,1.65,-2.15,-56.58,2.88,-0.91,-24.01,1.45,-2.35,-61.84,1.32,-2.47,-65.13
