ProjectUnit = PIPO4T09
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff
B:MPIPO4T09:01,0.46,2.43,1.98,433.33,***,***,***,***,***,***
B:MPIPO4T09:02,0.38,1.14,0.76,200.00,***,***,***,***,***,***
B:MPIPO4T09:03,1.30,1.22,-0.07,-5.67,2.33,1.03,79.48,3.04,1.74,134.03
B:MPIPO4T09:04,1.06,2.74,1.67,157.14,1.00,-0.07,-6.43,0.99,-0.07,-6.53
B:MPIPO4T09:05,0.84,1.22,0.38,45.45,0.69,-0.15,-17.81,1.08,0.25,29.60
B:MPIPO4T09:06,0.84,2.28,1.44,172.73,***,***,***,0.92,0.08,9.71
B:MPIPO4T09:07,1.29,2.58,1.29,100.00,2.16,0.87,67.47,2.16,0.86,66.86
B:MPIPO4T09:08,1.06,3.95,2.89,271.43,4.95,3.88,364.80,3.73,2.67,250.79
B:MPIPO4T09:09,0.38,1.37,0.99,260.00,3.46,3.08,810.53,3.24,2.86,751.44
B:MPIPO4T09:10,0.53,***,***,***,***,***,***,0.53,0.00,0.03
Mean,0.81,2.10,-1.29,-158.49,2.43,-1.62,-198.63,1.96,-1.15,-140.98
