ProjectUnit = PIPO4T09
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff
B:MPIPO4T09:01,0.18,0.37,0.19,106.35,***,***,***,***,***,***
B:MPIPO4T09:02,10.02,0.92,-9.09,-90.79,***,***,***,***,***,***
B:MPIPO4T09:03,2.68,0.23,-2.45,-91.55,0.63,-2.05,-76.52,0.58,-2.10,-78.42
B:MPIPO4T09:04,0.35,0.19,-0.16,-45.14,0.16,-0.19,-54.48,0.00,-0.35,-100.00
B:MPIPO4T09:05,1.77,0.00,-1.77,-100.00,0.00,-1.77,-100.00,1.75,-0.02,-1.31
B:MPIPO4T09:06,0.00,0.00,0.00,0.00,***,***,***,16.89,16.89,***
B:MPIPO4T09:07,9.55,2.23,-7.32,-76.66,3.31,-6.23,-65.30,21.71,12.16,127.37
B:MPIPO4T09:08,0.20,0.23,0.02,12.11,0.00,-0.20,-100.00,0.44,0.24,116.44
B:MPIPO4T09:09,1.00,0.00,-1.00,-100.00,4.53,3.53,352.77,13.47,12.47,1246.94
B:MPIPO4T09:10,0.23,***,***,***,***,***,***,2.10,1.87,828.20
Mean,2.60,0.46,2.13,82.19,1.44,1.16,44.63,7.12,-4.52,-174.06
