ProjectUnit = PIPO4T09
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff
B:MPIPO4T09:01,7.59,28.36,20.76,273.37,***,***,***,***,***,***
B:MPIPO4T09:02,20.99,21.16,0.17,0.80,***,***,***,***,***,***
B:MPIPO4T09:03,4.50,1.24,-3.26,-72.48,14.35,9.85,219.07,0.87,-3.63,-80.65
B:MPIPO4T09:04,0.00,4.68,4.68,***,3.63,3.63,***,0.00,0.00,0.00
B:MPIPO4T09:05,3.87,6.36,2.48,64.08,9.26,5.39,139.06,10.46,6.58,169.95
B:MPIPO4T09:06,1.84,33.99,32.15,1750.91,***,***,***,20.92,19.09,1039.49
B:MPIPO4T09:07,7.15,15.29,8.14,113.91,9.36,2.21,30.99,1.75,-5.40,-75.52
B:MPIPO4T09:08,1.62,2.91,1.29,79.56,24.02,22.41,1384.22,5.90,4.28,264.52
B:MPIPO4T09:09,1.78,13.45,11.68,657.09,24.65,22.88,1287.39,16.69,14.91,839.08
B:MPIPO4T09:10,1.66,***,***,***,***,***,***,44.05,42.39,2548.48
Mean,5.10,14.16,-9.06,-177.63,14.21,-9.11,-178.73,12.58,-7.48,-146.70
