ProjectUnit = PIPO4T09
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff
B:MPIPO4T09:01,0.20,0.10,-0.10,-50.63,***,***,***,***,***,***
B:MPIPO4T09:02,0.09,1.07,0.98,1091.67,***,***,***,***,***,***
B:MPIPO4T09:03,0.44,1.82,1.38,316.00,0.78,0.34,78.29,0.90,0.46,104.57
B:MPIPO4T09:04,0.76,1.44,0.68,90.31,1.31,0.55,72.47,1.00,0.24,31.83
B:MPIPO4T09:05,0.20,0.64,0.44,224.15,0.20,0.01,2.97,0.39,0.19,97.03
B:MPIPO4T09:06,0.00,0.03,0.03,***,***,***,***,0.02,0.02,***
B:MPIPO4T09:07,0.27,0.81,0.54,200.93,0.07,-0.20,-74.07,0.22,-0.05,-18.52
B:MPIPO4T09:08,0.47,0.18,-0.29,-60.96,0.07,-0.40,-86.10,0.27,-0.20,-42.78
B:MPIPO4T09:09,0.00,0.03,0.03,***,0.02,0.02,***,0.01,0.01,***
B:MPIPO4T09:10,0.05,***,***,***,***,***,***,0.03,-0.01,-31.62
Mean,0.25,0.68,-0.43,-176.10,0.41,-0.16,-65.26,0.35,-0.11,-43.66
