ProjectUnit = PIPO4T09
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff
B:MPIPO4T09:01,0.20,0.38,0.18,90.00,***,***,***,***,***,***
B:MPIPO4T09:02,0.69,0.78,0.09,12.27,***,***,***,***,***,***
B:MPIPO4T09:03,1.17,0.83,-0.34,-29.18,0.98,-0.18,-15.67,1.27,0.10,8.58
B:MPIPO4T09:04,1.84,0.74,-1.10,-60.00,1.37,-0.47,-25.44,0.97,-0.87,-47.07
B:MPIPO4T09:05,0.74,0.61,-0.13,-17.94,0.46,-0.29,-38.45,1.21,0.46,62.11
B:MPIPO4T09:06,0.20,0.16,-0.05,-23.46,***,***,***,1.45,1.24,613.58
B:MPIPO4T09:07,0.63,0.23,-0.40,-64.00,0.42,-0.20,-32.40,0.47,-0.16,-25.60
B:MPIPO4T09:08,0.93,0.52,-0.42,-44.77,0.39,-0.54,-57.91,0.90,-0.04,-4.02
B:MPIPO4T09:09,0.04,0.18,0.15,414.29,0.30,0.27,757.14,0.75,0.71,2035.71
B:MPIPO4T09:10,0.16,***,***,***,***,***,***,0.93,0.77,487.30
Mean,0.66,0.49,0.17,25.78,0.65,0.00,0.75,0.99,-0.33,-50.21
