ProjectUnit = PIPO4T09
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff
B:MPIPO4T09:01,1.00,1.90,0.90,90.00,***,***,***,***,***,***
B:MPIPO4T09:02,3.46,3.88,0.42,12.27,***,***,***,***,***,***
B:MPIPO4T09:03,5.81,4.12,-1.70,-29.18,4.90,-0.91,-15.67,6.31,0.50,8.58
B:MPIPO4T09:04,9.17,3.67,-5.50,-60.00,6.84,-2.33,-25.44,4.85,-4.32,-47.07
B:MPIPO4T09:05,3.71,3.04,-0.67,-17.94,2.28,-1.43,-38.45,6.01,2.30,62.11
B:MPIPO4T09:06,1.01,0.77,-0.24,-23.46,***,***,***,7.21,6.20,613.58
B:MPIPO4T09:07,3.12,1.12,-2.00,-64.00,2.11,-1.01,-32.40,2.32,-0.80,-25.60
B:MPIPO4T09:08,4.65,2.57,-2.08,-44.77,1.96,-2.70,-57.91,4.47,-0.19,-4.02
B:MPIPO4T09:09,0.17,0.90,0.72,414.29,1.50,1.32,757.14,3.73,3.56,2035.71
B:MPIPO4T09:10,0.79,***,***,***,***,***,***,4.62,3.83,487.30
Mean,3.29,2.44,0.85,25.78,3.27,0.02,0.75,4.94,-1.65,-50.21
