ProjectUnit = PIPO4T09
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff
B:MPIPO4T09:01,13.02,36.54,23.52,180.59,***,***,***,***,***,***
B:MPIPO4T09:02,36.39,38.61,2.22,6.09,***,***,***,***,***,***
B:MPIPO4T09:03,19.90,26.88,6.98,35.10,31.58,11.69,58.74,21.03,1.13,5.70
B:MPIPO4T09:04,19.96,26.58,6.62,33.19,25.92,5.96,29.84,17.07,-2.89,-14.46
B:MPIPO4T09:05,13.39,18.24,4.85,36.19,18.53,5.14,38.37,25.64,12.25,91.44
B:MPIPO4T09:06,4.01,40.54,36.52,909.99,***,***,***,49.22,45.20,1126.20
B:MPIPO4T09:07,26.24,30.90,4.67,17.79,18.91,-7.33,-27.93,32.00,5.77,21.98
B:MPIPO4T09:08,12.51,11.86,-0.65,-5.18,35.58,23.07,184.45,21.17,8.66,69.21
B:MPIPO4T09:09,4.26,18.15,13.88,325.69,40.79,36.53,856.84,44.66,40.40,947.59
B:MPIPO4T09:10,4.31,***,***,***,***,***,***,54.43,50.12,1162.99
Mean,15.40,27.59,-12.19,-79.16,28.55,-13.15,-85.41,33.15,-17.75,-115.28
