ProjectUnit = PLEX1T02
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR3-Attr,02YEAR3-Diff,02YEAR3-%Diff,02YEAR6-Attr,02YEAR6-Diff,02YEAR6-%Diff
B:FPLEX1T02:01,0.63,0.32,-0.32,-50.00,0.00,-0.63,-100.00,0.32,-0.32,-50.00,0.31,-0.33,-51.57,0.00,-0.63,-100.00,3.77,3.14,496.85
B:FPLEX1T02:02,0.63,1.24,0.61,95.65,0.93,0.30,46.99,1.24,0.61,95.65,0.64,0.00,0.70,0.94,0.31,48.67,0.94,0.31,48.67
B:FPLEX1T02:03,0.62,0.62,0.00,-0.37,0.62,0.00,-0.37,0.94,0.31,50.35,0.93,0.31,49.65,0.93,0.30,48.53,1.23,0.60,96.68
B:FPLEX1T02:04,3.10,2.48,-0.62,-20.06,2.19,-0.92,-29.60,3.73,0.63,20.20,2.19,-0.91,-29.42,2.18,-0.93,-29.84,2.18,-0.92,-29.69
B:FPLEX1T02:05,0.64,0.31,-0.32,-50.74,0.31,-0.32,-50.74,0.30,-0.34,-52.53,2.21,1.57,246.81,1.85,1.21,189.56,4.09,3.45,541.43
B:FPLEX1T02:06,1.23,0.31,-0.92,-75.13,1.24,0.01,0.95,0.62,-0.61,-49.52,0.00,-1.23,-100.00,0.31,-0.92,-74.39,0.93,-0.30,-24.13
B:FPLEX1T02:07,3.06,1.55,-1.51,-49.24,0.30,-2.75,-90.06,0.30,-2.75,-90.06,0.30,-2.75,-90.06,0.00,-3.06,-100.00,0.62,-2.44,-79.89
B:FPLEX1T02:08,1.54,1.24,-0.30,-19.76,1.24,-0.30,-19.71,1.85,0.31,20.22,2.48,0.93,60.53,3.71,2.17,140.68,0.93,-0.61,-39.56
B:FPLEX1T02:09,0.93,0.93,0.00,-0.05,0.31,-0.62,-66.68,1.22,0.30,31.87,0.00,-0.93,-100.00,0.00,-0.93,-100.00,0.18,-0.74,-80.12
B:FPLEX1T02:10,2.79,2.17,-0.62,-22.31,3.10,0.31,11.11,3.42,0.63,22.54,0.94,-1.85,-66.40,0.92,-1.86,-66.89,***,***,***
B:FPLEX1T02:11,1.52,0.91,-0.61,-40.03,0.91,-0.61,-40.27,0.00,-1.52,-100.00,0.61,-0.92,-60.08,1.82,0.30,19.70,1.52,0.00,-0.17
B:FPLEX1T02:12,1.21,0.61,-0.61,-50.00,0.00,-1.21,-100.00,0.91,-0.30,-25.00,0.30,-0.91,-75.00,0.30,-0.91,-75.00,1.51,0.30,25.00
B:FPLEX1T02:13,0.92,0.62,-0.30,-32.88,0.62,-0.30,-32.95,0.30,-0.62,-66.91,0.61,-0.32,-34.24,0.91,-0.01,-1.36,1.54,0.62,66.91
B:FPLEX1T02:14,3.37,1.85,-1.53,-45.31,2.16,-1.22,-36.06,0.92,-2.45,-72.71,0.30,-3.07,-91.03,0.30,-3.07,-91.03,1.22,-2.15,-63.82
B:FPLEX1T02:15,0.31,1.55,1.24,397.94,0.00,-0.31,-100.00,0.31,0.00,0.00,0.61,0.30,95.42,1.23,0.92,295.88,1.24,0.92,297.94
B:FPLEX1T02:16,0.92,1.23,0.31,34.30,1.54,0.62,67.99,1.23,0.31,34.30,0.30,-0.61,-66.94,0.00,-0.92,-100.00,0.61,-0.31,-33.53
B:FPLEX1T02:17,0.61,0.30,-0.30,-50.04,0.30,-0.30,-50.04,0.30,-0.30,-50.04,0.91,0.30,49.88,0.61,0.00,0.00,0.61,0.00,-0.08
B:FPLEX1T02:18,2.12,0.61,-1.51,-71.32,0.31,-1.82,-85.53,0.61,-1.51,-71.27,0.61,-1.51,-71.27,0.61,-1.52,-71.49,1.52,-0.60,-28.47
Mean,1.45,1.05,0.41,28.02,0.89,0.56,38.55,1.03,0.42,29.17,0.79,0.66,45.56,0.92,0.53,36.47,1.45,0.00,0.29
