ProjectUnit = PLEX1T02
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR3-Attr,02YEAR3-Diff,02YEAR3-%Diff,02YEAR6-Attr,02YEAR6-Diff,02YEAR6-%Diff
B:FPLEX1T02:01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.64,0.64,***,0.51,0.51,***
B:FPLEX1T02:02,0.88,0.00,-0.88,-100.00,0.23,-0.65,-73.69,0.28,-0.60,-68.05,0.00,-0.88,-100.00,0.00,-0.88,-100.00,0.00,-0.88,-100.00
B:FPLEX1T02:03,0.50,0.21,-0.30,-58.85,0.41,-0.09,-17.98,0.00,-0.50,-100.00,0.00,-0.50,-100.00,0.00,-0.50,-100.00,0.00,-0.50,-100.00
B:FPLEX1T02:04,0.00,0.00,0.00,0.00,1.16,1.16,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B:FPLEX1T02:05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.69,1.69,***,0.22,0.22,***
B:FPLEX1T02:06,0.49,0.00,-0.49,-100.00,0.00,-0.49,-100.00,1.83,1.33,271.40,0.00,-0.49,-100.00,0.00,-0.49,-100.00,0.86,0.37,74.44
B:FPLEX1T02:07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.53,***,0.00,0.00,0.00,0.00,0.00,0.00
B:FPLEX1T02:08,0.74,0.00,-0.74,-100.00,0.00,-0.74,-100.00,5.04,4.30,577.40,0.00,-0.74,-100.00,1.54,0.79,106.83,0.00,-0.74,-100.00
B:FPLEX1T02:09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.45,***,0.00,0.00,0.00
B:FPLEX1T02:10,2.36,4.10,1.73,73.21,7.91,5.54,234.33,10.72,8.36,353.46,0.00,-2.36,-100.00,0.00,-2.36,-100.00,***,***,***
B:FPLEX1T02:11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.65,1.65,***,0.00,0.00,0.00,0.45,0.45,***,0.64,0.64,***
B:FPLEX1T02:12,11.74,0.63,-11.11,-94.65,0.55,-11.19,-95.34,1.32,-10.43,-88.79,0.00,-11.74,-100.00,6.51,-5.23,-44.56,0.00,-11.74,-100.00
B:FPLEX1T02:13,0.84,0.00,-0.84,-100.00,0.00,-0.84,-100.00,1.69,0.84,100.11,0.00,-0.84,-100.00,1.09,0.24,29.03,0.00,-0.84,-100.00
B:FPLEX1T02:14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87,0.87,***,0.00,0.00,0.00
B:FPLEX1T02:15,0.20,2.88,2.68,1375.93,0.39,0.19,97.72,0.00,-0.20,-100.00,0.00,-0.20,-100.00,0.00,-0.20,-100.00,0.00,-0.20,-100.00
B:FPLEX1T02:16,0.56,0.00,-0.56,-100.00,0.00,-0.56,-100.00,0.00,-0.56,-100.00,0.00,-0.56,-100.00,0.00,-0.56,-100.00,0.00,-0.56,-100.00
B:FPLEX1T02:17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.28,***,0.00,0.00,0.00
B:FPLEX1T02:18,0.16,0.00,-0.16,-100.00,0.47,0.32,200.44,0.91,0.75,476.00,0.28,0.13,80.31,0.00,-0.16,-100.00,0.00,-0.16,-100.00
Mean,1.03,0.43,0.59,57.73,0.62,0.41,39.85,1.30,-0.28,-26.79,0.05,0.98,95.59,0.75,0.28,26.89,0.13,0.90,87.20
