ProjectUnit = PLEX1T02
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR3-Attr,02YEAR3-Diff,02YEAR3-%Diff,02YEAR6-Attr,02YEAR6-Diff,02YEAR6-%Diff
B:FPLEX1T02:01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.22,***,1.62,1.62,***,2.04,2.04,***,3.23,3.23,***
B:FPLEX1T02:02,2.55,1.59,-0.95,-37.46,1.42,-1.13,-44.34,0.30,-2.25,-88.21,0.50,-2.05,-80.52,0.39,-2.16,-84.82,0.78,-1.77,-69.43
B:FPLEX1T02:03,0.32,2.25,1.94,606.85,2.03,1.71,537.34,1.74,1.42,446.12,5.37,5.05,1582.24,9.64,9.32,2921.14,10.93,10.61,3326.47
B:FPLEX1T02:04,3.62,1.32,-2.30,-63.64,2.18,-1.44,-39.68,4.24,0.62,17.12,4.48,0.86,23.69,8.89,5.27,145.61,4.29,0.68,18.67
B:FPLEX1T02:05,0.73,0.22,-0.50,-69.14,0.00,-0.73,-100.00,0.00,-0.73,-100.00,0.79,0.06,8.19,0.59,-0.13,-18.44,2.45,1.72,236.81
B:FPLEX1T02:06,4.31,2.62,-1.69,-39.13,2.50,-1.82,-42.13,1.48,-2.83,-65.58,1.91,-2.40,-55.76,3.22,-1.09,-25.38,9.02,4.71,109.11
B:FPLEX1T02:07,0.00,2.83,2.83,***,3.77,3.77,***,0.93,0.93,***,1.32,1.32,***,1.15,1.15,***,0.00,0.00,0.00
B:FPLEX1T02:08,13.43,13.76,0.33,2.47,13.42,-0.01,-0.08,5.61,-7.82,-58.21,16.03,2.60,19.36,12.20,-1.23,-9.15,13.60,0.17,1.30
B:FPLEX1T02:09,0.81,0.00,-0.81,-100.00,1.59,0.78,96.58,0.30,-0.51,-62.57,0.77,-0.04,-4.94,0.59,-0.21,-26.32,0.00,-0.81,-100.00
B:FPLEX1T02:10,21.93,29.29,7.36,33.57,42.68,20.75,94.61,7.56,-14.37,-65.53,3.66,-18.27,-83.31,20.33,-1.60,-7.29,***,***,***
B:FPLEX1T02:11,4.42,4.37,-0.04,-1.00,2.95,-1.47,-33.18,11.04,6.63,150.03,6.18,1.77,39.98,8.92,4.50,101.93,7.17,2.76,62.40
B:FPLEX1T02:12,17.59,14.56,-3.03,-17.25,32.26,14.67,83.37,11.87,-5.72,-32.51,7.79,-9.80,-55.69,0.00,-17.59,-100.00,0.00,-17.59,-100.00
B:FPLEX1T02:13,1.63,0.74,-0.89,-54.87,0.00,-1.63,-100.00,0.00,-1.63,-100.00,2.28,0.65,39.75,0.00,-1.63,-100.00,2.07,0.44,26.93
B:FPLEX1T02:14,0.65,0.46,-0.18,-28.40,1.20,0.55,84.50,0.91,0.26,39.47,1.65,1.00,154.84,0.00,-0.65,-100.00,2.07,1.42,219.38
B:FPLEX1T02:15,0.76,0.95,0.20,25.82,1.20,0.44,58.71,0.41,-0.34,-45.45,2.68,1.93,254.85,2.92,2.17,286.47,3.43,2.68,353.59
B:FPLEX1T02:16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.29,***
B:FPLEX1T02:17,4.71,5.83,1.12,23.91,4.57,-0.13,-2.80,5.66,0.96,20.30,5.81,1.11,23.56,7.95,3.24,68.85,13.09,8.38,178.13
B:FPLEX1T02:18,0.00,1.21,1.21,***,1.14,1.14,***,0.93,0.93,***,5.35,5.35,***,5.36,5.36,***,7.21,7.21,***
Mean,4.30,4.56,-0.25,-5.91,6.27,-1.97,-45.81,2.96,1.35,31.30,3.79,0.51,11.96,4.68,-0.37,-8.71,4.68,-0.38,-8.87
