ProjectUnit = PLEX1T02
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR3-Attr,02YEAR3-Diff,02YEAR3-%Diff,02YEAR6-Attr,02YEAR6-Diff,02YEAR6-%Diff
B:FPLEX1T02:01,0.55,0.19,-0.37,-66.52,1.01,0.46,83.26,0.53,-0.02,-4.07,0.20,-0.35,-63.80,0.47,-0.09,-15.84,0.27,-0.29,-51.58
B:FPLEX1T02:02,0.65,0.47,-0.17,-26.74,0.17,-0.48,-74.42,0.52,-0.13,-20.16,0.15,-0.50,-77.13,0.86,0.22,33.72,0.61,-0.03,-5.19
B:FPLEX1T02:03,0.96,1.31,0.35,36.65,1.44,0.49,50.79,0.82,-0.14,-14.14,0.56,-0.40,-41.62,0.88,-0.08,-8.38,1.16,0.21,21.47
B:FPLEX1T02:04,0.83,1.34,0.51,61.82,0.57,-0.26,-31.52,0.36,-0.47,-56.67,0.50,-0.33,-40.00,0.80,-0.02,-2.73,1.34,0.51,62.12
B:FPLEX1T02:05,0.43,0.39,-0.04,-8.82,0.49,0.06,14.71,0.48,0.05,12.35,0.31,-0.12,-27.06,0.95,0.53,123.53,0.52,0.09,21.18
B:FPLEX1T02:06,1.13,0.85,-0.28,-24.83,0.92,-0.21,-18.63,0.99,-0.14,-12.64,0.00,-1.13,-100.00,1.32,0.19,17.07,0.66,-0.47,-41.91
B:FPLEX1T02:07,2.39,0.91,-1.48,-61.84,1.31,-1.08,-45.07,1.88,-0.51,-21.28,0.38,-2.01,-84.17,1.30,-1.08,-45.39,0.72,-1.67,-69.87
B:FPLEX1T02:08,0.43,0.85,0.42,99.41,1.52,1.10,257.65,0.34,-0.09,-20.59,0.23,-0.20,-46.47,1.20,0.77,181.18,0.80,0.37,87.06
B:FPLEX1T02:09,0.53,0.23,-0.30,-56.40,0.54,0.01,1.90,0.37,-0.16,-30.81,0.13,-0.40,-75.36,1.47,0.94,178.20,0.22,-0.31,-57.83
B:FPLEX1T02:10,1.67,1.81,0.14,8.22,1.79,0.11,6.73,1.28,-0.39,-23.32,0.27,-1.41,-84.16,1.15,-0.52,-31.09,***,***,***
B:FPLEX1T02:11,0.76,0.64,-0.13,-16.39,0.59,-0.18,-22.95,0.40,-0.36,-47.21,0.31,-0.46,-60.00,0.98,0.21,27.87,0.40,-0.36,-47.54
B:FPLEX1T02:12,0.21,0.01,-0.20,-95.29,0.09,-0.12,-56.47,0.09,-0.13,-60.00,0.00,-0.21,-98.82,0.65,0.44,207.06,0.19,-0.02,-10.59
B:FPLEX1T02:13,0.39,0.30,-0.09,-23.08,0.51,0.12,30.77,0.36,-0.03,-8.33,0.01,-0.38,-98.08,1.39,1.00,257.05,0.31,-0.08,-20.19
B:FPLEX1T02:14,1.38,1.25,-0.13,-9.60,1.97,0.59,42.75,1.01,-0.38,-27.17,0.26,-1.12,-81.16,1.01,-0.38,-27.17,0.64,-0.74,-53.62
B:FPLEX1T02:15,1.14,1.19,0.05,4.16,3.14,2.00,175.05,1.03,-0.11,-9.63,0.84,-0.31,-26.70,0.81,-0.34,-29.32,0.41,-0.73,-63.89
B:FPLEX1T02:16,0.68,1.35,0.68,100.37,1.66,0.99,146.30,0.68,0.01,0.74,0.16,-0.51,-75.93,1.59,0.92,135.93,1.06,0.39,57.41
B:FPLEX1T02:17,0.87,0.48,-0.39,-45.09,0.63,-0.23,-26.88,0.84,-0.03,-3.18,0.55,-0.31,-36.13,1.02,0.15,17.34,1.30,0.44,50.29
B:FPLEX1T02:18,0.91,0.79,-0.13,-13.97,0.42,-0.49,-53.97,0.72,-0.19,-20.82,0.34,-0.58,-63.29,0.87,-0.04,-4.66,0.94,0.03,3.01
Mean,0.88,0.80,0.09,9.78,1.04,-0.16,-18.12,0.70,0.18,20.21,0.29,0.59,67.43,1.04,-0.16,-17.77,0.68,0.20,23.06
