ProjectUnit = PLEX1T02
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR3-Attr,02YEAR3-Diff,02YEAR3-%Diff,02YEAR6-Attr,02YEAR6-Diff,02YEAR6-%Diff
B:FPLEX1T02:01,5.52,1.85,-3.67,-66.52,10.11,4.59,83.26,5.29,-0.22,-4.07,2.00,-3.52,-63.80,4.64,-0.87,-15.84,2.67,-2.85,-51.58
B:FPLEX1T02:02,6.44,4.72,-1.72,-26.74,1.65,-4.79,-74.42,5.14,-1.30,-20.16,1.47,-4.97,-77.13,8.61,2.17,33.72,6.10,-0.33,-5.19
B:FPLEX1T02:03,9.53,13.03,3.49,36.65,14.37,4.84,50.79,8.19,-1.35,-14.14,5.57,-3.97,-41.62,8.73,-0.80,-8.38,11.58,2.05,21.47
B:FPLEX1T02:04,8.24,13.33,5.09,61.82,5.64,-2.60,-31.52,3.57,-4.67,-56.67,4.94,-3.29,-40.00,8.01,-0.22,-2.73,13.35,5.12,62.12
B:FPLEX1T02:05,4.24,3.87,-0.37,-8.82,4.87,0.62,14.71,4.77,0.52,12.35,3.09,-1.15,-27.06,9.48,5.24,123.53,5.14,0.90,21.18
B:FPLEX1T02:06,11.26,8.46,-2.80,-24.83,9.16,-2.10,-18.63,9.83,-1.42,-12.64,0.00,-11.26,-100.00,13.18,1.92,17.07,6.54,-4.72,-41.91
B:FPLEX1T02:07,23.81,9.08,-14.72,-61.84,13.08,-10.73,-45.07,18.74,-5.07,-21.28,3.77,-20.04,-84.17,13.00,-10.81,-45.39,7.17,-16.64,-69.87
B:FPLEX1T02:08,4.24,8.46,4.22,99.41,15.17,10.93,257.65,3.37,-0.87,-20.59,2.27,-1.97,-46.47,11.93,7.69,181.18,7.94,3.69,87.06
B:FPLEX1T02:09,5.27,2.30,-2.97,-56.40,5.37,0.10,1.90,3.64,-1.62,-30.81,1.30,-3.97,-75.36,14.65,9.38,178.20,2.22,-3.05,-57.83
B:FPLEX1T02:10,16.70,18.07,1.37,8.22,17.82,1.12,6.73,12.80,-3.89,-23.32,2.65,-14.05,-84.16,11.50,-5.19,-31.09,***,***,***
B:FPLEX1T02:11,7.61,6.36,-1.25,-16.39,5.86,-1.75,-22.95,4.02,-3.59,-47.21,3.04,-4.57,-60.00,9.73,2.12,27.87,3.99,-3.62,-47.54
B:FPLEX1T02:12,2.12,0.10,-2.02,-95.29,0.92,-1.20,-56.47,0.85,-1.27,-60.00,0.02,-2.10,-98.82,6.51,4.39,207.06,1.90,-0.22,-10.59
B:FPLEX1T02:13,3.89,2.99,-0.90,-23.08,5.09,1.20,30.77,3.57,-0.32,-8.33,0.07,-3.82,-98.08,13.90,10.01,257.05,3.11,-0.79,-20.19
B:FPLEX1T02:14,13.78,12.45,-1.32,-9.60,19.67,5.89,42.75,10.03,-3.74,-27.17,2.60,-11.18,-81.16,10.03,-3.74,-27.17,6.39,-7.39,-53.62
B:FPLEX1T02:15,11.41,11.88,0.47,4.16,31.37,19.97,175.05,10.31,-1.10,-9.63,8.36,-3.04,-26.70,8.06,-3.34,-29.32,4.12,-7.29,-63.89
B:FPLEX1T02:16,6.74,13.50,6.76,100.37,16.60,9.86,146.30,6.79,0.05,0.74,1.62,-5.12,-75.93,15.90,9.16,135.93,10.61,3.87,57.41
B:FPLEX1T02:17,8.63,4.74,-3.89,-45.09,6.31,-2.32,-26.88,8.36,-0.27,-3.18,5.52,-3.12,-36.13,10.13,1.50,17.34,12.98,4.34,50.29
B:FPLEX1T02:18,9.11,7.84,-1.27,-13.97,4.19,-4.92,-53.97,7.21,-1.90,-20.82,3.34,-5.76,-63.29,8.68,-0.42,-4.66,9.38,0.27,3.01
Mean,8.81,7.95,0.86,9.78,10.40,-1.60,-18.12,7.03,1.78,20.21,2.87,5.94,67.43,10.37,-1.57,-17.77,6.78,2.03,23.06
