ProjectUnit = PLEX1T02
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR3-Attr,02YEAR3-Diff,02YEAR3-%Diff,02YEAR6-Attr,02YEAR6-Diff,02YEAR6-%Diff
B:FPLEX1T02:01,0.92,0.45,-0.47,-50.95,0.78,-0.14,-15.45,0.55,-0.38,-40.65,0.24,-0.69,-74.53,0.59,-0.33,-35.77,0.33,-0.59,-64.23
B:FPLEX1T02:02,1.11,0.60,-0.51,-45.82,0.27,-0.84,-75.85,0.46,-0.65,-58.47,0.68,-0.43,-38.37,0.70,-0.41,-37.02,1.07,-0.03,-3.14
B:FPLEX1T02:03,1.09,0.90,-0.19,-17.66,0.68,-0.42,-38.07,0.53,-0.56,-51.61,0.58,-0.51,-46.56,0.67,-0.42,-38.53,1.24,0.15,13.99
B:FPLEX1T02:04,0.75,1.35,0.60,79.07,1.03,0.27,36.21,0.47,-0.28,-37.21,0.45,-0.31,-40.53,0.38,-0.37,-49.17,0.57,-0.18,-23.92
B:FPLEX1T02:05,1.10,0.38,-0.72,-65.75,0.33,-0.76,-69.63,0.32,-0.78,-71.00,0.39,-0.71,-64.84,0.94,-0.16,-14.61,0.63,-0.47,-42.92
B:FPLEX1T02:06,1.33,0.72,-0.62,-46.15,0.60,-0.73,-54.78,0.48,-0.85,-63.98,0.85,-0.48,-36.02,1.24,-0.10,-7.13,0.75,-0.58,-43.71
B:FPLEX1T02:07,2.26,1.10,-1.16,-51.22,0.84,-1.42,-62.83,0.79,-1.47,-65.04,0.71,-1.55,-68.69,1.04,-1.23,-54.20,1.01,-1.25,-55.20
B:FPLEX1T02:08,0.91,0.93,0.03,2.75,0.51,-0.40,-44.35,0.85,-0.06,-6.34,0.80,-0.11,-11.85,1.15,0.24,26.45,0.98,0.08,8.26
B:FPLEX1T02:09,0.65,0.44,-0.21,-32.31,0.37,-0.28,-43.08,0.39,-0.26,-40.38,0.53,-0.12,-18.08,0.82,0.17,25.77,0.27,-0.38,-58.36
B:FPLEX1T02:10,0.86,0.92,0.06,6.96,0.85,-0.01,-1.16,0.53,-0.34,-39.13,0.18,-0.68,-79.13,0.64,-0.22,-25.51,***,***,***
B:FPLEX1T02:11,2.00,0.64,-1.36,-68.21,0.52,-1.48,-73.97,0.59,-1.41,-70.59,0.32,-1.68,-83.98,0.59,-1.41,-70.59,0.56,-1.44,-72.22
B:FPLEX1T02:12,0.56,0.37,-0.19,-34.22,0.35,-0.21,-37.78,0.27,-0.30,-52.44,0.14,-0.42,-74.67,0.79,0.23,40.00,0.50,-0.06,-11.11
B:FPLEX1T02:13,0.69,0.65,-0.04,-5.11,0.45,-0.24,-34.67,0.35,-0.34,-48.91,0.54,-0.15,-21.53,1.00,0.32,46.35,0.35,-0.34,-49.45
B:FPLEX1T02:14,1.46,1.52,0.06,4.30,1.17,-0.29,-19.76,1.07,-0.39,-26.46,0.51,-0.95,-64.95,0.77,-0.69,-47.42,0.74,-0.72,-49.31
B:FPLEX1T02:15,0.76,0.97,0.22,28.38,1.29,0.53,70.30,0.64,-0.12,-15.18,0.40,-0.36,-47.52,0.87,0.11,14.19,0.37,-0.39,-50.83
B:FPLEX1T02:16,1.23,1.29,0.06,4.90,1.22,-0.01,-0.61,0.56,-0.66,-54.08,0.65,-0.58,-46.94,0.95,-0.28,-22.86,0.79,-0.44,-35.71
B:FPLEX1T02:17,0.82,0.86,0.03,3.95,0.61,-0.22,-26.44,0.59,-0.23,-28.27,0.69,-0.14,-16.41,0.75,-0.07,-8.51,0.63,-0.19,-23.40
B:FPLEX1T02:18,1.81,0.81,-1.00,-55.31,0.58,-1.24,-68.14,0.69,-1.12,-61.79,0.60,-1.22,-67.03,0.63,-1.19,-65.52,1.02,-0.79,-43.59
Mean,1.13,0.83,0.30,26.68,0.69,0.44,38.79,0.56,0.57,50.14,0.51,0.61,54.44,0.80,0.32,28.62,0.69,0.43,38.39
