ProjectUnit = PLEX1T02
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR3-Attr,02YEAR3-Diff,02YEAR3-%Diff,02YEAR6-Attr,02YEAR6-Diff,02YEAR6-%Diff
B:FPLEX1T02:01,4.60,2.26,-2.35,-50.95,3.89,-0.71,-15.45,2.73,-1.87,-40.65,1.17,-3.43,-74.53,2.96,-1.65,-35.77,1.65,-2.96,-64.23
B:FPLEX1T02:02,5.53,2.99,-2.53,-45.82,1.34,-4.19,-75.85,2.30,-3.23,-58.47,3.41,-2.12,-38.37,3.48,-2.05,-37.02,5.35,-0.17,-3.14
B:FPLEX1T02:03,5.44,4.48,-0.96,-17.66,3.37,-2.07,-38.07,2.63,-2.81,-51.61,2.91,-2.53,-46.56,3.34,-2.10,-38.53,6.20,0.76,13.99
B:FPLEX1T02:04,3.76,6.73,2.97,79.07,5.12,1.36,36.21,2.36,-1.40,-37.21,2.23,-1.52,-40.53,1.91,-1.85,-49.17,2.86,-0.90,-23.92
B:FPLEX1T02:05,5.47,1.87,-3.59,-65.75,1.66,-3.81,-69.63,1.58,-3.88,-71.00,1.92,-3.54,-64.84,4.67,-0.80,-14.61,3.12,-2.35,-42.92
B:FPLEX1T02:06,6.65,3.58,-3.07,-46.15,3.01,-3.64,-54.78,2.40,-4.26,-63.98,4.26,-2.40,-36.02,6.18,-0.47,-7.13,3.74,-2.91,-43.71
B:FPLEX1T02:07,11.28,5.50,-5.78,-51.22,4.19,-7.09,-62.83,3.94,-7.34,-65.04,3.53,-7.75,-68.69,5.17,-6.11,-54.20,5.05,-6.23,-55.20
B:FPLEX1T02:08,4.53,4.65,0.12,2.75,2.52,-2.01,-44.35,4.24,-0.29,-6.34,3.99,-0.54,-11.85,5.73,1.20,26.45,4.90,0.37,8.26
B:FPLEX1T02:09,3.24,2.20,-1.05,-32.31,1.85,-1.40,-43.08,1.93,-1.31,-40.38,2.66,-0.59,-18.08,4.08,0.84,25.77,1.35,-1.89,-58.36
B:FPLEX1T02:10,4.30,4.60,0.30,6.96,4.26,-0.05,-1.16,2.62,-1.68,-39.13,0.90,-3.41,-79.13,3.21,-1.10,-25.51,***,***,***
B:FPLEX1T02:11,9.97,3.17,-6.80,-68.21,2.60,-7.37,-73.97,2.93,-7.04,-70.59,1.60,-8.37,-83.98,2.93,-7.04,-70.59,2.77,-7.20,-72.22
B:FPLEX1T02:12,2.81,1.85,-0.96,-34.22,1.75,-1.06,-37.78,1.34,-1.47,-52.44,0.71,-2.10,-74.67,3.93,1.12,40.00,2.50,-0.31,-11.11
B:FPLEX1T02:13,3.42,3.24,-0.17,-5.11,2.23,-1.19,-34.67,1.75,-1.67,-48.91,2.68,-0.74,-21.53,5.00,1.58,46.35,1.73,-1.69,-49.45
B:FPLEX1T02:14,7.26,7.57,0.31,4.30,5.83,-1.43,-19.76,5.34,-1.92,-26.46,2.55,-4.72,-64.95,3.82,-3.44,-47.42,3.68,-3.58,-49.31
B:FPLEX1T02:15,3.78,4.85,1.07,28.38,6.44,2.66,70.30,3.21,-0.57,-15.18,1.98,-1.80,-47.52,4.32,0.54,14.19,1.86,-1.92,-50.83
B:FPLEX1T02:16,6.11,6.41,0.30,4.90,6.08,-0.04,-0.61,2.81,-3.31,-54.08,3.24,-2.87,-46.94,4.72,-1.40,-22.86,3.93,-2.18,-35.71
B:FPLEX1T02:17,4.11,4.27,0.16,3.95,3.02,-1.09,-26.44,2.94,-1.16,-28.27,3.43,-0.67,-16.41,3.76,-0.35,-8.51,3.14,-0.96,-23.40
B:FPLEX1T02:18,9.05,4.04,-5.00,-55.31,2.88,-6.16,-68.14,3.46,-5.59,-61.79,2.98,-6.06,-67.03,3.12,-5.93,-65.52,5.10,-3.94,-43.59
Mean,5.63,4.13,1.50,26.68,3.45,2.18,38.79,2.81,2.82,50.14,2.56,3.06,54.44,4.02,1.61,28.62,3.47,2.16,38.39
