ProjectUnit = PLEX1T02
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR3-Attr,02YEAR3-Diff,02YEAR3-%Diff,02YEAR6-Attr,02YEAR6-Diff,02YEAR6-%Diff
B:FPLEX1T02:01,14.21,6.09,-8.11,-57.11,16.28,2.08,14.61,9.62,-4.58,-32.26,5.77,-8.43,-59.35,10.82,-3.38,-23.82,13.22,-0.99,-6.94
B:FPLEX1T02:02,16.85,11.19,-5.66,-33.59,6.32,-10.53,-62.50,9.89,-6.97,-41.34,6.77,-10.09,-59.84,14.08,-2.78,-16.48,14.90,-1.95,-11.58
B:FPLEX1T02:03,17.30,21.73,4.43,25.62,22.15,4.85,28.03,14.41,-2.89,-16.71,15.56,-1.74,-10.05,23.66,6.36,36.74,30.33,13.03,75.30
B:FPLEX1T02:04,19.53,24.43,4.89,25.05,17.03,-2.50,-12.82,14.63,-4.90,-25.10,15.19,-4.34,-22.22,22.04,2.51,12.83,24.76,5.23,26.75
B:FPLEX1T02:05,12.68,7.17,-5.51,-43.43,7.88,-4.80,-37.86,7.29,-5.39,-42.48,9.59,-3.09,-24.37,19.63,6.96,54.88,17.57,4.90,38.63
B:FPLEX1T02:06,25.35,16.22,-9.13,-36.03,17.16,-8.19,-32.31,16.32,-9.03,-35.63,6.62,-18.73,-73.87,23.43,-1.93,-7.59,21.87,-3.49,-13.75
B:FPLEX1T02:07,39.94,20.47,-19.46,-48.73,23.92,-16.01,-40.09,25.02,-14.91,-37.34,9.53,-30.41,-76.14,19.62,-20.31,-50.87,13.39,-26.55,-66.48
B:FPLEX1T02:08,25.20,29.91,4.71,18.69,32.82,7.63,30.28,20.75,-4.45,-17.65,26.28,1.09,4.32,36.26,11.07,43.92,27.61,2.42,9.60
B:FPLEX1T02:09,11.04,7.17,-3.87,-35.07,9.91,-1.14,-10.30,7.75,-3.29,-29.83,6.31,-4.73,-42.85,20.63,9.59,86.81,3.87,-7.17,-64.91
B:FPLEX1T02:10,48.89,60.27,11.37,23.26,78.30,29.40,60.14,38.29,-10.60,-21.68,9.24,-39.66,-81.10,39.35,-9.55,-19.53,***,***,***
B:FPLEX1T02:11,24.53,15.68,-8.84,-36.05,14.72,-9.81,-40.00,20.51,-4.02,-16.39,12.47,-12.06,-49.15,25.78,1.26,5.12,17.53,-6.99,-28.51
B:FPLEX1T02:12,36.20,17.81,-18.39,-50.79,35.49,-0.71,-1.96,16.43,-19.77,-54.61,10.16,-26.04,-71.93,18.80,-17.40,-48.07,8.09,-28.11,-77.65
B:FPLEX1T02:13,12.07,8.33,-3.74,-31.02,8.83,-3.24,-26.85,7.87,-4.20,-34.79,7.30,-4.77,-39.52,22.62,10.55,87.37,9.99,-2.08,-17.21
B:FPLEX1T02:14,27.04,24.18,-2.87,-10.60,31.22,4.18,15.45,18.61,-8.44,-31.20,7.45,-19.60,-72.46,15.66,-11.39,-42.10,13.93,-13.12,-48.51
B:FPLEX1T02:15,17.98,23.53,5.56,30.91,40.76,22.78,126.72,15.04,-2.93,-16.31,14.20,-3.77,-20.99,16.84,-1.14,-6.32,11.20,-6.77,-37.68
B:FPLEX1T02:16,14.67,21.70,7.03,47.93,24.45,9.78,66.65,11.07,-3.60,-24.53,6.18,-8.49,-57.89,21.33,6.66,45.37,15.75,1.08,7.35
B:FPLEX1T02:17,18.88,15.63,-3.25,-17.19,14.71,-4.17,-22.09,18.14,-0.73,-3.89,16.25,-2.62,-13.90,23.88,5.00,26.51,31.11,12.24,64.82
B:FPLEX1T02:18,21.78,14.10,-7.68,-35.26,10.18,-11.59,-53.23,14.97,-6.80,-31.25,13.75,-8.03,-36.86,19.54,-2.23,-10.25,24.47,2.70,12.39
Mean,22.45,19.20,3.25,14.48,22.90,-0.44,-1.98,15.92,6.53,29.08,11.04,11.42,50.85,21.89,0.56,2.51,17.62,4.83,21.50
