ProjectUnit = PSME1T08
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,Pre1996-Attr,Pre1997-Attr,Pre1997-Diff,Pre1997-%Diff,Pre1998-Attr,Pre1998-Diff,Pre1998-%Diff,Pre1999-Attr,Pre1999-Diff,Pre1999-%Diff,Pre2003-Attr,Pre2003-Diff,Pre2003-%Diff,01PRE-Attr,01PRE-Diff,01PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR4-Attr,01YEAR4-Diff,01YEAR4-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR10-Attr,01YEAR10-Diff,01YEAR10-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff,FUEL2009-Attr,FUEL2009-Diff,FUEL2009-%Diff
B:FPSME1T08_01,2.03,***,***,***,2.02,-0.01,-0.48,***,***,***,2.32,0.29,14.06,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPSME1T08_02,0.92,***,***,***,0.69,-0.22,-24.45,***,***,***,***,***,***,1.55,0.63,68.67,0.70,-0.22,-24.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.78,-0.14,-15.60,0.31,-0.61,-66.13,***,***,***,1.48,0.56,60.78,***,***,***,***,***,***
B:FPSME1T08_03,1.23,***,***,***,1.38,0.15,12.56,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.92,1.69,137.49,***,***,***,***,***,***,***,***,***,1.00,-0.23,-18.60,***,***,***,1.99,0.77,62.44
B:FPSME1T08_06,1.60,***,***,***,0.84,-0.76,-47.63,***,***,***,1.68,0.08,4.77,3.28,1.68,104.94,1.75,0.15,9.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.23,-1.37,-85.70,0.08,-1.52,-95.23,***,***,***,0.61,-0.99,-61.92,***,***,***,***,***,***
B:FPSME1T08_08,2.44,***,***,***,1.60,-0.84,-34.44,***,***,***,3.43,0.99,40.32,1.30,-1.15,-46.93,1.75,-0.69,-28.28,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.69,-1.76,-71.94,0.69,-1.76,-71.95,***,***,***,1.22,-1.22,-50.10,***,***,***,***,***,***
B:FPSME1T08_11,3.95,***,***,***,1.52,-2.43,-61.54,***,***,***,1.90,-2.05,-51.92,1.14,-2.81,-71.15,0.99,-2.97,-75.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.08,-3.88,-98.08,0.30,-3.65,-92.31,***,***,***,***,***,***,***,***,***,***,***,***
B:FPSME1T08_12,1.68,***,***,***,1.05,-0.63,-37.42,***,***,***,1.71,0.02,1.42,0.74,-0.95,-56.29,1.45,-0.23,-13.89,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.66,-1.03,-61.10,0.65,-1.04,-61.69,***,***,***,0.96,-0.72,-42.97,***,***,***,***,***,***
B:FPSME1T08_19,1.30,***,***,***,1.14,-0.15,-11.79,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.45,0.15,11.79,***,***,***,***,***,***,***,***,***,1.37,0.08,5.90,***,***,***,1.37,0.08,5.86
B:FPSME1T08_25,1.83,***,***,***,1.75,-0.07,-4.09,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.76,-1.07,-58.34,***,***,***,***,***,***,***,***,***,0.91,-0.91,-50.03,***,***,***,1.14,-0.69,-37.50
B:FPSME1T08_05,***,1.77,***,***,***,***,***,2.77,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.15,***,***,***,***,***,***,***,***,***,***,***,0.85,***,***,***,***,***,2.38,***,***
