ProjectUnit = PSME1T08
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,Pre1996-Attr,Pre1997-Attr,Pre1997-Diff,Pre1997-%Diff,Pre1998-Attr,Pre1998-Diff,Pre1998-%Diff,Pre1999-Attr,Pre1999-Diff,Pre1999-%Diff,Pre2003-Attr,Pre2003-Diff,Pre2003-%Diff,01PRE-Attr,01PRE-Diff,01PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR4-Attr,01YEAR4-Diff,01YEAR4-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR10-Attr,01YEAR10-Diff,01YEAR10-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff,FUEL2009-Attr,FUEL2009-Diff,FUEL2009-%Diff
B:FPSME1T08_01,0.76,***,***,***,1.22,0.46,60.72,***,***,***,7.99,7.23,949.82,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPSME1T08_02,12.12,***,***,***,10.20,-1.92,-15.83,***,***,***,***,***,***,15.99,3.87,31.91,3.89,-8.23,-67.89,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-12.12,-100.00,0.00,-12.12,-100.00,***,***,***,0.00,-12.12,-100.00,***,***,***,***,***,***
B:FPSME1T08_03,9.35,***,***,***,6.89,-2.46,-26.29,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,10.81,1.46,15.61,***,***,***,***,***,***,***,***,***,0.44,-8.91,-95.25,***,***,***,14.94,5.59,59.75
B:FPSME1T08_06,29.44,***,***,***,53.39,23.95,81.34,***,***,***,23.46,-5.99,-20.33,24.84,-4.60,-15.62,15.26,-14.19,-48.18,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.44,-29.00,-98.51,0.00,-29.44,-100.00,***,***,***,0.86,-28.58,-97.08,***,***,***,***,***,***
B:FPSME1T08_08,1.56,***,***,***,1.40,-0.15,-9.81,***,***,***,0.00,-1.56,-100.00,0.00,-1.56,-100.00,1.75,0.19,12.54,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-1.56,-100.00,0.00,-1.56,-100.00,***,***,***,0.00,-1.56,-100.00,***,***,***,***,***,***
B:FPSME1T08_11,53.82,***,***,***,37.75,-16.07,-29.86,***,***,***,36.36,-17.46,-32.44,18.78,-35.05,-65.11,17.44,-36.38,-67.60,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.16,-50.66,-94.13,2.31,-51.51,-95.71,***,***,***,***,***,***,***,***,***,***,***,***
B:FPSME1T08_12,26.88,***,***,***,4.30,-22.59,-84.02,***,***,***,2.67,-24.21,-90.05,2.41,-24.48,-91.05,1.63,-25.25,-93.93,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.83,-22.06,-82.05,0.00,-26.88,-100.00,***,***,***,0.87,-26.01,-96.75,***,***,***,***,***,***
B:FPSME1T08_19,2.06,***,***,***,0.97,-1.09,-52.90,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.59,0.53,25.96,***,***,***,***,***,***,***,***,***,0.00,-2.06,-100.00,***,***,***,4.02,1.97,95.64
B:FPSME1T08_25,0.28,***,***,***,4.24,3.96,1418.25,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.79,1.51,540.78,***,***,***,***,***,***,***,***,***,0.00,-0.28,-100.00,***,***,***,10.39,10.11,3619.03
B:FPSME1T08_05,***,25.73,***,***,***,***,***,15.56,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,16.56,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,13.73,***,***
B:FPSME1T08_09,***,1.24,***,***,***,***,***,0.92,***,***,5.80,***,***,3.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***
B:FPSME1T08_13,***,9.42,***,***,***,***,***,5.71,***,***,15.10,***,***,8.53,***,***,8.52,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.35,***,***,1.65,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***
B:FPSME1T08_14,***,11.86,***,***,***,***,***,23.77,***,***,19.94,***,***,26.76,***,***,3.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.26,***,***,2.33,***,***,***,***,***,4.28,***,***,***,***,***,***,***,***
B:FPSME1T08_16,***,6.00,***,***,***,***,***,2.70,***,***,7.95,***,***,7.75,***,***,4.98,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,1.82,***,***,***,***,***,***,***,***
B:FPSME1T08_17,***,8.84,***,***,***,***,***,10.63,***,***,24.04,***,***,9.39,***,***,9.39,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.33,***,***,1.59,***,***,***,***,***,1.81,***,***,***,***,***,***,***,***
B:FPSME1T08_18,***,0.41,***,***,***,***,***,0.00,***,***,1.62,***,***,1.17,***,***,1.17,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.13,***,***,0.73,***,***,***,***,***,0.65,***,***,***,***,***,***,***,***
B:FPSME1T08_21,***,2.53,***,***,***,***,***,2.88,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,6.80,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,9.07,***,***
B:FPSME1T08_24,***,25.58,***,***,***,***,***,27.98,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,23.67,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,34.26,***,***
B:FPSME1T08_04,***,***,***,***,***,***,***,***,***,***,***,***,***,21.24,***,***,***,***,***,5.14,***,***,12.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,1.42,***,***,5.66,***,***,4.26,***,***,3.64,***,***,***,***,***
B:FPSME1T08_07,***,***,***,***,***,***,***,***,***,***,***,***,***,8.29,***,***,8.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.83,***,***,3.36,***,***,***,***,***,1.26,***,***,***,***,***,***,***,***
B:FPSME1T08_10,***,***,***,***,***,***,***,***,***,***,***,***,***,19.95,***,***,***,***,***,9.80,***,***,10.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,8.39,***,***,9.63,***,***,11.59,***,***,7.06,***,***,6.29,***,***,***,***,***
B:FPSME1T08_15,***,***,***,***,***,***,***,***,***,***,***,***,***,4.61,***,***,2.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPSME1T08_20,***,***,***,***,***,***,***,***,***,***,***,***,***,1.20,***,***,10.51,***,***,8.92,***,***,0.00,***,***,***,***,***,0.00,***,***,7.81,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPSME1T08_22,***,***,***,***,***,***,***,***,***,***,***,***,***,0.91,***,***,***,***,***,10.32,***,***,13.75,***,***,***,***,***,***,***,***,***,***,***,***,***,***,7.89,***,***,7.18,***,***,1.76,***,***,0.00,***,***,8.86,***,***,***,***,***
B:FPSME1T08_23,***,***,***,***,***,***,***,***,***,***,***,***,***,1.07,***,***,4.32,***,***,4.08,***,***,5.40,***,***,***,***,***,***,***,***,***,***,***,***,***,***,15.68,***,***,6.99,***,***,2.47,***,***,5.19,***,***,0.65,***,***,***,***,***
B:FPSME1T08_26,***,***,***,***,***,***,***,***,***,***,***,***,***,2.79,***,***,2.42,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.86,***,***,0.30,***,***,***,***,***,1.40,***,***,***,***,***,***,***,***
B:FPSME1T08_27,***,***,***,***,***,***,***,***,***,***,***,***,***,29.42,***,***,4.18,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.60,***,***,3.49,***,***,***,***,***,0.63,***,***,***,***,***,***,***,***
B:FPSME1T08_28,***,***,***,***,***,***,***,***,***,***,***,***,***,1.87,***,***,2.93,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,0.44,***,***,***,***,***,***,***,***
B:FPSME1T08_29,***,***,***,***,***,***,***,***,***,***,***,***,***,3.22,***,***,0.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.63,***,***,0.00,***,***,***,***,***,1.91,***,***,***,***,***,***,***,***
B:FPSME1T08_30,***,***,***,***,***,***,***,***,***,***,***,***,***,4.63,***,***,3.35,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.13,***,***,0.00,***,***,***,***,***,3.34,***,***,***,***,***,***,***,***
B:FPSME1T08_31,***,***,***,***,***,***,***,***,***,***,***,***,***,8.39,***,***,2.80,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.21,***,***,0.00,***,***,***,***,***,4.17,***,***,***,***,***,***,***,***
B:FPSME1T08_32,***,***,***,***,***,***,***,***,***,***,***,***,***,19.69,***,***,19.69,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.04,***,***,2.15,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPSME1T08_33,***,***,***,***,***,***,***,***,***,***,***,***,***,30.99,***,***,23.40,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.18,***,***,0.00,***,***,***,***,***,1.97,***,***,***,***,***,***,***,***
B:FPSME1T08_34,***,***,***,***,***,***,***,***,***,***,***,***,***,4.20,***,***,4.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***
B:FPSME1T08_35,***,***,***,***,***,***,***,***,***,***,***,***,***,0.74,***,***,0.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***
B:FPSME1T08_36,***,***,***,***,***,***,***,***,***,***,***,***,***,0.57,***,***,0.28,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***
B:FPSME1T08_37,***,***,***,***,***,***,***,***,***,***,***,***,***,9.02,***,***,11.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.53,***,***,1.26,***,***,***,***,***,0.35,***,***,***,***,***,***,***,***
B:FPSME1T08_38,***,***,***,***,***,***,***,***,***,***,***,***,***,8.94,***,***,8.96,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***
B:FPSME1T08_39,***,***,***,***,***,***,***,***,***,***,***,***,***,28.04,***,***,28.15,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,5.87,***,***,***,***,***,2.98,***,***,***,***,***,***,***,***
B:FPSME1T08_40,***,***,***,***,***,***,***,***,***,***,***,***,***,12.43,***,***,12.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,0.16,***,***,***,***,***,***,***,***
B:FPSME1T08_41,***,***,***,***,***,***,***,***,***,***,***,***,***,10.90,***,***,2.40,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,0.28,***,***,***,***,***,***,***,***
B:FPSME1T08_42,***,***,***,***,***,***,***,***,***,***,***,***,***,1.20,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.53,***,***,0.00,***,***,***,***,***,1.12,***,***,***,***,***,***,***,***
B:FPSME1T08_43,***,***,***,***,***,***,***,***,***,***,***,***,***,0.86,***,***,0.81,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,1.16,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***
B:FPSME1T08_44,***,***,***,***,***,***,***,***,***,***,***,***,***,3.80,***,***,2.75,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPSME1T08_45,***,***,***,***,***,***,***,***,***,***,***,***,***,17.32,***,***,***,***,***,0.56,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPSME1T08_46,***,***,***,***,***,***,***,***,***,***,***,***,***,5.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPSME1T08_47,***,***,***,***,***,***,***,***,***,***,***,***,***,9.41,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPSME1T08_48,***,***,***,***,***,***,***,***,***,***,***,***,***,8.28,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPSME1T08_49,***,***,***,***,***,***,***,***,***,***,***,***,***,21.11,***,***,***,***,***,4.04,***,***,***,***,***,5.50,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPSME1T08_50,***,***,***,***,***,***,***,***,***,***,***,***,***,2.96,***,***,***,***,***,1.63,***,***,***,***,***,3.94,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPSME1T08_51,***,***,***,***,***,***,***,***,***,***,***,***,***,10.90,***,***,***,***,***,***,***,***,***,***,***,0.86,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPSME1T08_52,***,***,***,***,***,***,***,***,***,***,***,***,***,7.07,***,***,***,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPSME1T08_53,***,***,***,***,***,***,***,***,***,***,***,***,***,23.81,***,***,***,***,***,24.12,***,***,***,***,***,26.34,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPSME1T08_54,***,***,***,***,***,***,***,***,***,***,***,***,***,0.21,***,***,***,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPSME1T08_55,***,***,***,***,***,***,***,***,***,***,***,***,***,10.06,***,***,***,***,***,14.11,***,***,***,***,***,3.33,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPSME1T08_56,***,***,***,***,***,***,***,***,***,***,***,***,***,6.23,***,***,***,***,***,0.44,***,***,***,***,***,3.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPSME1T08_57,***,***,***,***,***,***,***,***,***,***,***,***,***,14.69,***,***,***,***,***,1.85,***,***,***,***,***,1.67,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_FPSME1T08_58,***,***,***,***,***,***,***,***,***,***,***,***,***,7.25,***,***,***,***,***,8.66,***,***,***,***,***,3.69,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,15.14,10.18,4.96,32.77,13.37,1.77,11.67,10.02,5.13,33.85,13.18,1.97,12.98,9.85,5.29,34.94,6.77,8.37,55.30,6.24,8.90,58.76,8.42,6.72,44.40,4.40,10.74,70.94,0.00,15.14,100.00,7.81,7.33,48.43,10.37,4.77,31.51,2.03,13.11,86.59,1.47,13.67,90.30,5.37,9.77,64.53,1.24,13.90,91.79,4.86,10.28,67.90,14.40,0.74,4.88
