ProjectUnit = PSME1T08
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,Pre1996-Attr,Pre1997-Attr,Pre1997-Diff,Pre1997-%Diff,Pre1998-Attr,Pre1998-Diff,Pre1998-%Diff,Pre1999-Attr,Pre1999-Diff,Pre1999-%Diff,Pre2003-Attr,Pre2003-Diff,Pre2003-%Diff,01PRE-Attr,01PRE-Diff,01PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR4-Attr,01YEAR4-Diff,01YEAR4-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR10-Attr,01YEAR10-Diff,01YEAR10-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff,FUEL2009-Attr,FUEL2009-Diff,FUEL2009-%Diff
B:FPSME1T08_01,7.21,***,***,***,9.31,2.10,29.13,***,***,***,6.01,-1.21,-16.73,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPSME1T08_02,6.66,***,***,***,13.24,6.58,98.88,***,***,***,***,***,***,3.94,-2.71,-40.75,3.25,-3.41,-51.20,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.08,-3.58,-53.77,3.24,-3.42,-51.38,***,***,***,6.39,-0.26,-3.96,***,***,***,***,***,***
B:FPSME1T08_03,17.27,***,***,***,16.27,-1.00,-5.77,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,15.78,-1.49,-8.61,***,***,***,***,***,***,***,***,***,10.11,-7.16,-41.44,***,***,***,18.81,1.54,8.93
B:FPSME1T08_06,3.49,***,***,***,5.76,2.27,65.21,***,***,***,6.05,2.56,73.43,1.99,-1.49,-42.88,1.50,-1.99,-57.09,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.81,1.32,37.84,6.33,2.84,81.56,***,***,***,3.78,0.30,8.47,***,***,***,***,***,***
B:FPSME1T08_08,6.95,***,***,***,6.59,-0.36,-5.24,***,***,***,7.08,0.12,1.77,3.47,-3.48,-50.11,3.39,-3.56,-51.17,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.87,-6.08,-87.52,0.29,-6.67,-95.89,***,***,***,6.82,-0.13,-1.91,***,***,***,***,***,***
B:FPSME1T08_11,4.84,***,***,***,26.09,21.25,439.35,***,***,***,15.51,10.67,220.59,54.82,49.98,1033.43,43.41,38.57,797.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,22.44,17.60,363.90,37.79,32.95,681.36,***,***,***,***,***,***,***,***,***,***,***,***
B:FPSME1T08_12,2.11,***,***,***,1.72,-0.39,-18.50,***,***,***,11.13,9.02,427.77,9.11,7.00,331.61,18.55,16.44,779.07,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,5.50,3.39,160.63,9.25,7.14,338.50,***,***,***,23.54,21.43,1015.86,***,***,***,***,***,***
B:FPSME1T08_19,5.53,***,***,***,5.82,0.29,5.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,8.10,2.57,46.51,***,***,***,***,***,***,***,***,***,19.98,14.45,261.31,***,***,***,5.50,-0.03,-0.50
B:FPSME1T08_25,4.58,***,***,***,2.25,-2.33,-50.81,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,8.82,4.24,92.70,***,***,***,***,***,***,***,***,***,9.51,4.93,107.69,***,***,***,2.05,-2.53,-55.19
B:FPSME1T08_05,***,17.12,***,***,***,***,***,17.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,17.88,***,***,***,***,***,***,***,***,***,***,***,13.90,***,***,***,***,***,11.98,***,***
