ProjectUnit = PSME1T08
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,Pre1996-Attr,Pre1997-Attr,Pre1997-Diff,Pre1997-%Diff,Pre1998-Attr,Pre1998-Diff,Pre1998-%Diff,Pre1999-Attr,Pre1999-Diff,Pre1999-%Diff,Pre2003-Attr,Pre2003-Diff,Pre2003-%Diff,01PRE-Attr,01PRE-Diff,01PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR4-Attr,01YEAR4-Diff,01YEAR4-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR10-Attr,01YEAR10-Diff,01YEAR10-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff,FUEL2009-Attr,FUEL2009-Diff,FUEL2009-%Diff
B:FPSME1T08_01,2.60,***,***,***,1.26,-1.35,-51.68,***,***,***,0.75,-1.85,-71.18,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPSME1T08_02,1.85,***,***,***,1.16,-0.69,-37.38,***,***,***,***,***,***,1.00,-0.85,-45.95,0.51,-1.35,-72.60,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.36,-1.49,-80.43,0.00,-1.85,-100.00,***,***,***,0.34,-1.52,-81.92,***,***,***,***,***,***
B:FPSME1T08_03,0.73,***,***,***,0.84,0.11,15.41,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.78,0.05,6.16,***,***,***,***,***,***,***,***,***,0.22,-0.51,-69.86,***,***,***,0.64,-0.09,-12.67
B:FPSME1T08_06,2.10,***,***,***,0.60,-1.51,-71.67,***,***,***,0.28,-1.82,-86.67,0.47,-1.63,-77.50,0.76,-1.35,-64.05,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-2.10,-100.00,0.00,-2.10,-100.00,***,***,***,0.16,-1.94,-92.38,***,***,***,***,***,***
B:FPSME1T08_08,2.38,***,***,***,0.53,-1.85,-77.71,***,***,***,0.89,-1.49,-62.57,0.10,-2.28,-96.00,0.43,-1.95,-82.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.05,-2.33,-97.90,0.08,-2.30,-96.85,***,***,***,0.12,-2.26,-94.85,***,***,***,***,***,***
B:FPSME1T08_11,3.13,***,***,***,1.50,-1.63,-52.20,***,***,***,1.18,-1.95,-62.43,0.82,-2.31,-73.70,0.98,-2.15,-68.59,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-3.13,-100.00,0.00,-3.13,-100.00,***,***,***,***,***,***,***,***,***,***,***,***
B:FPSME1T08_12,3.64,***,***,***,1.60,-2.04,-55.95,***,***,***,1.54,-2.10,-57.73,0.29,-3.35,-91.96,0.44,-3.20,-87.97,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.08,-3.56,-97.94,0.00,-3.64,-100.00,***,***,***,0.34,-3.30,-90.65,***,***,***,***,***,***
B:FPSME1T08_19,0.53,***,***,***,0.57,0.04,6.57,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.70,0.17,31.92,***,***,***,***,***,***,***,***,***,0.18,-0.35,-65.73,***,***,***,0.78,0.25,46.95
B:FPSME1T08_25,2.12,***,***,***,0.80,-1.32,-62.41,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.09,-1.03,-48.46,***,***,***,***,***,***,***,***,***,0.03,-2.09,-98.70,***,***,***,0.82,-1.30,-61.23
B:FPSME1T08_05,***,1.13,***,***,***,***,***,1.62,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.18,***,***,***,***,***,***,***,***,***,***,***,0.12,***,***,***,***,***,1.72,***,***
B:FPSME1T08_09,***,1.20,***,***,***,***,***,0.66,***,***,0.33,***,***,0.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,0.29,***,***,***,***,***,***,***,***
B:FPSME1T08_13,***,1.89,***,***,***,***,***,1.47,***,***,0.49,***,***,0.73,***,***,0.73,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.13,***,***,0.11,***,***,***,***,***,0.10,***,***,***,***,***,***,***,***
B:FPSME1T08_14,***,0.84,***,***,***,***,***,1.37,***,***,0.72,***,***,1.18,***,***,0.67,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.89,***,***,0.35,***,***,***,***,***,0.51,***,***,***,***,***,***,***,***
B:FPSME1T08_16,***,0.69,***,***,***,***,***,0.60,***,***,0.33,***,***,0.50,***,***,0.60,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.33,***,***,0.00,***,***,***,***,***,0.33,***,***,***,***,***,***,***,***
B:FPSME1T08_17,***,1.46,***,***,***,***,***,1.37,***,***,0.72,***,***,0.47,***,***,0.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.45,***,***,0.00,***,***,***,***,***,0.53,***,***,***,***,***,***,***,***
B:FPSME1T08_18,***,0.19,***,***,***,***,***,0.21,***,***,0.04,***,***,0.16,***,***,0.16,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.08,***,***,0.00,***,***,***,***,***,0.10,***,***,***,***,***,***,***,***
B:FPSME1T08_21,***,0.90,***,***,***,***,***,1.15,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.67,***,***,***,***,***,***,***,***,***,***,***,0.06,***,***,***,***,***,1.29,***,***
B:FPSME1T08_24,***,0.72,***,***,***,***,***,1.01,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.78,***,***,***,***,***,***,***,***,***,***,***,0.04,***,***,***,***,***,1.10,***,***
B:FPSME1T08_04,***,***,***,***,***,***,***,***,***,***,***,***,***,0.76,***,***,***,***,***,2.61,***,***,1.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.33,***,***,0.37,***,***,0.08,***,***,0.40,***,***,0.59,***,***,***,***,***
B:FPSME1T08_07,***,***,***,***,***,***,***,***,***,***,***,***,***,1.31,***,***,1.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.62,***,***,0.00,***,***,***,***,***,0.09,***,***,***,***,***,***,***,***
B:FPSME1T08_10,***,***,***,***,***,***,***,***,***,***,***,***,***,1.41,***,***,***,***,***,2.70,***,***,0.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.05,***,***,1.40,***,***,0.53,***,***,1.55,***,***,0.95,***,***,***,***,***
B:FPSME1T08_15,***,***,***,***,***,***,***,***,***,***,***,***,***,0.82,***,***,1.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPSME1T08_20,***,***,***,***,***,***,***,***,***,***,***,***,***,0.85,***,***,0.40,***,***,0.53,***,***,0.68,***,***,***,***,***,1.16,***,***,0.38,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPSME1T08_22,***,***,***,***,***,***,***,***,***,***,***,***,***,2.24,***,***,***,***,***,2.79,***,***,1.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.59,***,***,0.19,***,***,0.02,***,***,0.44,***,***,0.76,***,***,***,***,***
B:FPSME1T08_23,***,***,***,***,***,***,***,***,***,***,***,***,***,2.03,***,***,2.13,***,***,1.86,***,***,1.44,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.49,***,***,2.06,***,***,0.22,***,***,0.61,***,***,1.12,***,***,***,***,***
B:FPSME1T08_26,***,***,***,***,***,***,***,***,***,***,***,***,***,0.38,***,***,0.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.12,***,***,0.00,***,***,***,***,***,0.25,***,***,***,***,***,***,***,***
B:FPSME1T08_27,***,***,***,***,***,***,***,***,***,***,***,***,***,0.59,***,***,0.35,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.42,***,***,0.38,***,***,***,***,***,0.36,***,***,***,***,***,***,***,***
B:FPSME1T08_28,***,***,***,***,***,***,***,***,***,***,***,***,***,0.81,***,***,0.43,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.17,***,***,0.29,***,***,***,***,***,0.24,***,***,***,***,***,***,***,***
B:FPSME1T08_29,***,***,***,***,***,***,***,***,***,***,***,***,***,0.68,***,***,1.20,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.27,***,***,0.00,***,***,***,***,***,0.42,***,***,***,***,***,***,***,***
B:FPSME1T08_30,***,***,***,***,***,***,***,***,***,***,***,***,***,0.78,***,***,0.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.03,***,***,0.13,***,***,***,***,***,0.10,***,***,***,***,***,***,***,***
B:FPSME1T08_31,***,***,***,***,***,***,***,***,***,***,***,***,***,0.21,***,***,0.41,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.25,***,***,0.24,***,***,***,***,***,0.32,***,***,***,***,***,***,***,***
B:FPSME1T08_32,***,***,***,***,***,***,***,***,***,***,***,***,***,0.77,***,***,0.77,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPSME1T08_33,***,***,***,***,***,***,***,***,***,***,***,***,***,0.23,***,***,0.63,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.01,***,***,0.21,***,***,***,***,***,0.06,***,***,***,***,***,***,***,***
B:FPSME1T08_34,***,***,***,***,***,***,***,***,***,***,***,***,***,0.54,***,***,0.54,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.06,***,***,0.00,***,***,***,***,***,0.12,***,***,***,***,***,***,***,***
B:FPSME1T08_35,***,***,***,***,***,***,***,***,***,***,***,***,***,0.63,***,***,0.63,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.12,***,***,0.03,***,***,***,***,***,0.18,***,***,***,***,***,***,***,***
B:FPSME1T08_36,***,***,***,***,***,***,***,***,***,***,***,***,***,0.24,***,***,0.48,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.04,***,***,0.00,***,***,***,***,***,0.08,***,***,***,***,***,***,***,***
