ProjectUnit = PSME1T08
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,Pre1996-Attr,Pre1997-Attr,Pre1997-Diff,Pre1997-%Diff,Pre1998-Attr,Pre1998-Diff,Pre1998-%Diff,Pre1999-Attr,Pre1999-Diff,Pre1999-%Diff,Pre2003-Attr,Pre2003-Diff,Pre2003-%Diff,01PRE-Attr,01PRE-Diff,01PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR4-Attr,01YEAR4-Diff,01YEAR4-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR10-Attr,01YEAR10-Diff,01YEAR10-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff,FUEL2009-Attr,FUEL2009-Diff,FUEL2009-%Diff
B:FPSME1T08_01,25.98,***,***,***,12.55,-13.43,-51.68,***,***,***,7.49,-18.49,-71.18,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPSME1T08_02,18.49,***,***,***,11.58,-6.91,-37.38,***,***,***,***,***,***,9.99,-8.50,-45.95,5.07,-13.43,-72.60,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.62,-14.87,-80.43,0.00,-18.49,-100.00,***,***,***,3.34,-15.15,-81.92,***,***,***,***,***,***
B:FPSME1T08_03,7.29,***,***,***,8.41,1.12,15.41,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,7.74,0.45,6.16,***,***,***,***,***,***,***,***,***,2.20,-5.09,-69.86,***,***,***,6.36,-0.92,-12.67
B:FPSME1T08_06,20.96,***,***,***,5.94,-15.02,-71.67,***,***,***,2.80,-18.17,-86.67,4.72,-16.25,-77.50,7.54,-13.43,-64.05,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-20.96,-100.00,0.00,-20.96,-100.00,***,***,***,1.60,-19.37,-92.38,***,***,***,***,***,***
B:FPSME1T08_08,23.73,***,***,***,5.29,-18.44,-77.71,***,***,***,8.88,-14.85,-62.57,0.95,-22.79,-96.00,4.27,-19.47,-82.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.50,-23.23,-97.90,0.75,-22.98,-96.85,***,***,***,1.22,-22.51,-94.85,***,***,***,***,***,***
B:FPSME1T08_11,31.22,***,***,***,14.92,-16.30,-52.20,***,***,***,11.73,-19.49,-62.43,8.21,-23.01,-73.70,9.81,-21.41,-68.59,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-31.22,-100.00,0.00,-31.22,-100.00,***,***,***,***,***,***,***,***,***,***,***,***
B:FPSME1T08_12,36.31,***,***,***,16.00,-20.31,-55.95,***,***,***,15.35,-20.96,-57.73,2.92,-33.39,-91.96,4.37,-31.94,-87.97,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.75,-35.56,-97.94,0.00,-36.31,-100.00,***,***,***,3.39,-32.92,-90.65,***,***,***,***,***,***
B:FPSME1T08_19,5.32,***,***,***,5.67,0.35,6.57,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,7.01,1.70,31.92,***,***,***,***,***,***,***,***,***,1.82,-3.49,-65.73,***,***,***,7.81,2.50,46.95
B:FPSME1T08_25,21.11,***,***,***,7.94,-13.18,-62.41,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,10.88,-10.23,-48.46,***,***,***,***,***,***,***,***,***,0.27,-20.84,-98.70,***,***,***,8.19,-12.93,-61.23
B:FPSME1T08_05,***,11.23,***,***,***,***,***,16.17,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,11.75,***,***,***,***,***,***,***,***,***,***,***,1.17,***,***,***,***,***,17.14,***,***
B:FPSME1T08_09,***,12.00,***,***,***,***,***,6.54,***,***,3.27,***,***,3.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,2.89,***,***,***,***,***,***,***,***
B:FPSME1T08_13,***,18.87,***,***,***,***,***,14.65,***,***,4.89,***,***,7.31,***,***,7.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.32,***,***,1.10,***,***,***,***,***,1.02,***,***,***,***,***,***,***,***
B:FPSME1T08_14,***,8.36,***,***,***,***,***,13.70,***,***,7.19,***,***,11.78,***,***,6.71,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,8.86,***,***,3.44,***,***,***,***,***,5.12,***,***,***,***,***,***,***,***
B:FPSME1T08_16,***,6.86,***,***,***,***,***,5.96,***,***,3.32,***,***,4.99,***,***,5.94,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.24,***,***,0.00,***,***,***,***,***,3.29,***,***,***,***,***,***,***,***
B:FPSME1T08_17,***,14.60,***,***,***,***,***,13.70,***,***,7.19,***,***,4.69,***,***,4.69,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.47,***,***,0.00,***,***,***,***,***,5.32,***,***,***,***,***,***,***,***
B:FPSME1T08_18,***,1.85,***,***,***,***,***,2.12,***,***,0.35,***,***,1.55,***,***,1.55,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.75,***,***,0.00,***,***,***,***,***,1.02,***,***,***,***,***,***,***,***
B:FPSME1T08_21,***,9.01,***,***,***,***,***,11.45,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,16.65,***,***,***,***,***,***,***,***,***,***,***,0.57,***,***,***,***,***,12.90,***,***
B:FPSME1T08_24,***,7.16,***,***,***,***,***,10.06,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,7.81,***,***,***,***,***,***,***,***,***,***,***,0.40,***,***,***,***,***,10.93,***,***
