ProjectUnit = PSME1T08
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,Pre1996-Attr,Pre1997-Attr,Pre1997-Diff,Pre1997-%Diff,Pre1998-Attr,Pre1998-Diff,Pre1998-%Diff,Pre1999-Attr,Pre1999-Diff,Pre1999-%Diff,Pre2003-Attr,Pre2003-Diff,Pre2003-%Diff,01PRE-Attr,01PRE-Diff,01PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR4-Attr,01YEAR4-Diff,01YEAR4-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR10-Attr,01YEAR10-Diff,01YEAR10-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff,FUEL2009-Attr,FUEL2009-Diff,FUEL2009-%Diff
B:FPSME1T08_01,1.27,***,***,***,0.71,-0.57,-44.40,***,***,***,0.91,-0.36,-28.29,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPSME1T08_02,2.08,***,***,***,1.40,-0.68,-32.69,***,***,***,***,***,***,1.16,-0.92,-44.11,0.29,-1.79,-85.94,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.30,-1.78,-85.46,0.62,-1.46,-70.31,***,***,***,0.40,-1.68,-80.77,***,***,***,***,***,***
B:FPSME1T08_03,1.62,***,***,***,0.42,-1.20,-73.96,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.86,-0.76,-46.84,***,***,***,***,***,***,***,***,***,0.38,-1.25,-76.89,***,***,***,0.51,-1.12,-68.72
B:FPSME1T08_06,1.63,***,***,***,0.84,-0.80,-48.70,***,***,***,0.66,-0.97,-59.57,0.65,-0.99,-60.49,0.28,-1.36,-83.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.11,-1.53,-93.42,0.38,-1.26,-76.88,***,***,***,0.17,-1.46,-89.43,***,***,***,***,***,***
B:FPSME1T08_08,0.98,***,***,***,0.76,-0.22,-22.19,***,***,***,0.80,-0.18,-18.37,0.69,-0.29,-29.85,0.26,-0.72,-73.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.26,-0.72,-73.47,0.31,-0.67,-68.62,***,***,***,0.20,-0.78,-79.59,***,***,***,***,***,***
B:FPSME1T08_11,1.57,***,***,***,0.71,-0.87,-55.17,***,***,***,0.78,-0.79,-50.24,0.89,-0.68,-43.40,0.25,-1.32,-84.10,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.02,-1.55,-98.73,0.10,-1.47,-93.64,***,***,***,***,***,***,***,***,***,***,***,***
B:FPSME1T08_12,1.55,***,***,***,0.95,-0.60,-38.83,***,***,***,1.04,-0.51,-32.69,0.34,-1.21,-77.99,0.27,-1.27,-82.36,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.26,-1.29,-83.17,0.34,-1.20,-77.83,***,***,***,0.49,-1.06,-68.28,***,***,***,***,***,***
B:FPSME1T08_19,1.59,***,***,***,0.88,-0.71,-44.64,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.58,-1.00,-63.25,***,***,***,***,***,***,***,***,***,0.22,-1.37,-86.12,***,***,***,0.85,-0.73,-46.21
B:FPSME1T08_25,1.20,***,***,***,0.74,-0.46,-38.54,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.87,-0.33,-27.29,***,***,***,***,***,***,***,***,***,0.11,-1.09,-90.83,***,***,***,0.61,-0.59,-49.38
B:FPSME1T08_05,***,1.06,***,***,***,***,***,1.35,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.65,***,***,***,***,***,***,***,***,***,***,***,0.33,***,***,***,***,***,0.61,***,***
