ProjectUnit = PSME1T08
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,Pre1996-Attr,Pre1997-Attr,Pre1997-Diff,Pre1997-%Diff,Pre1998-Attr,Pre1998-Diff,Pre1998-%Diff,Pre1999-Attr,Pre1999-Diff,Pre1999-%Diff,Pre2003-Attr,Pre2003-Diff,Pre2003-%Diff,01PRE-Attr,01PRE-Diff,01PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR4-Attr,01YEAR4-Diff,01YEAR4-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR10-Attr,01YEAR10-Diff,01YEAR10-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff,FUEL2009-Attr,FUEL2009-Diff,FUEL2009-%Diff
B:FPSME1T08_01,6.35,***,***,***,3.53,-2.82,-44.40,***,***,***,4.55,-1.80,-28.29,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPSME1T08_02,10.38,***,***,***,6.99,-3.39,-32.69,***,***,***,***,***,***,5.80,-4.58,-44.11,1.46,-8.92,-85.94,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.51,-8.87,-85.46,3.08,-7.30,-70.31,***,***,***,2.00,-8.39,-80.77,***,***,***,***,***,***
B:FPSME1T08_03,8.10,***,***,***,2.11,-5.99,-73.96,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.30,-3.79,-46.84,***,***,***,***,***,***,***,***,***,1.87,-6.23,-76.89,***,***,***,2.53,-5.57,-68.72
B:FPSME1T08_06,8.15,***,***,***,4.18,-3.97,-48.70,***,***,***,3.29,-4.85,-59.57,3.22,-4.93,-60.49,1.39,-6.76,-83.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.54,-7.61,-93.42,1.88,-6.26,-76.88,***,***,***,0.86,-7.29,-89.43,***,***,***,***,***,***
B:FPSME1T08_08,4.89,***,***,***,3.81,-1.09,-22.19,***,***,***,3.99,-0.90,-18.37,3.43,-1.46,-29.85,1.30,-3.59,-73.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.30,-3.59,-73.47,1.53,-3.36,-68.62,***,***,***,1.00,-3.89,-79.59,***,***,***,***,***,***
B:FPSME1T08_11,7.85,***,***,***,3.52,-4.33,-55.17,***,***,***,3.91,-3.94,-50.24,4.44,-3.41,-43.40,1.25,-6.60,-84.10,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.10,-7.75,-98.73,0.50,-7.35,-93.64,***,***,***,***,***,***,***,***,***,***,***,***
B:FPSME1T08_12,7.71,***,***,***,4.72,-2.99,-38.83,***,***,***,5.19,-2.52,-32.69,1.70,-6.01,-77.99,1.36,-6.35,-82.36,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.30,-6.41,-83.17,1.71,-6.00,-77.83,***,***,***,2.45,-5.27,-68.28,***,***,***,***,***,***
B:FPSME1T08_19,7.91,***,***,***,4.38,-3.53,-44.64,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.91,-5.00,-63.25,***,***,***,***,***,***,***,***,***,1.10,-6.81,-86.12,***,***,***,4.26,-3.66,-46.21
B:FPSME1T08_25,5.99,***,***,***,3.68,-2.31,-38.54,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.35,-1.63,-27.29,***,***,***,***,***,***,***,***,***,0.55,-5.44,-90.83,***,***,***,3.03,-2.96,-49.38
B:FPSME1T08_05,***,5.28,***,***,***,***,***,6.75,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.23,***,***,***,***,***,***,***,***,***,***,***,1.63,***,***,***,***,***,3.06,***,***
B:FPSME1T08_09,***,6.35,***,***,***,***,***,4.22,***,***,5.94,***,***,4.06,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.30,***,***,***,***,***,0.99,***,***,***,***,***,***,***,***
