ProjectUnit = PSME1T08
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,Pre1996-Attr,Pre1997-Attr,Pre1997-Diff,Pre1997-%Diff,Pre1998-Attr,Pre1998-Diff,Pre1998-%Diff,Pre1999-Attr,Pre1999-Diff,Pre1999-%Diff,Pre2003-Attr,Pre2003-Diff,Pre2003-%Diff,01PRE-Attr,01PRE-Diff,01PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01YEAR4-Attr,01YEAR4-Diff,01YEAR4-%Diff,01YEAR5-Attr,01YEAR5-Diff,01YEAR5-%Diff,01YEAR10-Attr,01YEAR10-Diff,01YEAR10-%Diff,02PRE-Attr,02PRE-Diff,02PRE-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR5-Attr,02YEAR5-Diff,02YEAR5-%Diff,02YEAR10-Attr,02YEAR10-Diff,02YEAR10-%Diff,FUEL2009-Attr,FUEL2009-Diff,FUEL2009-%Diff
B:FPSME1T08_01,46.69,***,***,***,33.08,-13.61,-29.14,***,***,***,34.75,-11.93,-25.56,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPSME1T08_02,51.83,***,***,***,46.24,-5.60,-10.80,***,***,***,***,***,***,41.90,-9.93,-19.16,15.98,-35.86,-69.17,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,9.99,-41.85,-80.73,7.94,-43.89,-84.68,***,***,***,15.21,-36.62,-70.65,***,***,***,***,***,***
B:FPSME1T08_03,48.83,***,***,***,39.50,-9.33,-19.10,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,46.59,-2.24,-4.59,***,***,***,***,***,***,***,***,***,18.41,-30.42,-62.29,***,***,***,50.88,2.05,4.20
B:FPSME1T08_06,67.92,***,***,***,72.69,4.76,7.01,***,***,***,40.31,-27.61,-40.66,42.74,-25.18,-37.08,28.87,-39.05,-57.49,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,6.94,-60.98,-89.78,9.54,-58.39,-85.96,***,***,***,8.45,-59.48,-87.56,***,***,***,***,***,***
B:FPSME1T08_08,41.47,***,***,***,19.50,-21.97,-52.97,***,***,***,25.76,-15.71,-37.89,11.21,-30.26,-72.98,14.00,-27.47,-66.25,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.78,-37.69,-90.88,4.40,-37.07,-89.40,***,***,***,12.75,-28.71,-69.24,***,***,***,***,***,***
B:FPSME1T08_11,109.55,***,***,***,88.09,-21.46,-19.59,***,***,***,74.50,-35.05,-32.00,92.39,-17.16,-15.66,76.03,-33.51,-30.59,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,26.09,-83.46,-76.18,41.27,-68.28,-62.33,***,***,***,***,***,***,***,***,***,***,***,***
B:FPSME1T08_12,78.37,***,***,***,29.08,-49.29,-62.90,***,***,***,39.75,-38.62,-49.28,20.27,-58.10,-74.14,28.82,-49.55,-63.23,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,14.08,-64.29,-82.03,12.40,-65.97,-84.17,***,***,***,31.87,-46.50,-59.33,***,***,***,***,***,***
B:FPSME1T08_19,23.11,***,***,***,19.91,-3.20,-13.86,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,23.98,0.87,3.77,***,***,***,***,***,***,***,***,***,25.84,2.72,11.79,***,***,***,26.18,3.07,13.27
B:FPSME1T08_25,37.89,***,***,***,24.58,-13.31,-35.14,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,32.67,-5.22,-13.79,***,***,***,***,***,***,***,***,***,13.10,-24.80,-65.44,***,***,***,31.25,-6.65,-17.54
B:FPSME1T08_05,***,67.26,***,***,***,***,***,65.99,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,57.74,***,***,***,***,***,***,***,***,***,***,***,19.13,***,***,***,***,***,54.23,***,***
B:FPSME1T08_09,***,38.22,***,***,***,***,***,30.97,***,***,33.27,***,***,27.59,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,9.30,***,***,***,***,***,36.85,***,***,***,***,***,***,***,***
B:FPSME1T08_13,***,44.22,***,***,***,***,***,30.25,***,***,32.56,***,***,30.75,***,***,30.73,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,7.19,***,***,8.78,***,***,***,***,***,22.91,***,***,***,***,***,***,***,***
B:FPSME1T08_14,***,51.01,***,***,***,***,***,58.59,***,***,49.61,***,***,58.33,***,***,17.97,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,27.04,***,***,18.57,***,***,***,***,***,19.89,***,***,***,***,***,***,***,***
B:FPSME1T08_16,***,33.25,***,***,***,***,***,30.70,***,***,37.19,***,***,36.52,***,***,39.83,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,52.52,***,***,42.34,***,***,***,***,***,57.25,***,***,***,***,***,***,***,***
B:FPSME1T08_17,***,54.11,***,***,***,***,***,51.37,***,***,42.31,***,***,27.77,***,***,27.77,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,24.67,***,***,19.48,***,***,***,***,***,23.87,***,***,***,***,***,***,***,***
B:FPSME1T08_18,***,15.33,***,***,***,***,***,15.41,***,***,18.10,***,***,19.62,***,***,19.62,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,10.48,***,***,9.33,***,***,***,***,***,18.98,***,***,***,***,***,***,***,***
B:FPSME1T08_21,***,23.95,***,***,***,***,***,27.84,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,38.96,***,***,***,***,***,***,***,***,***,***,***,30.22,***,***,***,***,***,35.37,***,***
B:FPSME1T08_24,***,44.02,***,***,***,***,***,52.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,45.91,***,***,***,***,***,***,***,***,***,***,***,24.66,***,***,***,***,***,54.16,***,***
B:FPSME1T08_04,***,***,***,***,***,***,***,***,***,***,***,***,***,52.47,***,***,***,***,***,57.15,***,***,50.25,***,***,***,***,***,***,***,***,***,***,***,***,***,***,19.47,***,***,22.83,***,***,16.40,***,***,19.38,***,***,46.96,***,***,***,***,***
B:FPSME1T08_07,***,***,***,***,***,***,***,***,***,***,***,***,***,60.30,***,***,61.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,45.45,***,***,50.30,***,***,***,***,***,38.03,***,***,***,***,***,***,***,***
B:FPSME1T08_10,***,***,***,***,***,***,***,***,***,***,***,***,***,45.59,***,***,***,***,***,51.28,***,***,23.96,***,***,***,***,***,***,***,***,***,***,***,***,***,***,28.55,***,***,30.80,***,***,24.34,***,***,30.01,***,***,23.40,***,***,***,***,***
B:FPSME1T08_15,***,***,***,***,***,***,***,***,***,***,***,***,***,22.82,***,***,25.44,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.36,***,***,4.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPSME1T08_20,***,***,***,***,***,***,***,***,***,***,***,***,***,27.20,***,***,18.52,***,***,18.50,***,***,22.39,***,***,***,***,***,32.32,***,***,17.46,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPSME1T08_22,***,***,***,***,***,***,***,***,***,***,***,***,***,31.10,***,***,***,***,***,52.11,***,***,41.79,***,***,***,***,***,***,***,***,***,***,***,***,***,***,20.31,***,***,16.08,***,***,8.43,***,***,19.78,***,***,35.15,***,***,***,***,***
B:FPSME1T08_23,***,***,***,***,***,***,***,***,***,***,***,***,***,31.78,***,***,37.03,***,***,34.61,***,***,31.11,***,***,***,***,***,***,***,***,***,***,***,***,***,***,43.71,***,***,46.96,***,***,23.63,***,***,32.17,***,***,27.31,***,***,***,***,***
B:FPSME1T08_26,***,***,***,***,***,***,***,***,***,***,***,***,***,23.91,***,***,19.42,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,12.06,***,***,16.04,***,***,***,***,***,15.52,***,***,***,***,***,***,***,***
B:FPSME1T08_27,***,***,***,***,***,***,***,***,***,***,***,***,***,47.27,***,***,10.40,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,14.87,***,***,12.91,***,***,***,***,***,9.00,***,***,***,***,***,***,***,***
B:FPSME1T08_28,***,***,***,***,***,***,***,***,***,***,***,***,***,20.03,***,***,19.92,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,10.47,***,***,10.07,***,***,***,***,***,17.40,***,***,***,***,***,***,***,***
B:FPSME1T08_29,***,***,***,***,***,***,***,***,***,***,***,***,***,23.02,***,***,23.34,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,11.99,***,***,6.40,***,***,***,***,***,16.50,***,***,***,***,***,***,***,***
B:FPSME1T08_30,***,***,***,***,***,***,***,***,***,***,***,***,***,20.50,***,***,13.34,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,11.30,***,***,15.04,***,***,***,***,***,17.27,***,***,***,***,***,***,***,***
B:FPSME1T08_31,***,***,***,***,***,***,***,***,***,***,***,***,***,21.31,***,***,14.04,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,11.12,***,***,13.24,***,***,***,***,***,17.71,***,***,***,***,***,***,***,***
B:FPSME1T08_32,***,***,***,***,***,***,***,***,***,***,***,***,***,40.95,***,***,40.96,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,16.20,***,***,13.76,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPSME1T08_33,***,***,***,***,***,***,***,***,***,***,***,***,***,49.01,***,***,35.82,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.23,***,***,6.63,***,***,***,***,***,11.52,***,***,***,***,***,***,***,***
B:FPSME1T08_34,***,***,***,***,***,***,***,***,***,***,***,***,***,17.24,***,***,24.16,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.39,***,***,4.89,***,***,***,***,***,21.55,***,***,***,***,***,***,***,***
B:FPSME1T08_35,***,***,***,***,***,***,***,***,***,***,***,***,***,17.28,***,***,17.28,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,6.46,***,***,7.19,***,***,***,***,***,16.41,***,***,***,***,***,***,***,***
B:FPSME1T08_36,***,***,***,***,***,***,***,***,***,***,***,***,***,11.27,***,***,13.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,6.76,***,***,10.12,***,***,***,***,***,17.99,***,***,***,***,***,***,***,***
B:FPSME1T08_37,***,***,***,***,***,***,***,***,***,***,***,***,***,39.21,***,***,37.23,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,8.18,***,***,11.30,***,***,***,***,***,22.45,***,***,***,***,***,***,***,***
B:FPSME1T08_38,***,***,***,***,***,***,***,***,***,***,***,***,***,45.57,***,***,45.67,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,7.91,***,***,***,***,***,***,***,***,20.49,***,***,***,***,***,***,***,***
