ProjectUnit = PSME2T08
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR3-Attr,02YEAR3-Diff,02YEAR3-%Diff,03YEAR1-Attr,03YEAR1-Diff,03YEAR1-%Diff,03YEAR3-Attr,03YEAR3-Diff,03YEAR3-%Diff,03YEAR7-Attr,03YEAR7-Diff,03YEAR7-%Diff
B_MPSME2T08_01,0.91,1.29,0.38,41.67,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_02,1.29,2.36,1.06,82.35,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_03,0.99,2.81,1.82,184.62,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_04,2.74,3.88,1.14,41.67,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_06,0.99,1.90,0.91,92.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_07,1.37,3.12,1.75,127.78,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_08,1.29,4.94,3.65,282.35,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_09,0.91,0.84,-0.08,-8.33,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_10,0.38,1.14,0.76,200.00,0.92,0.54,142.71,0.92,0.54,142.04,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_11,1.52,2.36,0.84,55.00,1.29,-0.23,-15.00,3.12,1.60,105.00,3.27,1.75,115.00,***,***,***,2.13,0.61,40.00,0.68,-0.84,-55.00,1.37,-0.15,-10.00
B_MPSME2T08_12,2.20,3.35,1.14,51.72,1.98,-0.23,-10.34,2.20,0.00,0.00,1.29,-0.91,-41.38,***,***,***,1.82,-0.38,-17.24,1.60,-0.61,-27.59,1.14,-1.06,-48.28
B_MPSME2T08_13,0.91,1.67,0.76,83.33,0.61,-0.30,-33.33,3.12,2.20,241.67,1.44,0.53,58.33,***,***,***,2.36,1.44,158.33,2.13,1.22,133.33,0.91,0.00,0.00
B_MPSME2T08_14,1.06,1.98,0.91,85.71,1.60,0.53,50.00,1.90,0.84,78.57,1.06,0.00,0.00,***,***,***,2.13,1.06,100.00,2.05,0.99,92.86,1.52,0.46,42.86
B_MPSME2T08_15,0.99,1.52,0.53,53.85,1.22,0.23,23.08,1.60,0.61,61.54,0.61,-0.38,-38.46,***,***,***,1.06,0.08,7.69,1.22,0.23,23.08,4.26,3.27,330.77
B_MPSME2T08_16,1.22,2.66,1.44,118.75,0.84,-0.38,-31.25,2.28,1.06,87.50,1.75,0.53,43.75,***,***,***,1.75,0.53,43.76,0.91,-0.30,-25.00,1.52,0.30,25.00
B_MPSME2T08_17,1.06,2.66,1.60,150.00,1.75,0.68,64.29,0.84,-0.23,-21.43,0.23,-0.84,-78.57,***,***,***,0.53,-0.53,-49.99,0.30,-0.76,-71.42,0.00,-1.06,-100.00
B_MPSME2T08_18,1.29,2.66,1.37,105.88,3.57,2.28,176.47,2.36,1.06,82.35,1.67,0.38,29.41,***,***,***,0.76,-0.53,-41.17,0.76,-0.53,-41.18,0.99,-0.30,-23.53
B_MPSME2T08_19,0.46,2.36,1.90,416.67,1.29,0.84,183.33,1.90,1.44,316.67,1.14,0.68,150.00,***,***,***,1.75,1.29,283.34,1.37,0.91,200.01,1.37,0.91,200.00
B_MPSME2T08_20,0.61,1.67,1.06,175.00,3.42,2.81,462.50,3.04,2.43,400.00,5.32,4.71,775.00,***,***,***,1.29,0.68,112.50,0.91,0.30,50.00,0.84,0.23,37.50
B_MPSME2T08_22,0.99,0.76,-0.23,-23.08,***,***,***,0.38,-0.61,-61.53,***,***,***,0.15,-0.84,-84.61,***,***,***,***,***,***,0.76,-0.23,-23.04
B_MPSME2T08_23,1.44,0.99,-0.46,-31.58,***,***,***,0.68,-0.76,-52.63,***,***,***,0.68,-0.76,-52.63,***,***,***,***,***,***,0.91,-0.53,-36.84
B_MPSME2T08_24,1.29,1.29,0.00,0.00,***,***,***,0.53,-0.76,-58.82,***,***,***,0.53,-0.76,-58.82,***,***,***,***,***,***,0.23,-1.06,-82.35
B_MPSME2T08_25,1.14,0.53,-0.61,-53.33,***,***,***,0.15,-0.99,-86.66,***,***,***,0.08,-1.06,-93.33,***,***,***,***,***,***,1.83,0.68,60.05
B_MPSME2T08_26,1.83,2.36,0.53,29.11,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_27,2.89,2.66,-0.23,-7.88,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_28,2.36,3.35,0.99,41.94,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_29,1.90,2.29,0.38,20.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_30,3.35,2.89,-0.46,-13.63,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_31,1.52,0.53,-0.99,-65.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_32,2.36,2.36,0.00,-0.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,1.44,2.17,-0.73,-50.60,1.68,-0.24,-16.50,1.67,-0.23,-15.64,1.78,-0.34,-23.33,0.36,1.08,74.96,1.56,-0.12,-8.05,1.19,0.25,17.25,1.26,0.18,12.65
