ProjectUnit = PSME2T08
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR3-Attr,02YEAR3-Diff,02YEAR3-%Diff,03YEAR1-Attr,03YEAR1-Diff,03YEAR1-%Diff,03YEAR3-Attr,03YEAR3-Diff,03YEAR3-%Diff,03YEAR7-Attr,03YEAR7-Diff,03YEAR7-%Diff
B_MPSME2T08_01,0.47,0.86,0.39,82.73,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_02,0.31,0.63,0.32,104.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_03,9.81,8.59,-1.22,-12.45,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_04,12.27,9.08,-3.19,-25.99,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_06,8.45,2.68,-5.77,-68.26,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_07,0.23,0.21,-0.01,-5.48,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_08,2.04,0.64,-1.40,-68.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_09,0.39,4.16,3.77,978.59,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_10,13.51,12.68,-0.84,-6.18,13.24,-0.28,-2.04,7.85,-5.67,-41.94,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_11,7.61,2.54,-5.07,-66.61,5.17,-2.44,-32.05,2.86,-4.74,-62.35,5.31,-2.30,-30.21,***,***,***,4.04,-3.57,-46.91,0.28,-7.33,-96.33,0.44,-7.17,-94.26
B_MPSME2T08_12,23.84,18.01,-5.83,-24.46,4.67,-19.18,-80.43,1.85,-21.99,-92.24,8.53,-15.32,-64.23,***,***,***,0.00,-23.84,-100.00,0.00,-23.84,-100.00,0.00,-23.84,-100.00
B_MPSME2T08_13,32.71,11.49,-21.22,-64.86,6.24,-26.47,-80.93,4.63,-28.08,-85.85,9.90,-22.80,-69.72,***,***,***,3.85,-28.86,-88.23,0.00,-32.71,-100.00,2.28,-30.43,-93.03
B_MPSME2T08_14,17.24,6.24,-11.00,-63.83,1.01,-16.23,-94.13,0.00,-17.24,-100.00,0.00,-17.24,-100.00,***,***,***,0.00,-17.24,-100.00,0.00,-17.24,-100.00,0.28,-16.96,-98.38
B_MPSME2T08_15,9.59,14.61,5.02,52.30,12.16,2.56,26.71,13.12,3.52,36.72,2.43,-7.16,-74.66,***,***,***,0.00,-9.59,-100.00,0.81,-8.79,-91.58,0.00,-9.59,-100.00
B_MPSME2T08_16,5.55,17.20,11.64,209.65,4.21,-1.35,-24.24,9.49,3.94,70.86,5.66,0.10,1.86,***,***,***,6.58,1.03,18.53,0.44,-5.12,-92.14,1.77,-3.79,-68.17
B_MPSME2T08_17,0.00,24.76,24.76,***,4.77,4.77,***,3.65,3.65,***,2.95,2.95,***,***,***,***,1.89,1.89,***,1.85,1.85,***,4.40,4.40,***
B_MPSME2T08_18,0.00,11.70,11.70,***,2.73,2.73,***,2.31,2.31,***,0.28,0.28,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B_MPSME2T08_19,3.47,9.70,6.23,179.56,0.00,-3.47,-100.00,2.47,-1.00,-28.95,1.58,-1.90,-54.60,***,***,***,0.00,-3.47,-100.00,0.74,-2.73,-78.75,0.00,-3.47,-100.00
B_MPSME2T08_20,12.94,21.10,8.15,62.99,3.88,-9.06,-69.99,2.60,-10.34,-79.90,5.86,-7.09,-54.74,***,***,***,0.00,-12.94,-100.00,0.00,-12.94,-100.00,0.00,-12.94,-100.00
B_MPSME2T08_22,10.11,5.86,-4.25,-42.05,***,***,***,0.00,-10.11,-100.00,***,***,***,4.90,-5.21,-51.56,***,***,***,***,***,***,1.75,-8.37,-82.73
B_MPSME2T08_23,10.20,11.55,1.36,13.29,***,***,***,0.00,-10.20,-100.00,***,***,***,0.00,-10.20,-100.00,***,***,***,***,***,***,1.41,-8.78,-86.13
B_MPSME2T08_24,6.69,8.21,1.52,22.78,***,***,***,2.11,-4.57,-68.40,***,***,***,1.58,-5.11,-76.43,***,***,***,***,***,***,0.74,-5.95,-88.97
B_MPSME2T08_25,33.59,44.90,11.30,33.64,***,***,***,0.00,-33.59,-100.00,***,***,***,0.00,-33.59,-100.00,***,***,***,***,***,***,0.00,-33.59,-100.00
B_MPSME2T08_26,0.28,2.81,2.53,901.38,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_27,0.74,1.69,0.95,129.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_28,3.52,2.47,-1.05,-29.85,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_29,6.63,6.75,0.12,1.80,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_30,11.21,1.58,-9.64,-85.94,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_31,3.90,3.99,0.09,2.24,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_32,3.15,4.81,1.66,52.64,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,8.35,9.05,-0.70,-8.40,5.28,3.07,36.77,3.53,4.82,57.73,4.25,4.10,49.10,1.62,6.73,80.61,1.64,6.71,80.40,0.41,7.94,95.07,0.93,7.42,88.83
