ProjectUnit = PSME2T08
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR3-Attr,02YEAR3-Diff,02YEAR3-%Diff,03YEAR1-Attr,03YEAR1-Diff,03YEAR1-%Diff,03YEAR3-Attr,03YEAR3-Diff,03YEAR3-%Diff,03YEAR7-Attr,03YEAR7-Diff,03YEAR7-%Diff
B_MPSME2T08_01,9.00,3.94,-5.06,-56.25,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_02,0.21,2.32,2.11,1007.11,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_03,2.76,1.77,-0.99,-35.94,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_04,0.49,0.84,0.35,70.37,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_06,12.54,28.58,16.04,127.97,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_07,0.78,5.38,4.60,588.65,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_08,8.16,12.17,4.02,49.23,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_09,2.20,2.51,0.31,14.04,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_10,13.22,8.36,-4.86,-36.75,0.84,-12.37,-93.62,13.59,0.37,2.80,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_11,0.00,0.68,0.68,***,2.15,2.15,***,3.03,3.03,***,3.28,3.28,***,***,***,***,2.80,2.80,***,13.76,13.76,***,7.16,7.16,***
B_MPSME2T08_12,4.81,3.01,-1.80,-37.51,1.31,-3.50,-72.79,0.47,-4.34,-90.20,0.84,-3.97,-82.46,***,***,***,1.77,-3.04,-63.23,4.70,-0.11,-2.27,7.63,2.82,58.56
B_MPSME2T08_13,3.68,11.06,7.38,200.32,6.52,2.84,77.17,2.54,-1.14,-31.09,2.90,-0.78,-21.29,***,***,***,3.04,-0.64,-17.34,7.37,3.69,100.25,1.05,-2.63,-71.39
B_MPSME2T08_14,1.08,0.00,-1.08,-100.00,0.00,-1.08,-100.00,0.00,-1.08,-100.00,0.00,-1.08,-100.00,***,***,***,0.58,-0.49,-45.93,0.21,-0.87,-80.54,2.22,1.14,105.99
B_MPSME2T08_15,0.00,7.69,7.69,***,2.65,2.65,***,3.35,3.35,***,5.85,5.85,***,***,***,***,3.02,3.02,***,2.21,2.21,***,7.71,7.71,***
B_MPSME2T08_16,4.24,11.70,7.46,176.20,2.86,-1.37,-32.41,2.48,-1.76,-41.47,5.73,1.50,35.32,***,***,***,4.71,0.47,11.15,11.08,6.85,161.58,3.78,-0.46,-10.84
B_MPSME2T08_17,53.83,9.89,-43.94,-81.63,10.62,-43.21,-80.27,9.70,-44.14,-81.99,18.10,-35.73,-66.38,***,***,***,8.53,-45.31,-84.16,5.47,-48.36,-89.84,4.34,-49.50,-91.94
B_MPSME2T08_18,23.23,23.47,0.24,1.04,27.00,3.77,16.21,20.81,-2.43,-10.45,34.19,10.95,47.14,***,***,***,14.36,-8.87,-38.17,30.38,7.15,30.76,18.00,-5.23,-22.52
B_MPSME2T08_19,1.45,8.32,6.86,472.44,5.45,3.99,274.94,5.52,4.07,280.15,5.18,3.73,256.51,***,***,***,4.56,3.11,214.07,10.33,8.87,610.65,67.87,66.42,4571.65
B_MPSME2T08_20,1.31,0.37,-0.94,-71.62,15.87,14.56,1109.44,14.67,13.36,1017.61,13.37,12.06,918.53,***,***,***,15.68,14.37,1095.02,12.94,11.63,886.17,17.83,16.51,1258.19
B_MPSME2T08_22,11.22,13.28,2.06,18.37,***,***,***,7.71,-3.50,-31.24,***,***,***,0.29,-10.93,-97.46,***,***,***,***,***,***,34.58,23.36,208.23
B_MPSME2T08_23,5.59,3.91,-1.69,-30.12,***,***,***,4.50,-1.09,-19.48,***,***,***,9.97,4.38,78.20,***,***,***,***,***,***,8.65,3.06,54.69
B_MPSME2T08_24,18.31,14.14,-4.16,-22.74,***,***,***,0.49,-17.81,-97.30,***,***,***,0.00,-18.31,-100.00,***,***,***,***,***,***,0.29,-18.02,-98.44
B_MPSME2T08_25,4.88,4.12,-0.76,-15.55,***,***,***,1.24,-3.64,-74.57,***,***,***,0.00,-4.88,-100.00,***,***,***,***,***,***,4.27,-0.60,-12.37
B_MPSME2T08_26,8.31,4.51,-3.80,-45.78,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_27,0.29,0.68,0.40,138.85,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_28,7.44,4.36,-3.09,-41.49,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_29,11.93,13.42,1.49,12.46,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_30,6.09,2.82,-3.27,-53.65,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_31,3.37,4.57,1.20,35.58,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_32,9.27,3.10,-6.17,-66.57,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,7.66,7.03,0.62,8.15,6.84,0.81,10.61,6.01,1.65,21.54,8.94,-1.29,-16.82,2.56,5.09,66.52,5.91,1.75,22.86,9.85,-2.19,-28.58,13.24,-5.58,-72.94
