ProjectUnit = PSME2T08
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR3-Attr,02YEAR3-Diff,02YEAR3-%Diff,03YEAR1-Attr,03YEAR1-Diff,03YEAR1-%Diff,03YEAR3-Attr,03YEAR3-Diff,03YEAR3-%Diff,03YEAR7-Attr,03YEAR7-Diff,03YEAR7-%Diff
B_MPSME2T08_01,0.40,0.80,0.40,98.75,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_02,0.22,0.50,0.28,128.41,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_03,0.43,0.65,0.22,51.46,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_04,0.54,1.22,0.68,126.98,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_06,0.07,0.18,0.11,169.23,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_07,0.23,1.10,0.87,381.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_08,0.47,0.82,0.35,75.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_09,1.24,2.21,0.97,78.07,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_10,0.43,0.81,0.38,89.41,0.44,0.01,2.35,0.26,-0.17,-40.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_11,0.37,1.06,0.69,183.89,0.22,-0.16,-41.61,0.32,-0.05,-14.09,0.36,-0.01,-2.68,***,***,***,0.16,-0.22,-57.72,0.80,0.43,114.77,0.68,0.31,82.55
B_MPSME2T08_12,1.08,2.76,1.69,156.38,0.44,-0.64,-59.16,0.42,-0.66,-61.02,0.51,-0.57,-52.67,***,***,***,0.03,-1.05,-97.45,0.59,-0.49,-45.24,0.33,-0.75,-69.63
B_MPSME2T08_13,0.32,0.99,0.67,206.20,0.19,-0.14,-42.64,0.25,-0.08,-23.26,0.45,0.13,39.53,***,***,***,0.34,0.01,3.88,1.32,1.00,309.30,0.64,0.32,98.68
B_MPSME2T08_14,0.36,1.40,1.04,286.90,0.59,0.23,63.45,0.41,0.05,12.41,0.75,0.39,106.21,***,***,***,1.23,0.87,238.62,1.36,1.00,274.48,0.48,0.11,31.03
B_MPSME2T08_15,0.28,2.09,1.80,638.05,0.08,-0.21,-72.57,0.52,0.24,84.07,1.29,1.01,355.75,***,***,***,0.05,-0.24,-83.19,0.64,0.35,124.78,0.35,0.06,22.12
B_MPSME2T08_16,0.17,1.38,1.21,720.90,0.25,0.08,47.76,0.13,-0.04,-25.37,0.41,0.24,141.79,***,***,***,0.09,-0.08,-46.27,0.57,0.41,242.50,0.23,0.06,34.33
B_MPSME2T08_17,0.36,1.90,1.55,432.17,0.22,-0.14,-37.76,0.26,-0.10,-28.67,0.67,0.31,86.01,***,***,***,0.05,-0.31,-85.31,0.92,0.56,157.34,0.36,0.00,-0.70
B_MPSME2T08_18,1.09,1.17,0.08,7.37,0.10,-0.99,-90.78,0.05,-1.03,-95.16,0.86,-0.23,-20.74,***,***,***,0.00,-1.08,-99.77,0.85,-0.24,-21.66,0.22,-0.87,-80.18
B_MPSME2T08_19,0.72,1.74,1.02,140.97,0.46,-0.26,-36.46,0.29,-0.43,-59.38,0.35,-0.38,-52.08,***,***,***,0.43,-0.29,-39.93,0.53,-0.19,-26.74,0.42,-0.30,-42.01
B_MPSME2T08_20,1.29,1.06,-0.23,-17.67,0.65,-0.64,-49.32,0.39,-0.90,-69.71,0.76,-0.53,-40.97,***,***,***,0.01,-1.28,-99.61,0.68,-0.61,-46.99,0.57,-0.72,-55.73
B_MPSME2T08_22,1.51,0.88,-0.63,-41.53,***,***,***,0.03,-1.48,-98.01,***,***,***,0.60,-0.90,-59.97,***,***,***,***,***,***,0.42,-1.09,-72.43
B_MPSME2T08_23,0.48,0.83,0.35,72.92,***,***,***,0.08,-0.40,-83.33,***,***,***,1.35,0.87,180.21,***,***,***,***,***,***,0.43,-0.05,-11.25
B_MPSME2T08_24,0.61,0.90,0.29,47.74,***,***,***,0.06,-0.55,-90.53,***,***,***,0.91,0.30,48.97,***,***,***,***,***,***,0.39,-0.22,-35.80
B_MPSME2T08_25,0.82,0.55,-0.27,-33.13,***,***,***,0.03,-0.79,-96.35,***,***,***,0.50,-0.33,-39.82,***,***,***,***,***,***,0.68,-0.15,-17.93
B_MPSME2T08_26,0.67,1.24,0.58,86.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
