ProjectUnit = PSME2T08
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR3-Attr,02YEAR3-Diff,02YEAR3-%Diff,03YEAR1-Attr,03YEAR1-Diff,03YEAR1-%Diff,03YEAR3-Attr,03YEAR3-Diff,03YEAR3-%Diff,03YEAR7-Attr,03YEAR7-Diff,03YEAR7-%Diff
B_MPSME2T08_01,3.99,7.94,3.94,98.75,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_02,2.20,5.02,2.82,128.41,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_03,4.27,6.46,2.20,51.46,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_04,5.37,12.18,6.81,126.98,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_06,0.65,1.75,1.10,169.23,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_07,2.27,10.93,8.66,381.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_08,4.64,8.14,3.49,75.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_09,12.40,22.09,9.68,78.07,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_10,4.24,8.04,3.79,89.41,4.34,0.10,2.35,2.55,-1.70,-40.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_11,3.72,10.56,6.84,183.89,2.17,-1.55,-41.61,3.19,-0.52,-14.09,3.62,-0.10,-2.68,***,***,***,1.57,-2.15,-57.72,7.99,4.27,114.77,6.79,3.07,82.55
B_MPSME2T08_12,10.76,27.58,16.82,156.38,4.39,-6.36,-59.16,4.19,-6.56,-61.02,5.09,-5.67,-52.67,***,***,***,0.27,-10.48,-97.45,5.89,-4.87,-45.24,3.27,-7.49,-69.63
B_MPSME2T08_13,3.22,9.86,6.64,206.20,1.85,-1.37,-42.64,2.47,-0.75,-23.26,4.49,1.27,39.53,***,***,***,3.34,0.12,3.88,13.18,9.96,309.30,6.40,3.18,98.68
B_MPSME2T08_14,3.62,14.00,10.38,286.90,5.91,2.30,63.45,4.07,0.45,12.41,7.46,3.84,106.21,***,***,***,12.25,8.63,238.62,13.55,9.93,274.48,4.74,1.12,31.03
B_MPSME2T08_15,2.82,20.81,17.99,638.05,0.77,-2.05,-72.57,5.19,2.37,84.07,12.85,10.03,355.75,***,***,***,0.47,-2.35,-83.19,6.34,3.52,124.78,3.44,0.62,22.12
B_MPSME2T08_16,1.67,13.73,12.05,720.90,2.47,0.80,47.76,1.25,-0.42,-25.37,4.04,2.37,141.79,***,***,***,0.90,-0.77,-46.27,5.73,4.05,242.50,2.25,0.57,34.33
B_MPSME2T08_17,3.57,18.99,15.42,432.17,2.22,-1.35,-37.76,2.55,-1.02,-28.67,6.64,3.07,86.01,***,***,***,0.52,-3.04,-85.31,9.18,5.62,157.34,3.54,-0.02,-0.70
B_MPSME2T08_18,10.83,11.63,0.80,7.37,1.00,-9.83,-90.78,0.52,-10.31,-95.16,8.58,-2.25,-20.74,***,***,***,0.02,-10.81,-99.77,8.49,-2.35,-21.66,2.15,-8.68,-80.18
B_MPSME2T08_19,7.19,17.32,10.13,140.97,4.57,-2.62,-36.46,2.92,-4.27,-59.38,3.44,-3.74,-52.08,***,***,***,4.32,-2.87,-39.93,5.27,-1.92,-26.74,4.17,-3.02,-42.01
B_MPSME2T08_20,12.85,10.58,-2.27,-17.67,6.51,-6.34,-49.32,3.89,-8.96,-69.71,7.59,-5.27,-40.97,***,***,***,0.05,-12.80,-99.61,6.81,-6.04,-46.99,5.69,-7.16,-55.73
B_MPSME2T08_22,15.02,8.78,-6.24,-41.53,***,***,***,0.30,-14.72,-98.01,***,***,***,6.01,-9.01,-59.97,***,***,***,***,***,***,4.14,-10.88,-72.43
B_MPSME2T08_23,4.79,8.29,3.49,72.92,***,***,***,0.80,-3.99,-83.33,***,***,***,13.43,8.63,180.21,***,***,***,***,***,***,4.25,-0.54,-11.25
B_MPSME2T08_24,6.06,8.96,2.89,47.74,***,***,***,0.57,-5.49,-90.53,***,***,***,9.03,2.97,48.97,***,***,***,***,***,***,3.89,-2.17,-35.80
B_MPSME2T08_25,8.21,5.49,-2.72,-33.13,***,***,***,0.30,-7.91,-96.35,***,***,***,4.94,-3.27,-39.82,***,***,***,***,***,***,6.74,-1.47,-17.93
B_MPSME2T08_26,6.64,12.38,5.74,86.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_27,11.18,6.24,-4.94,-44.20,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_28,20.26,16.92,-3.34,-16.50,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
