ProjectUnit = PSME2T08
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR3-Attr,02YEAR3-Diff,02YEAR3-%Diff,03YEAR1-Attr,03YEAR1-Diff,03YEAR1-%Diff,03YEAR3-Attr,03YEAR3-Diff,03YEAR3-%Diff,03YEAR7-Attr,03YEAR7-Diff,03YEAR7-%Diff
B_MPSME2T08_01,0.44,0.30,-0.14,-31.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_02,0.73,0.64,-0.09,-11.68,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_03,0.82,1.10,0.28,34.25,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_04,0.57,0.51,-0.05,-9.29,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_06,0.42,0.46,0.04,9.52,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_07,0.92,1.21,0.29,31.44,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_08,0.92,1.05,0.13,14.44,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_09,0.48,0.59,0.11,23.68,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_10,0.43,0.56,0.13,29.07,0.59,0.16,36.05,0.37,-0.06,-13.95,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_11,0.88,0.65,-0.23,-26.14,0.43,-0.45,-51.14,0.36,-0.52,-59.09,0.46,-0.43,-48.30,***,***,***,0.56,-0.33,-36.93,0.71,-0.18,-19.89,0.29,-0.59,-67.33
B_MPSME2T08_12,1.53,1.30,-0.23,-15.01,0.58,-0.96,-62.32,0.43,-1.10,-71.78,0.30,-1.24,-80.75,***,***,***,0.73,-0.80,-52.20,0.51,-1.03,-67.05,0.43,-1.10,-71.92
B_MPSME2T08_13,0.75,0.81,0.06,7.69,0.45,-0.30,-39.80,0.47,-0.28,-37.12,0.46,-0.29,-38.13,***,***,***,0.56,-0.19,-24.75,0.68,-0.07,-9.03,0.72,-0.03,-3.34
B_MPSME2T08_14,0.64,0.73,0.09,14.06,0.42,-0.22,-34.38,0.33,-0.32,-49.22,0.33,-0.31,-48.83,***,***,***,0.54,-0.10,-15.63,0.65,0.01,1.56,0.41,-0.23,-35.94
B_MPSME2T08_15,0.89,0.53,-0.35,-39.83,0.76,-0.13,-14.41,0.39,-0.50,-56.21,0.35,-0.54,-60.73,***,***,***,0.56,-0.33,-37.29,0.45,-0.44,-49.44,0.26,-0.63,-70.90
B_MPSME2T08_16,0.61,0.95,0.34,55.97,0.40,-0.21,-33.74,0.50,-0.11,-17.28,0.38,-0.23,-37.86,***,***,***,0.60,-0.01,-2.06,0.52,-0.08,-13.80,0.51,-0.10,-16.05
B_MPSME2T08_17,0.74,0.67,-0.07,-9.43,0.27,-0.48,-64.31,0.24,-0.51,-68.35,0.53,-0.21,-28.11,***,***,***,0.23,-0.51,-68.69,0.68,-0.06,-8.08,0.37,-0.37,-49.83
B_MPSME2T08_18,0.86,0.75,-0.12,-13.37,0.25,-0.61,-70.93,0.32,-0.54,-62.50,0.60,-0.26,-30.23,***,***,***,0.39,-0.47,-54.65,0.58,-0.28,-32.85,0.40,-0.46,-53.78
