ProjectUnit = PSME2T08
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YEAR1-Attr,02YEAR1-Diff,02YEAR1-%Diff,02YEAR2-Attr,02YEAR2-Diff,02YEAR2-%Diff,02YEAR3-Attr,02YEAR3-Diff,02YEAR3-%Diff,03YEAR1-Attr,03YEAR1-Diff,03YEAR1-%Diff,03YEAR3-Attr,03YEAR3-Diff,03YEAR3-%Diff,03YEAR7-Attr,03YEAR7-Diff,03YEAR7-%Diff
B_MPSME2T08_01,2.17,1.48,-0.69,-31.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_02,3.63,3.21,-0.42,-11.68,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_03,4.08,5.48,1.40,34.25,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_04,2.82,2.56,-0.26,-9.29,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_06,2.10,2.30,0.20,9.52,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_07,4.60,6.05,1.45,31.44,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_08,4.58,5.24,0.66,14.44,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_09,2.37,2.93,0.56,23.68,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_10,2.15,2.77,0.62,29.07,2.92,0.77,36.05,1.85,-0.30,-13.95,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_11,4.39,3.24,-1.15,-26.14,2.15,-2.25,-51.14,1.80,-2.60,-59.09,2.27,-2.12,-48.30,***,***,***,2.77,-1.62,-36.93,3.52,-0.87,-19.89,1.43,-2.96,-67.33
B_MPSME2T08_12,7.65,6.50,-1.15,-15.01,2.88,-4.77,-62.32,2.16,-5.49,-71.78,1.47,-6.18,-80.75,***,***,***,3.66,-3.99,-52.20,2.52,-5.13,-67.05,2.15,-5.50,-71.92
B_MPSME2T08_13,3.73,4.02,0.29,7.69,2.25,-1.48,-39.80,2.35,-1.39,-37.12,2.31,-1.42,-38.13,***,***,***,2.81,-0.92,-24.75,3.39,-0.34,-9.03,3.61,-0.12,-3.34
B_MPSME2T08_14,3.19,3.64,0.45,14.06,2.10,-1.10,-34.38,1.62,-1.57,-49.22,1.63,-1.56,-48.83,***,***,***,2.70,-0.50,-15.63,3.24,0.05,1.56,2.05,-1.15,-35.94
B_MPSME2T08_15,4.42,2.66,-1.76,-39.83,3.78,-0.64,-14.41,1.93,-2.48,-56.21,1.73,-2.68,-60.73,***,***,***,2.77,-1.65,-37.29,2.23,-2.18,-49.44,1.29,-3.13,-70.90
B_MPSME2T08_16,3.03,4.73,1.70,55.97,2.01,-1.02,-33.74,2.51,-0.52,-17.28,1.88,-1.15,-37.86,***,***,***,2.97,-0.06,-2.06,2.61,-0.42,-13.80,2.55,-0.49,-16.05
B_MPSME2T08_17,3.71,3.36,-0.35,-9.43,1.32,-2.38,-64.31,1.17,-2.53,-68.35,2.66,-1.04,-28.11,***,***,***,1.16,-2.55,-68.69,3.41,-0.30,-8.08,1.86,-1.85,-49.83
B_MPSME2T08_18,4.29,3.72,-0.57,-13.37,1.25,-3.04,-70.93,1.61,-2.68,-62.50,2.99,-1.30,-30.23,***,***,***,1.95,-2.35,-54.65,2.88,-1.41,-32.85,1.98,-2.31,-53.78
B_MPSME2T08_19,3.26,2.41,-0.85,-26.05,2.63,-0.62,-19.16,2.57,-0.69,-21.07,2.16,-1.10,-33.72,***,***,***,3.12,-0.14,-4.21,3.04,-0.21,-6.51,1.36,-1.90,-58.24
B_MPSME2T08_20,3.64,3.54,-0.10,-2.74,3.13,-0.51,-14.04,1.36,-2.28,-62.67,1.82,-1.82,-50.00,***,***,***,1.05,-2.60,-71.23,2.50,-1.15,-31.51,1.22,-2.42,-66.44
B_MPSME2T08_22,4.93,3.12,-1.81,-36.71,***,***,***,0.81,-4.12,-83.54,***,***,***,2.16,-2.77,-56.20,***,***,***,***,***,***,3.03,-1.90,-38.48
B_MPSME2T08_23,3.26,1.86,-1.40,-42.91,***,***,***,2.08,-1.17,-36.02,***,***,***,3.21,-0.05,-1.53,***,***,***,***,***,***,3.34,0.09,2.68
B_MPSME2T08_24,4.07,2.87,-1.20,-29.45,***,***,***,2.38,-1.68,-41.41,***,***,***,2.47,-1.60,-39.26,***,***,***,***,***,***,1.43,-2.63,-64.72
B_MPSME2T08_25,3.67,2.28,-1.39,-37.76,***,***,***,0.69,-2.98,-81.29,***,***,***,1.67,-2.00,-54.42,***,***,***,***,***,***,2.38,-1.29,-35.03
B_MPSME2T08_26,1.95,1.90,-0.05,-2.56,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_27,4.49,2.60,-1.90,-42.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_28,6.11,5.63,-0.49,-7.96,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_29,1.93,1.40,-0.54,-27.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_30,4.04,3.78,-0.26,-6.48,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_31,2.15,1.97,-0.17,-8.14,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B_MPSME2T08_32,2.41,1.46,-0.95,-39.38,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,3.63,3.29,0.34,9.30,2.40,1.23,33.80,1.79,1.83,50.58,2.09,1.53,42.26,2.38,1.25,34.47,2.49,1.13,31.23,2.94,0.69,19.08,2.12,1.51,41.54
