ProjectUnit = Daves Hollow
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff
Circle001,0.00,0.00,0.00,0.00,0.05,0.05,***,***,***,***
Circle002,0.03,0.00,-0.03,-100.00,0.07,0.03,100.34,0.08,0.05,150.34
Circle003,0.00,0.07,0.07,***,0.05,0.05,***,0.10,0.10,***
Circle004,0.00,0.08,0.08,***,0.05,0.05,***,0.08,0.08,***
Circle005,0.08,0.08,0.00,-0.06,0.18,0.10,119.78,0.20,0.12,139.89
Circle006,0.15,0.00,-0.15,-100.00,0.16,0.02,11.11,0.05,-0.10,-66.67
Circle007,0.05,0.07,0.02,33.17,0.10,0.05,99.51,0.13,0.08,166.02
Circle008,0.16,0.05,-0.12,-70.00,0.23,0.07,40.00,0.10,-0.07,-40.00
Circle009,0.21,0.13,-0.08,-38.24,0.20,-0.02,-7.43,0.00,-0.21,-100.00
Circle010,0.10,0.05,-0.05,-49.93,0.03,-0.07,-66.60,0.03,-0.07,-66.67
Circle011,0.21,0.20,-0.02,-7.69,0.36,0.15,69.20,0.03,-0.18,-84.62
Circle012,0.46,0.05,-0.41,-89.29,0.00,-0.46,-100.00,0.03,-0.43,-92.86
Circle013,0.07,0.07,0.00,0.07,0.12,0.05,75.14,0.12,0.05,75.21
Circle014,0.18,0.08,-0.10,-54.55,0.21,0.03,18.19,0.08,-0.10,-54.55
Circle015,0.05,0.00,-0.05,-100.00,0.16,0.12,232.83,0.00,-0.05,-100.00
Mean,0.12,0.06,0.06,47.61,0.13,-0.01,-12.22,0.07,0.04,36.89
