ProjectUnit = Daves Hollow
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff
Circle001,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***
Circle002,0.00,0.00,0.00,0.00,14.05,14.05,***,0.00,0.00,0.00
Circle003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Circle004,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Circle005,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,***
Circle006,0.23,0.00,-0.23,-100.00,0.00,-0.23,-100.00,0.00,-0.23,-100.00
Circle007,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Circle008,0.00,0.00,0.00,0.00,0.21,0.21,***,0.00,0.00,0.00
Circle009,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Circle010,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Circle011,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Circle012,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Circle013,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.86,0.86,***
Circle014,3.13,0.00,-3.13,-100.00,0.00,-3.13,-100.00,2.11,-1.02,-32.70
Circle015,1.49,0.00,-1.49,-100.00,0.00,-1.49,-100.00,0.00,-1.49,-100.00
Mean,0.32,0.00,0.32,100.00,0.95,-0.63,-194.66,0.22,0.10,30.43
