ProjectUnit = Daves Hollow
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff
Circle001,1.52,0.00,-1.52,-100.00,0.00,-1.52,-100.00,***,***,***
Circle002,2.39,0.00,-2.39,-100.00,0.37,-2.02,-84.54,0.58,-1.81,-75.85
Circle003,1.49,1.68,0.19,12.89,1.13,-0.35,-23.80,2.09,0.61,41.02
Circle004,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Circle005,1.22,0.00,-1.22,-100.00,1.58,0.36,29.86,2.38,1.17,95.74
Circle006,1.00,0.00,-1.00,-100.00,3.38,2.38,238.96,4.79,3.79,380.41
Circle007,27.29,12.52,-14.77,-54.12,19.60,-7.68,-28.15,1.92,-25.37,-92.97
Circle008,8.11,5.92,-2.18,-26.94,4.56,-3.54,-43.69,1.07,-7.04,-86.85
Circle009,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Circle010,6.06,0.00,-6.06,-100.00,0.58,-5.48,-90.48,0.37,-5.69,-93.91
Circle011,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Circle012,0.00,0.37,0.37,***,0.00,0.00,0.00,0.62,0.62,***
Circle013,18.60,2.31,-16.30,-87.61,7.47,-11.13,-59.84,3.57,-15.03,-80.79
Circle014,0.95,5.89,4.94,520.36,6.01,5.06,532.76,0.00,-0.95,-100.00
Circle015,4.35,2.84,-1.51,-34.79,1.35,-3.00,-68.87,2.33,-2.02,-46.48
Mean,4.86,2.10,2.76,56.80,3.07,1.79,36.90,1.41,3.46,71.04
