ProjectUnit = Daves Hollow
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff
Circle001,0.19,0.02,-0.17,-89.47,0.02,-0.18,-92.11,***,***,***
Circle002,0.14,0.03,-0.11,-78.57,0.05,-0.10,-67.86,0.02,-0.13,-89.29
Circle003,0.17,0.03,-0.15,-85.29,0.08,-0.09,-52.94,0.09,-0.09,-50.00
Circle004,0.07,0.01,-0.07,-92.86,0.07,-0.01,-7.14,0.07,0.00,0.00
Circle005,0.04,0.08,0.03,78.13,0.08,0.04,90.00,0.16,0.11,268.13
Circle006,0.04,0.02,-0.02,-57.14,0.01,-0.03,-85.71,0.04,0.01,14.29
Circle007,0.25,0.21,-0.04,-16.00,0.14,-0.11,-44.00,0.13,-0.12,-48.00
Circle008,0.06,0.01,-0.06,-91.67,0.01,-0.05,-83.33,0.18,0.12,191.67
Circle009,0.31,0.02,-0.29,-93.55,0.01,-0.30,-96.77,0.00,-0.31,-100.00
Circle010,0.26,0.08,-0.18,-70.59,0.13,-0.13,-49.02,0.10,-0.16,-60.78
Circle011,0.18,0.14,-0.05,-25.00,0.12,-0.07,-36.11,0.14,-0.05,-25.00
Circle012,0.59,0.05,-0.54,-91.45,0.06,-0.53,-89.74,0.10,-0.49,-83.76
Circle013,0.18,0.19,0.02,8.57,0.15,-0.03,-17.14,0.16,-0.02,-8.57
Circle014,0.11,0.04,-0.07,-63.64,0.03,-0.09,-77.27,0.05,-0.07,-59.09
Circle015,0.14,0.04,-0.10,-74.07,0.08,-0.06,-40.74,0.11,-0.03,-22.22
Mean,0.18,0.06,0.12,65.65,0.07,0.11,62.88,0.09,0.09,48.15
