ProjectUnit = Daves Hollow
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff
Circle001,3.23,0.34,-2.89,-89.47,0.26,-2.98,-92.11,***,***,***
Circle002,2.38,0.51,-1.87,-78.57,0.77,-1.62,-67.86,0.26,-2.13,-89.29
Circle003,2.89,0.43,-2.47,-85.29,1.36,-1.53,-52.94,1.45,-1.45,-50.00
Circle004,1.19,0.09,-1.11,-92.86,1.11,-0.09,-7.14,1.19,0.00,0.00
Circle005,0.72,1.28,0.56,78.12,1.36,0.65,90.00,2.64,1.92,268.13
Circle006,0.60,0.26,-0.34,-57.14,0.09,-0.51,-85.71,0.68,0.09,14.29
Circle007,4.26,3.58,-0.68,-16.00,2.38,-1.87,-44.00,2.21,-2.04,-48.00
Circle008,1.02,0.09,-0.94,-91.67,0.17,-0.85,-83.33,2.98,1.96,191.67
Circle009,5.28,0.34,-4.94,-93.55,0.17,-5.11,-96.77,0.00,-5.28,-100.00
Circle010,4.34,1.28,-3.06,-70.59,2.21,-2.13,-49.02,1.70,-2.64,-60.78
Circle011,3.06,2.30,-0.77,-25.00,1.96,-1.11,-36.11,2.30,-0.77,-25.00
Circle012,9.96,0.85,-9.11,-91.45,1.02,-8.94,-89.74,1.62,-8.34,-83.76
Circle013,2.98,3.23,0.26,8.57,2.47,-0.51,-17.14,2.72,-0.26,-8.57
Circle014,1.87,0.68,-1.19,-63.64,0.43,-1.45,-77.27,0.77,-1.11,-59.09
Circle015,2.30,0.60,-1.70,-74.07,1.36,-0.94,-40.74,1.79,-0.51,-22.22
Mean,3.07,1.06,2.02,65.65,1.14,1.93,62.88,1.59,1.48,48.15
