ProjectUnit = Daves Hollow
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff
Circle001,0.60,0.10,-0.51,-84.17,0.08,-0.52,-86.67,***,***,***
Circle002,0.20,0.14,-0.07,-32.50,0.07,-0.14,-67.50,0.13,-0.08,-37.50
Circle003,0.23,0.09,-0.14,-60.87,0.11,-0.12,-52.17,0.23,0.00,0.00
Circle004,0.29,0.11,-0.18,-63.16,0.08,-0.21,-71.93,0.21,-0.08,-28.07
Circle005,0.29,0.22,-0.07,-25.36,0.12,-0.18,-60.98,0.54,0.25,83.21
Circle006,0.28,0.09,-0.19,-67.86,0.10,-0.18,-64.29,0.14,-0.14,-50.00
Circle007,0.38,0.20,-0.19,-48.68,0.14,-0.25,-64.47,0.44,0.06,15.79
Circle008,0.31,0.16,-0.15,-47.54,0.10,-0.21,-67.21,0.27,-0.04,-13.11
Circle009,0.30,0.11,-0.20,-65.00,0.07,-0.24,-78.33,0.08,-0.23,-75.00
Circle010,0.61,0.21,-0.40,-65.29,0.10,-0.51,-83.47,0.60,-0.01,-1.65
Circle011,0.33,0.34,0.01,3.08,0.43,0.10,30.77,0.23,-0.10,-30.77
Circle012,0.76,0.14,-0.62,-81.46,0.07,-0.69,-90.73,0.32,-0.44,-57.62
Circle013,0.45,0.27,-0.18,-40.45,0.16,-0.29,-65.17,0.44,-0.01,-1.12
Circle014,0.16,0.10,-0.06,-35.48,0.07,-0.09,-54.84,0.14,-0.02,-9.68
Circle015,0.25,0.16,-0.09,-36.00,0.14,-0.11,-44.00,0.29,0.04,14.00
Mean,0.36,0.16,0.20,55.54,0.12,0.24,66.54,0.29,0.07,20.28
