ProjectUnit = Daves Hollow
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff
Circle001,2.09,0.33,-1.76,-84.17,0.28,-1.81,-86.67,***,***,***
Circle002,0.70,0.47,-0.23,-32.50,0.23,-0.47,-67.50,0.44,-0.26,-37.50
Circle003,0.80,0.31,-0.49,-60.87,0.38,-0.42,-52.17,0.80,0.00,0.00
Circle004,0.99,0.37,-0.63,-63.16,0.28,-0.71,-71.93,0.71,-0.28,-28.07
Circle005,1.03,0.77,-0.26,-25.36,0.40,-0.63,-60.98,1.88,0.85,83.21
Circle006,0.98,0.31,-0.66,-67.86,0.35,-0.63,-64.29,0.49,-0.49,-50.00
Circle007,1.32,0.68,-0.64,-48.68,0.47,-0.85,-64.47,1.53,0.21,15.79
Circle008,1.06,0.56,-0.51,-47.54,0.35,-0.71,-67.21,0.92,-0.14,-13.11
Circle009,1.05,0.37,-0.68,-65.00,0.23,-0.82,-78.33,0.26,-0.78,-75.00
Circle010,2.11,0.73,-1.38,-65.29,0.35,-1.76,-83.47,2.07,-0.03,-1.65
Circle011,1.13,1.17,0.03,3.08,1.48,0.35,30.77,0.78,-0.35,-30.77
Circle012,2.63,0.49,-2.14,-81.46,0.24,-2.39,-90.73,1.12,-1.52,-57.62
Circle013,1.55,0.92,-0.63,-40.45,0.54,-1.01,-65.17,1.53,-0.02,-1.12
Circle014,0.54,0.35,-0.19,-35.48,0.24,-0.30,-54.84,0.49,-0.05,-9.68
Circle015,0.87,0.56,-0.31,-36.00,0.49,-0.38,-44.00,0.99,0.12,14.00
Mean,1.26,0.56,0.70,55.54,0.42,0.84,66.54,1.00,0.25,20.28
