ProjectUnit = Daves Hollow
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff
Circle001,6.85,0.67,-6.18,-90.19,1.20,-5.64,-82.42,***,***,***
Circle002,6.37,1.60,-4.77,-74.87,17.47,11.10,174.36,1.97,-4.40,-69.04
Circle003,5.93,2.73,-3.19,-53.90,3.55,-2.37,-40.07,4.69,-1.23,-20.83
Circle004,2.18,1.03,-1.15,-52.86,1.93,-0.25,-11.60,2.24,0.05,2.37
Circle005,3.67,2.37,-1.29,-35.22,4.64,0.98,26.64,8.40,4.73,129.09
Circle006,3.81,0.82,-2.99,-78.55,4.10,0.29,7.66,6.01,2.20,57.70
Circle007,33.16,17.21,-15.95,-48.10,23.05,-10.11,-30.49,6.42,-26.75,-80.65
Circle008,12.46,7.98,-4.49,-35.99,7.63,-4.83,-38.76,5.07,-7.39,-59.33
Circle009,7.16,0.96,-6.20,-86.55,1.47,-5.69,-79.52,0.88,-6.28,-87.67
Circle010,12.73,2.06,-10.67,-83.83,3.17,-9.56,-75.09,4.30,-8.43,-66.21
Circle011,7.27,7.26,-0.01,-0.08,7.16,-0.12,-1.58,4.36,-2.91,-40.06
Circle012,18.62,5.60,-13.03,-69.95,5.35,-13.28,-71.28,4.75,-13.87,-74.50
Circle013,23.32,7.03,-16.30,-69.87,11.59,-11.74,-50.32,11.04,-12.28,-52.67
Circle014,11.37,10.84,-0.53,-4.70,9.86,-1.51,-13.28,6.04,-5.33,-46.88
Circle015,11.42,5.48,-5.93,-51.98,4.99,-6.43,-56.33,5.36,-6.06,-53.06
Mean,11.09,4.91,6.18,55.72,7.14,3.94,35.57,5.11,5.98,53.93
