ProjectUnit = Ponderosa Pine
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year14-Attr,01Year14-Diff,01Year14-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,01Year17-Attr,01Year17-Diff,01Year17-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,01Year21-Attr,01Year21-Diff,01Year21-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year01-Attr,03Year01-Diff,03Year01-%Diff,03Year02-Attr,03Year02-Diff,03Year02-%Diff,03Year05-Attr,03Year05-Diff,03Year05-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,00PR01-Attr,00PR01-Diff,00PR01-%Diff,00PR03-Attr,00PR03-Diff,00PR03-%Diff,00PR04-Attr,00PR04-Diff,00PR04-%Diff,00PR05-Attr,00PR05-Diff,00PR05-%Diff
PIPO-09,0.72,0.31,-0.41,-57.47,0.26,-0.46,-64.39,0.00,-0.72,-100.00,0.05,-0.67,-93.10,0.47,-0.25,-34.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.20,-0.52,-72.42,0.25,-0.47,-65.52,0.28,-0.44,-60.94,0.28,-0.44,-60.92,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.11,-0.61,-84.48,***,***,***,0.31,-0.40,-56.34,***,***,***,***,***,***
PIPO-22,0.05,0.01,-0.04,-83.33,0.01,-0.04,-83.33,0.02,-0.03,-66.67,0.01,-0.04,-83.33,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.01,-0.04,-83.33,***,***,***,0.02,-0.03,-66.66,0.00,-0.05,-100.00,0.02,-0.03,-66.66
PIPO-37,0.05,***,***,***,***,***,***,0.03,-0.02,-33.33,0.26,0.21,416.67,0.07,0.02,50.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.02,-0.02,-50.00,0.24,0.19,383.33,0.11,0.06,116.67,0.23,0.18,366.67,0.21,0.16,316.67,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-44,0.00,***,***,***,***,***,***,0.08,0.08,***,0.12,0.12,***,0.02,0.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.01,0.01,***,0.01,0.01,***,0.08,0.08,***,0.01,0.01,***,0.08,0.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-45,0.10,***,***,***,***,***,***,0.08,-0.02,-16.66,0.06,-0.04,-41.66,0.04,-0.06,-58.33,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.03,-0.07,-66.67,0.18,0.08,83.37,0.06,-0.04,-41.66,0.08,-0.02,-16.66,0.04,-0.06,-58.33,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-47,0.08,***,***,***,***,***,***,0.10,0.02,20.00,0.04,-0.04,-50.00,0.03,-0.05,-60.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.03,-0.05,-60.00,0.23,0.15,180.01,0.07,-0.02,-20.00,0.09,0.01,10.00,0.10,0.02,20.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-50,0.03,***,***,***,***,***,***,0.05,0.02,49.01,0.09,0.06,174.29,0.09,0.06,172.71,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.02,-0.02,-50.49,0.09,0.06,173.77,0.12,0.09,272.13,0.17,0.14,421.15,0.18,0.15,448.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-67,0.15,0.07,-0.08,-55.54,0.12,-0.03,-22.21,0.13,-0.02,-11.10,0.06,-0.09,-61.12,0.38,0.23,155.53,***,***,***,0.14,-0.01,-5.54,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.14,-0.01,-5.57,***,***,***,***,***,***,***,***,***
PIPO-68,0.11,0.09,-0.02,-15.20,0.09,-0.02,-15.24,0.09,-0.02,-15.02,0.16,0.05,46.44,0.23,0.12,116.17,***,***,***,0.20,0.09,84.99,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.07,-0.03,-30.90,***,***,***,***,***,***,***,***,***
PIPO-69,0.21,0.07,-0.15,-69.22,0.14,-0.07,-34.60,0.11,-0.11,-50.00,0.02,-0.20,-92.31,0.48,0.26,123.02,***,***,***,0.19,-0.02,-11.56,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-70,0.27,0.18,-0.08,-31.20,0.05,-0.22,-81.26,0.08,-0.18,-68.60,0.10,-0.17,-62.50,0.32,0.06,21.66,***,***,***,0.07,-0.19,-71.95,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.09,-0.17,-65.36,***,***,***,***,***,***,***,***,***
PIPO-71,0.70,1.10,0.40,56.54,0.78,0.07,10.47,0.30,-0.41,-57.65,0.74,0.03,4.75,1.45,0.75,106.70,***,***,***,0.31,-0.39,-55.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-72,0.41,0.47,0.06,13.98,0.22,-0.19,-45.99,0.16,-0.25,-59.99,0.21,-0.20,-48.00,0.39,-0.02,-6.01,***,***,***,0.21,-0.20,-48.01,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-75,0.08,0.31,0.23,269.85,0.08,-0.01,-10.00,0.17,0.08,99.77,0.11,0.02,29.73,0.13,0.05,60.00,***,***,***,0.08,-0.01,-10.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.24,0.15,180.73,***,***,***,***,***,***,***,***,***
PIPO-13,***,0.07,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.21,***,***,***,***,***,0.31,***,***,***,***,***,***,***,***,0.12,***,***,0.08,***,***,0.09,***,***,0.16,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-18,***,0.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.03,***,***,***,***,***,0.08,***,***,***,***,***,***,***,***,0.06,***,***,0.04,***,***,0.11,***,***,0.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-19,***,0.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.02,***,***,***,***,***,0.12,***,***,0.02,***,***,0.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-20,***,0.07,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.29,***,***,***,***,***,0.13,***,***,0.08,***,***,0.13,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-02,***,***,***,***,***,***,***,0.16,***,***,0.11,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.10,***,***,0.09,***,***,0.00,***,***,0.01,***,***,0.13,***,***,0.04,***,***,0.13,***,***,0.17,***,***,0.15,***,***,0.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-03,***,***,***,***,***,***,***,0.12,***,***,0.04,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.13,***,***,0.12,***,***,0.02,***,***,0.04,***,***,0.16,***,***,0.04,***,***,0.10,***,***,0.02,***,***,0.02,***,***,0.06,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-04,***,***,***,***,***,***,***,0.15,***,***,0.11,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.06,***,***,0.07,***,***,0.03,***,***,0.03,***,***,0.08,***,***,0.04,***,***,0.07,***,***,0.07,***,***,0.06,***,***,0.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-36,***,***,***,***,***,***,***,0.04,***,***,0.03,***,***,0.01,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.02,***,***,0.02,***,***,0.00,***,***,0.07,***,***,0.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
